, 34019
ALB, 18925
APOB, 8171
C3, 7756
FGA, 6992
MT-CO2, 6591
TF, 6217
FN1, 4996
FGG, 4846
RBP4, 4472
FGB, 4443
SERPINA1, 2339
CPS1, 2339
COX1, 2035
ALDOB, 1622
LRP1, 1601
APOA1, 1434
CYP2E1, 1411
GC, 1411
CLU, 1281
MT-ATP8, 1281
PLG, 1256
C1S, 1164
APOE, 1157
HPX, 1090
C5, 1058
HPD, 1029
CP, 988
VTN, 925
ASS1, 909
APOH, 897
GPNMB, 826
AHSG, 807
CYP3A26, 772
SERPING1, 716
MT-ND3, 715
PSAP, 684
COX3, 654
CESdD1, 644
FTH1, 637
ITIH2, 608
SCP2, 590
ADH4, 585
CYP3A12, 576
BHMT, 549
EEF2, 536
ACSL4, 530
PROS1, 529
B2M, 526
SERPINC1, 508
C1R, 485
SPTBN1, 485
ND2, 479
TPT1, 466
ITIH1, 461
TTR, 450
CYP2C18, 443
AHNAK, 441
ATP6, 435
HSP90AA1, 427
RNASE4, 408
PON1, 404
CAT, 403
P4HB, 398
HSP90B1, 387
F2, 377
C4BPA, 374
CTSB, 369
RPL9, 368
PCK2, 364
SLC38A4, 364
COL1A2, 359
A2M, 355
RGN, 353
DST, 350
C6, 349
F5, 347
QSOX1, 346
MYH9, 332
SLC7A2, 332
IGHM, 331
EPHX1, 323
CDO1, 321
COL3A1, 318
ABCA1, 317
AMBP, 317
APOA2, 315
PAH, 314
TAS1R2, 311
HSD17B4, 311
HSPA5, 308
PYGL, 308
DYNC1H1, 304
UGT2B31, 303
CFI, 299
EHHADH, 299
CA3, 298
GLDC, 294
ACSL1, 290
CD74, 289
A1BG, 283
CALR, 277
ACTB, 275
RELN, 261
ITM2B, 261
MT-ND4, 261
LAMP2, 258
RPL8, 257
NDRG2, 257
HDLBP, 256
ACTG1, 255
PIGR, 253
TDO2, 251
FTL, 251
CLTC, 247
IQGAP2, 245
GPX3, 244
ND5, 243
CTSS, 236
EIF4B, 234
CTSK, 231
THBS1, 230
DPYS, 230
APOC3, 229
ABCB4, 226
SRRM2, 221
ACAA2, 218
SERPINF1, 218
SLC40A1, 217
SYNE2, 217
HRG, 216
GLUL, 215
CPB2, 213
PDIA4, 212
F9, 212
HMGCS2, 211
ABCA9, 210
MAN2A1, 205
ACADM, 203
ARG1, 201
DPYD, 199
FBLN1, 198
CD163, 197
MT-ND1, 197
CYP7B1, 196
HSP90AB1, 190
