, 1984434
RACK1, 561992
RPS12, 429254
EIF4A2, 331463
NOP56, 251208
RPL3, 190347
P2RY11, 181813
TNPO2, 161125
EIF4G1, 143282
SPCS1, 140402
UBAP2, 128801
RPL7A, 94004
WDR43, 89611
RPS8, 67948
RPL5, 57290
RPL13A, 54755
RABGGTB, 40170
AP1G1, 36239
SF3B3, 28346
HSPA9, 28149
PUM1, 24557
NCL, 22488
HUWE1, 22269
PRRC2B, 18494
GNL3, 16082
TEX14, 12319
NOP58, 12025
CCAR1, 9825
PRPF39, 8157
AP1B1, 6731
DDX39B, 6681
SNX5, 5879
RPS3, 5599
RAPGEF5, 4989
CEP295, 4847
MED24, 3773
EEF2, 3087
ADAMTSL1, 1476
TRRAP, 1444
RPL32, 1441
PTCD3, 1086
KANSL2, 1012
IKBKG, 872
KPNA4, 774
PHB2, 678
MYO16, 659
FGA, 609
INPP4B, 580
SLC38A4, 570
CHD4, 554
CNOT1, 548
GTF2A1, 546
EP400, 462
APOA1, 461
ANO10, 455
RANBP1, 450
NCAPD2, 433
RPL12, 407
TIPIN, 363
CKAP5, 338
CYP3A26, 333
TCP1, 322
PRKCA, 317
EXT1, 299
EIF4G2, 291
KIAA0907, 273
IGF2, 261
RPL23, 258
CGN, 217
NRF1, 215
MAP2K4, 213
NOP53, 211
MAML2, 196
CYP7B1, 194
UGT1A6, 187
SPIRE1, 165
RPSA, 147
CALR, 141
ITGA9, 139
TMEM167A, 135
FAM208B, 133
DPYD, 132
MAGI3, 130
HABP2, 129
SH3PXD2B, 123
PABPC4, 118
PLEKHA5, 118
VPS13D, 117
ADK, 116
TPT1, 114
ATG16L1, 113
NFIA, 113
PTPRM, 109
SLC25A16, 108
MBNL1, 107
MTSS1, 106
KIAA1217, 105
FMNL2, 100
PEBP1, 99
CHD8, 99
BCAS3, 98
PBX1, 96
KLF9, 94
DIAPH2, 94
DOCK4, 94
OVOL2, 93
RPS15A, 92
UBAP2L, 92
ZFAND3, 90
ZNF280C, 89
TCF12, 89
VTI1A, 88
PRKCE, 87
PRKAG2, 86
MED13L, 86
EXOC4, 85
TAS1R2, 85
MAML1, 84
GPHN, 83
FNDC3B, 82
EIF4A1, 82
CUX2, 82
NFIB, 81
ZBTB16, 81
PAH, 81
C16orf72, 81
LAMP2, 80
FOXO3, 79
LPGAT1, 79
LRCH1, 79
LARP4, 79
ETV6, 78
TTC7B, 77
NDUFV3, 76
DST, 75
ACSS3, 75
SND1, 74
C4BPA, 73
AGAP2, 72
SLC9A9, 72
MYO7A, 71
HAUS6, 70
FARP1, 70
LDB2, 69
JARID2, 69
IGHM, 69
FSD1L, 68
