taglen,crossmapped,unannotated,precursor,rRNA,rmsk_DNA,p3_UTR,Satellite,rmsk_RNA,snoRNA,Coding_Exon,Unknown,rmsk_Other,tRNA,rmsk_Low_complexity,rmsk_Simple_repeat,p5_UTR,stemloop,No_CDS,LINE,Intron,srpRNA,LTR,scRNA,SINE,star,mature,snRNA,rmsk_Unknown
12,0,8.0856058669803e-06,0,0,0,0,0,0,0,0,0.000109155679204234,0,0,0,0,0,0,0,0,5.65992410688621e-05,0,0,0,0,0,0,0,0
13,0,0,0,0,0,3.63852264014114e-05,0,0,0,7.68132557363129e-05,0.00590653508582911,0,0,0,0,6.06420440023523e-05,0,0,0,0.0015605219323272,0,0,0,0,0,0,0,0
14,0,0,0,0,0,8.89416645367833e-05,0,0,0,0.000747918542695678,0.0481699969525351,0,0,0,0,0.000230439767208939,0,0,0,0.0025469658480988,0,0,0,0,0,2.02140146674508e-05,0,0
15,0,0,0,0,0,0.00027491059947733,0,0,0,0.00212247154008233,0.0254171020428526,0,0,0,0,0.00026278219067686,0,0,0,0.00244993857769503,0,0,0,0,0,2.42568176009409e-05,0,0
16,0,0.000161712117339606,0,0,0,0.000735790133895207,0,0,0,0.00432984194176795,0.0333612098071607,0,0,0,0,0.000654934075225404,1.21284088004705e-05,0,0,0.00533245706927351,0,0,0,0,0,0.00111177080670979,0,0
17,0,0.000335552643479683,0,0,0,0.00137455299738665,0,0,0,0.00639571424078142,0.0690874593304132,0,0,0,0,0.000663019681092385,8.0856058669803e-06,0,0,0.00699404907493796,0,0,0,0,0,0.00888203804487786,0,0
18,0,0.000768132557363129,0,0,0,0.00133816777098524,0,0,0,0.00758429830322752,0.0631081537917813,0,0,0,0,0.000897502251234814,4.04280293349015e-06,0,0,0.0113724046519078,0,0,0,0,0,0.0158073594699465,0,0
19,3.23424234679212e-05,0.00203757267847904,4.04280293349015e-06,0,0,0.00183947533473802,0,0,0,0.00846158653979489,0.065695547669215,0,0,0,0,0.00080856058669803,4.04280293349015e-06,0,0,0.00715980399521106,0,0,0,0,0,0.0359769033051289,0,0
20,6.87276498693326e-05,0.0103900035390697,4.04280293349015e-06,0,0,0.00187990336407292,0,0,0,0.00871628312460477,0.0443899762097219,0,0,0,0,0.000630677257624464,8.0856058669803e-06,0,0,0.00709511914827521,0,0,0,0,0,0.183923276656201,0,0
21,0.000630677257624464,0.0295003330056776,0,0,0,0.00231248327795637,0,0,0,0.0100342368809226,0.0500377719078076,0,0,0,0,0.000590249228289562,0,0,0,0.0242932028273423,0,0,0,0,0,1.47569179837377,0,0
22,1.61712117339606e-05,0.0407029399343788,8.0856058669803e-06,0,0,0.0023003548691559,0,0,0,0.0104708595977395,0.0588551251057496,0,0,0,0,0.000828774601365481,6.06420440023523e-05,0,0,0.0650972128350584,0,0,0,0,0,2.84983647266414,0,0
