miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-let-7a-1	7937	5930.157582	N
cfa-let-7a-2	7720	5768.025266	N
cfa-let-7b	8888	6640.700591	N
cfa-let-7c	2214	1654.197919	N
cfa-let-7d	637	475.936800	N
cfa-let-7e	639	477.431107	N
cfa-let-7f	19689	14710.705888	N
cfa-let-7g	24076	17988.468432	N
cfa-let-7j	0	0.000000	N
cfa-mir-1-1	24	17.931685	N
cfa-mir-1-2	27	20.173145	N
cfa-mir-101-1	1762	1316.484523	N
cfa-mir-101-2	2021	1509.997288	N
cfa-mir-103-1	418	312.310176	Y
cfa-mir-103-2	456	340.702011	Y
cfa-mir-105a	3	2.241461	N
cfa-mir-105b	0	0.000000	N
cfa-mir-106a	0	0.000000	N
cfa-mir-106b	211	157.649395	N
cfa-mir-107	196	146.442092	Y
cfa-mir-10a	9916	7408.774422	N
cfa-mir-10b	1723	1287.345535	N
cfa-mir-1185	0	0.000000	N
cfa-mir-1199	0	0.000000	N
cfa-mir-122	637449	476272.271713	N
cfa-mir-124-1	0	0.000000	N
cfa-mir-124-2	0	0.000000	N
cfa-mir-124-3	0	0.000000	N
cfa-mir-1249	22	16.437378	N
cfa-mir-125a	2385	1781.961173	N
cfa-mir-125b-1	1626	1214.871643	N
cfa-mir-125b-2	1692	1264.183776	N
cfa-mir-126	11066	8268.000983	N
cfa-mir-127	53	39.599137	N
cfa-mir-1271	60	44.829212	N
cfa-mir-128-1	734	548.410692	N
cfa-mir-128-2	381	284.665496	N
cfa-mir-129-1	12	8.965842	N
cfa-mir-129-2	3	2.241461	N
cfa-mir-1296	5	3.735768	N
cfa-mir-1301	14	10.460149	N
cfa-mir-1306	6	4.482921	N
cfa-mir-1307	246	183.799769	N
cfa-mir-130a	30	22.414606	N
cfa-mir-130b	11	8.218689	N
cfa-mir-132	10	7.471535	N
cfa-mir-133a	5	3.735768	Y
cfa-mir-133b	0	0.000000	N
cfa-mir-133c	5	3.735768	Y
cfa-mir-134	2	1.494307	N
