, 2137169
RPS12, 1125787
EIF4A2, 888108
RACK1, 188518
NOP56, 172763
PRPF39, 165947
EIF4G1, 165751
UBAP2, 142452
GNL3, 137678
WDR43, 111918
RPL5, 111770
RPS8, 111169
HSPA9, 107243
RPL7A, 106752
P2RY11, 87869
RABGGTB, 82339
PRRC2B, 81038
CCAR1, 79521
RPL13A, 76735
SF3B3, 72788
NCL, 64940
PUM1, 59806
TNPO2, 57958
AP1B1, 44935
HUWE1, 42820
SPCS1, 35639
NOP58, 31519
RPL3, 30466
SNX5, 19457
AP1G1, 14775
TEX14, 14694
DDX39B, 14013
EEF2, 10300
CEP295, 9539
MED24, 8016
MYO16, 6805
RPS3, 6688
FGA, 6467
SLC38A4, 6432
PRKCA, 5696
EXT1, 5223
CNOT1, 5124
GPR39, 2982
DPYD, 2941
ABCA1, 2819
LRCH1, 2789
ZFAND3, 2762
NFIA, 2709
ACSS3, 2651
ETV6, 2618
ADAMTSL1, 2583
RPL32, 2560
P4HA1, 2536
RPL12, 2508
HSD17B4, 2376
DPYS, 2357
APOA1, 2320
KIAA1217, 2313
ADRA1A, 2308
IQGAP2, 2274
COBLL1, 2270
EPAS1, 2235
IGF1, 2235
MDR1, 2221
PLEKHA5, 2167
ADK, 2158
CYP7B1, 2111
MAGI3, 2105
EIF3A, 2076
FGG, 2063
C5, 2053
ZBTB16, 1994
TRRAP, 1876
FOXO3, 1863
SLC16A7, 1774
RANBP3L, 1752
MYO1B, 1675
PTPRK, 1662
ANO10, 1651
GAS2, 1616
EXOC4, 1600
CDH2, 1568
ITGA9, 1551
RAPGEF5, 1536
PRKCE, 1528
IKBKG, 1493
GPHN, 1491
SLC41A2, 1485
PHLPP1, 1483
NR5A2, 1479
PRR16, 1477
FNDC3B, 1477
PTPRM, 1458
PYGL, 1450
CP, 1414
SLC25A13, 1407
SORBS1, 1383
AFF1, 1382
DIAPH2, 1380
SND1, 1374
SPTBN1, 1371
TCP1, 1360
EYA4, 1347
RPL23, 1338
HABP2, 1310
MAN1C1, 1240
TNRC6A, 1226
SLCO1B3, 1212
KANSL2, 1211
RBPMS, 1165
CPS1, 1145
WBP1L, 1137
RUFY3, 1130
MAN2A1, 1124
CYP2C18, 1122
AGMO, 1114
IL1RAP, 1105
VPS13D, 1105
RPS15A, 1102
GBA3, 1096
UGT1A6, 1082
PTCD3, 1059
TIPIN, 1041
FGB, 1038
ALCAM, 1036
MAN1A1, 1009
RPSA, 997
MAML3, 988
GRB14, 952
DOCK4, 947
SAMD4A, 945
ABCA9, 944
LMO7, 942
MED13L, 935
CERS6, 921
BCL2, 912
ATG16L1, 907
POR, 901
ATRN, 898
PCSK6, 880
CHD4, 878
CREB3L2, 878
KLF9, 872
ZNF609, 872
CCNY, 867
VWA8, 858
FOXP1, 850
ZCCHC7, 848
QSOX1, 846
RARB, 840
TESMIN, 840
NAMPT, 830
EIF4G2, 824
ABCB11, 818
EIF5, 815
CCBE1, 812
ATRNL1, 807
FN1, 799
CADPS2, 793
TCF12, 791
SLC39A14, 789
PID1, 789
VPS13B, 785
TLE1, 775
PDE1A, 775
CDADC1, 775
BCAS3, 774
DST, 771
KPNA4, 770
CFI, 770
DOCK1, 756
MTSS1, 756
JMJD1C, 745
JARID2, 743
PAPOLA, 739
ACOX2, 737
ERN1, 730
NRG1, 724
IDO2, 722
HIPK2, 720
MAML2, 715
MBNL1, 713
C3, 713
GTF2A1, 703
MOXD1, 697
LRBA, 694
TPT1, 690
C9, 690
RBMS3, 688
FGL1, 687
CYP2B6, 684
ELOVL6, 681
MAML1, 679
CDO1, 677
SUGCT, 674
ARID1B, 672
SLC6A11, 670
NAV3, 655
LAMP2, 642
IL33, 640
TTC28, 635
PPARGC1A, 627
QKI, 625
PPM1L, 625
RBMS1, 625
RALGAPA2, 624
FBXW2, 623
PPP1R8, 621
LMO2, 619
GBE1, 619
MAP3K20, 618
ZEB1, 613
TNFSF10, 611
ST6GAL1, 611
FAM214A, 609
PLG, 607
GALNT13, 602
ABTB2, 600
ACSL4, 600
CHD2, 600
BABAM2, 599
PSAP, 599
MAGI2, 596
PCNX1, 593
DENND1A, 591
TRPM7, 591
ALDH6A1, 590
SOX5, 589
SLC9A9, 588
ADCY9, 588
NFIB, 587
SYBU, 587
ANKRD17, 586
FBXO21, 585
BBOX1, 581
MEF2A, 579
ZNF407, 572
C4BPA, 572
CTIF, 572
TCF7L2, 572
C9orf3, 570
ARID5B, 570
CHN2, 569
ARHGAP10, 568
NR3C1, 564
PEX14, 563
NCOA2, 562
FKBP15, 562
LDB2, 561
ACSS1, 559
PRKAG2, 558
UBR5, 556
PABPC4, 556
MOB4, 555
IGF2, 553
PEBP1, 552
SBF2, 552
ARHGEF12, 550
