taglen,crossmapped,LINE,rRNA,scRNA,Intron,precursor,p3_UTR,SINE,Coding_Exon,stemloop,p5_UTR,rmsk_Other,srpRNA,Unknown,No_CDS,rmsk_Unknown,mature,rmsk_Low_complexity,snoRNA,rmsk_DNA,star,snRNA,tRNA,LTR,unannotated,rmsk_RNA,rmsk_Simple_repeat,Satellite
12,0,0,0,0,7.4447611518218e-05,0,1.39589271596659e-05,0,9.30595143977726e-06,0,1.39589271596659e-05,0,0,0.000265219616033652,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0.000911983241098171,0,7.91005872381067e-05,0,0.000335014251831981,0,0.000223342834554654,0,0,0.005932544042858,0,0,0,0,0,0,0,0,0,0,1.86119028795545e-05,0,0,0
14,0,0,0,0,0.00371772760019101,0,0.000330361276112093,0,0.00280109138337295,0,0.000618845770745188,0,0,0.0276014519703793,0,0,1.39589271596659e-05,0,0,0,0,0,0,0,2.79178543193318e-05,0,0,0
15,0,0,0,0,0.0101341811179174,0,0.00135866891020748,0,0.0106832322528643,4.65297571988863e-06,0.00101434870693572,0,0,0.0558264026872238,0,0,8.84065386778839e-05,0,0,0,0,0,0,0,2.32648785994431e-05,0,0,0
16,0,0,0,0,0.0224971376056615,0,0.00362001511007335,0,0.0241303320833424,2.32648785994431e-05,0.00227530512702554,0,0,0.0855403056344325,0,0,0.0013912397402467,0,0,0,0,0,0,0,0.00010236546583755,0,0,0
17,0,0,0,0,0.0260845818856957,0,0.00684918025967606,0,0.037768203918336,2.32648785994431e-05,0.00288484494633095,0,0,0.0795193550528967,0,0,0.0102179346808754,0,0,0,0,0,0,0,0.000870106459619173,0,0,0
18,9.30595143977726e-06,0,0,0,0.0306910278483854,4.65297571988863e-06,0.0100132037492003,0,0.0475394529301021,9.30595143977726e-06,0.00313145265948505,0,0,0.0773417624159888,0,0,0.0199100831054034,0,0,0,0,0,0,0,0.000898024313938505,0,0,0
19,0.00010236546583755,0,0,0,0.03133313849773,0,0.0117627226198785,0,0.0529601696437724,9.30595143977726e-06,0.00345716095987725,0,0,0.073824112771753,0,0,0.0772021731443921,0,0,0,0,0,0,0,0.00472277035568696,0,0,0
20,0.000255913664593875,0,0,0,0.035260250005316,9.30595143977726e-06,0.0137169724222317,0,0.057738775708098,4.65297571988863e-06,0.00348973178991647,0,0,0.0732983265154056,0,0,0.365226023181218,0,0,0,0,0,0,0,0.022185388232429,0,0,0
21,0.002047309316751,0,0,0,0.0804592561483142,1.39589271596659e-05,0.0159922775492572,0,0.0626290531897009,4.65297571988863e-06,0.00393176448330589,0,0,0.101807108751163,0,0,3.34135304718494,0,0,0,0,0,0,0,0.0747454019642909,0,0,0
22,4.65297571988863e-05,0,0,0,0.1804703162716,0,0.0183373773120811,0,0.0676449610157409,4.65297571988863e-06,0.00514619114619682,0,0,0.12951092618738,0,0,6.44343612392605,0,0,0,0,0,0,0,0.189590148682582,0,0,0
23,7.4447611518218e-05,0,0,0,0.067514677695584,4.65297571988863e-06,0.0198589003724847,0,0.0728469878705764,1.39589271596659e-05,0.00498333699600072,0,0,0.137639674770026,0,0,1.3427417743183,0,0,0,0,0,0,0,0.0554355527267531,0,0,0
24,0,0,0,0,0.055105191450641,0,0.0225110965328212,0,0.0781886039970085,0,0.00577434286838179,0,0,0.1078047944541,0,0,0.20010122083381,0,0,0,0,0,0,0,0.0265964092148834,0,0,0
25,0,0,0,0,0.0600326927380031,4.65297571988863e-06,0.023730176171432,0,0.0824833005864657,0,0.00645367732348553,0,0,0.108646983059399,0,0,0.00750990281190025,0,0,0,0,0,0,0,0.000623498746465076,0,0,0
26,0,0,0,0,0.0671936223709117,4.65297571988863e-06,0.0273874150872645,0,0.0864104120940517,0,0.00798915931104877,0,0,0.118329825532488,0,0,0.00132609808016826,0,0,0,0,0,0,0,0.00084684158101973,0,0,0
27,0,0,0,0,0.0849447247422868,0,0.0280109138337295,0,0.0921428781809545,4.65297571988863e-06,0.00911517943526182,0,0,0.223435894069052,0,0,0.00104691953697494,0,0,0,0,0,0,0,0.000153548198756325,0,0,0
28,0,0,0,0,0.115077395504286,1.39589271596659e-05,0.0361117445620556,0,0.0954092671363163,0,0.00756573852053891,0,0,0.238711613357446,0,0,0.000725864212302626,0,0,0,0,0,0,0,0.00010236546583755,0,0,0
29,0,0,0,0,0.104487222765819,9.30595143977726e-06,0.0531369827211281,0,0.0954418379663555,0,0.0105576019084273,0,0,0.241117201804629,0,0,0.000176813077355768,0,0,0,0,0,0,0,6.97946357983294e-05,0,0,0
30,0,0,0,0,0.0997132696772133,0,0.0497263515184498,0,0.0970378086382773,0,0.0127631123996545,0,0,0.20430285790887,0,0,0.000158201174476213,0,0,0,0,0,0,0,5.58357086386635e-05,0,0,0
31,0,0,0,0,0.113365100439367,0,0.177185315413359,0,0.0965632051148487,1.86119028795545e-05,0.00854286342171552,0,0,0.387397452486487,0,0,0.000148895223036436,0,0,0,0,0,0,0,6.97946357983294e-05,0,0,0
32,0,0,0,0,0.0949439695643275,0,0.0692874614448616,0,0.0944274892594198,9.30595143977726e-06,0.0187840629811904,0,0,0.4812851965624,0,0,0.000120977368717104,0,0,0,0,0,0,0,5.58357086386635e-05,0,0,0
33,0,0,0,0,0.114137494408868,0,0.100932349315824,0,0.101779190896844,1.39589271596659e-05,0.0131772272387246,0,0,0.409536310961717,0,0,7.91005872381067e-05,0,0,0,0,0,0,0,4.18767814789977e-05,0,0,0
34,0,0,0,0,0.120786596712589,9.30595143977726e-06,0.0959769301741427,0,0.0949486225400474,1.39589271596659e-05,0.0173416405080249,0,0,0.323032839353268,0,0,6.51416600784408e-05,0,0,0,0,0,0,0,3.7223805759109e-05,0,0,0
35,0,0,0,0,0.106357719005214,4.65297571988863e-06,0.0355580404513889,0,0.0880482595474525,2.79178543193318e-05,0.0157270579332236,0,0,0.254913274814098,0,0,0.000227995810274543,0,0,0,0,0,0,0,4.65297571988863e-05,0,0,0
36,0,0,0,0,0.0860056032064214,4.65297571988863e-06,0.0324684645733829,0,0.086940851326119,3.25708300392204e-05,0.0171973982607084,0,0,0.220150893210811,0,0,0.000195424980235322,0,0,0,0,0,0,0,1.39589271596659e-05,0,0,0
37,0,0,0,0,0.0799567347705662,2.79178543193318e-05,0.0282342566682842,0,0.0799846526248855,5.11827329187749e-05,0.0123769154149038,0,0,0.236222271347306,0,0,2.79178543193318e-05,0,0,0,0,0,0,0,1.39589271596659e-05,0,0,0
38,0,0,0,0,0.079924163940527,9.30595143977726e-06,0.0249306439071633,0,0.0735402812528398,9.30595143977726e-06,0.0116975809598,0,0,0.173220980100014,0,0,3.7223805759109e-05,0,0,0,0,0,0,0,1.39589271596659e-05,0,0,0
39,0,0,0,0,0.0827717850810988,0,0.0231252893278465,0,0.0684545787910015,2.79178543193318e-05,0.00856147532459508,0,0,0.178329947440452,0,0,8.37535629579953e-05,0,0,0,0,0,0,0,2.79178543193318e-05,0,0,0
40,0,0,0,0,0.0799986115520452,4.65297571988863e-06,0.0213245877242496,0,0.0654161856459142,4.65297571988863e-06,0.00630478210044909,0,0,0.119930449180129,0,0,5.11827329187749e-05,0,0,0,0,0,0,0,4.65297571988863e-06,0,0,0
41,0,0,0,0,0.0837535629579953,0,0.0194913152906135,0,0.0610703063235382,0,0.00558357086386635,0,0,0.106041316656262,0,0,3.7223805759109e-05,0,0,0,0,0,0,0,9.30595143977726e-06,0,0,0
42,0,0,0,0,0.0704972351320326,9.30595143977726e-06,0.018007016035969,0,0.0555146533139912,0,0.00503917270463938,0,0,0.115165802042963,0,0,3.7223805759109e-05,0,0,0,0,0,0,0,1.86119028795545e-05,0,0,0
43,0,0,0,0,0.0617170699486028,0,0.0169507905475543,0,0.0525646667075818,0,0.0045831810840903,0,0,0.121526419852051,0,0,4.65297571988863e-06,0,0,0,0,0,0,0,1.86119028795545e-05,0,0,0
44,0,0,0,0,0.0567476918797617,2.32648785994431e-05,0.0167507125915991,0,0.0512571805302931,4.65297571988863e-06,0.00424816683225832,0,0,0.150598212149915,0,0,9.77124901176612e-05,0,0,0,0,0,0,0,9.30595143977726e-06,0,0,0
45,0,0,0,0,0.0955860802136721,0,0.0177836732014143,0,0.0607818218289052,0,0.0047460352342864,0,0,0.136304270738417,0,0,0.00147034032748481,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0.344855295479546,0,0.0236789934385132,0,0.0905050307275537,0,0.00665375527944074,0,0,0.389654145710633,0,0,0.000251260688873986,0,0,0,0,0,0,0,9.30595143977726e-06,0,0,0
47,0,0,0,0,2.49805238068805,2.32648785994431e-05,0.0592277279384624,0,0.247794221962669,0,0.0172718458722266,0,0,7.93181138530115,0,0,0.000153548198756325,0,0,0,0,0,0,0,4.18767814789977e-05,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
