miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-let-7a-1	13361	5094.232434	N
cfa-let-7a-2	13134	5007.682717	N
cfa-let-7b	15725	5995.569570	N
cfa-let-7c	6303	2403.184420	N
cfa-let-7d	1739	663.039458	N
cfa-let-7e	734	279.856793	N
cfa-let-7f	39586	15093.202988	N
cfa-let-7g	80157	30561.963115	N
cfa-let-7j	0	0.000000	N
cfa-mir-1-1	144	54.903785	N
cfa-mir-1-2	116	44.228049	N
cfa-mir-101-1	11314	4313.759880	N
cfa-mir-101-2	12455	4748.796120	N
cfa-mir-103-1	2040	777.803620	Y
cfa-mir-103-2	2024	771.703199	Y
cfa-mir-105a	6	2.287658	N
cfa-mir-105b	0	0.000000	N
cfa-mir-106a	14	5.337868	Y
cfa-mir-106b	420	160.136039	N
cfa-mir-107	1127	429.698372	Y
cfa-mir-10a	17222	6566.340167	N
cfa-mir-10b	1093	416.734979	N
cfa-mir-1185	0	0.000000	N
cfa-mir-1199	0	0.000000	N
cfa-mir-122	1095383	417643.560053	N
cfa-mir-124-1	0	0.000000	N
cfa-mir-124-2	0	0.000000	N
cfa-mir-124-3	0	0.000000	N
cfa-mir-1249	49	18.682538	N
cfa-mir-125a	1151	438.849003	N
cfa-mir-125b-1	2257	860.540574	N
cfa-mir-125b-2	2266	863.972060	N
cfa-mir-126	45495	17346.164551	N
cfa-mir-127	10	3.812763	N
cfa-mir-1271	30	11.438289	N
cfa-mir-128-1	1320	503.284695	N
cfa-mir-128-2	667	254.311282	N
cfa-mir-129-1	6	2.287658	N
cfa-mir-129-2	4	1.525105	N
cfa-mir-1296	5	1.906381	N
cfa-mir-1301	9	3.431487	N
cfa-mir-1306	11	4.194039	N
cfa-mir-1307	182	69.392284	N
cfa-mir-130a	178	67.867179	N
cfa-mir-130b	11	4.194039	N
cfa-mir-132	17	6.481697	N
cfa-mir-133a	25	9.531907	Y
cfa-mir-133b	0	0.000000	N
cfa-mir-133c	25	9.531907	Y
cfa-mir-134	0	0.000000	N
cfa-mir-1343	4	1.525105	N
cfa-mir-135a-1	142	54.141232	N
cfa-mir-135a-2	122	46.515707	N
cfa-mir-135b	12	4.575315	N
cfa-mir-136	1	0.381276	N
cfa-mir-137	0	0.000000	N
cfa-mir-138a	2	0.762553	N
cfa-mir-138b	0	0.000000	N
cfa-mir-139	831	316.840592	N
cfa-mir-140	1153	439.611556	N
