, 2793301
RPS12, 1497286
EIF4A2, 1228119
NCL, 324758
SPCS1, 272270
NOP56, 256751
RACK1, 229576
UBAP2, 208546
SF3B3, 188925
RPS8, 163727
WDR43, 158205
RPL7A, 145099
EIF4G1, 142101
PRPF39, 132313
RPL5, 125927
CCAR1, 122670
P2RY11, 118664
HSPA9, 91646
RPL13A, 81156
TNPO2, 75702
AP1B1, 66899
PRRC2B, 63252
GNL3, 61199
RABGGTB, 58286
PUM1, 48220
NOP58, 36708
AP1G1, 34189
RPL3, 32009
EEF2, 25781
TEX14, 23770
CEP295, 14536
DDX39B, 13502
MED24, 10770
SNX5, 8945
HUWE1, 6840
SLC38A4, 3955
PRKCA, 3644
RPS3, 3239
RPL32, 3198
MYO16, 2873
CNOT1, 2812
FGA, 2799
RPL12, 2573
RAPGEF5, 2269
TIPIN, 2227
TCP1, 1995
CHD4, 1879
IKBKG, 1855
EXT1, 1823
ITGA9, 1366
TRRAP, 1348
EIF3A, 1297
RPL23, 1141
CYP7B1, 1096
CYP3A26, 1088
KANSL2, 1065
NFIA, 1036
APOA1, 1033
ADAMTSL1, 1016
RPSA, 940
PLEKHA5, 865
ADK, 858
UGT1A6, 777
ACACA, 759
HABP2, 752
DPYD, 744
ZBTB16, 743
KIAA0907, 742
IGF1, 729
CPS1, 727
SLC25A13, 721
MTSS1, 713
OVOL2, 688
MAML2, 687
ADRA1A, 682
ABCA1, 662
CKAP5, 655
EIF4G2, 653
MAN2A1, 648
TPT1, 635
PLXNA4, 627
ACSS3, 610
PTPRM, 609
ASS1, 605
GTF2A1, 605
LRCH1, 603
GPHN, 595
KPNA4, 591
FGG, 564
KIAA1217, 553
PRR16, 549
EXOC4, 542
FOXO3, 542
ANO10, 537
PTCD3, 533
EIF5, 530
PTPRK, 512
RPS15A, 494
JARID2, 483
DST, 482
CCBE1, 472
GPR39, 465
SUGCT, 465
ZFAND3, 463
LRBA, 453
MAML3, 450
COBLL1, 446
PPP1R8, 443
FARP1, 441
CNTNAP5, 440
MED13L, 438
DIAPH2, 432
GBE1, 430
PAH, 428
PIK3R1, 424
ATG16L1, 418
PEBP1, 409
IGF2, 407
ATRNL1, 407
PRKCE, 404
MAN1C1, 398
HSD17B4, 397
MOB4, 393
IQGAP2, 386
SND1, 385
MAGI3, 384
UROC1, 383
RBMS3, 382
MAML1, 378
MBNL1, 376
TEF, 372
VPS13B, 361
CHD8, 360
NFIB, 355
AKAP2, 354
CDH2, 349
KLF9, 348
PBX1, 347
ALAS1, 347
SPTBN1, 345
EHBP1, 342
VPS13D, 341
MYO1B, 340
LAMP2, 338
SORBS1, 335
BCAS3, 333
HIPK2, 326
RBPMS, 319
ACSL1, 319
FBXW2, 319
GALNT13, 311
MGLL, 310
ZNF609, 309
CYP2C18, 308
CCNY, 308
AGMO, 308
FNDC3B, 307
TMCC1, 307
ELMO1, 306
CP, 302
ACTN1, 301
FMNL2, 300
ETV6, 299
TCF7L2, 297
PRKAG2, 295
DLC1, 292
PYGL, 290
NDST1, 289
ABCB11, 288
CABLES1, 285
TMED7-TICAM2, 284
NCAPD2, 282
FMO5, 281
SLC1A2, 281
VWA8, 278
WBP1L, 276
TTC28, 275
CPED1, 275
SBF2, 275
CYP2B6, 274
ARID1B, 274
EPAS1, 274
TMTC2, 273
SLC41A2, 272
ZCCHC7, 272
PLG, 271
PDE4DIP, 270
TOMM20, 270
DPYS, 269
DOCK1, 265
SORBS2, 262
PON1, 262
JMJD1C, 259
CHN2, 259
ARHGAP10, 257
GHR, 254
QKI, 254
PABPC4, 253
LDB2, 250
TEAD1, 249
TAS1R2, 245
CCT6A, 244
SLC25A16, 243
SUCLG2, 242
ALDH6A1, 240
TMEM167A, 240
HERC2, 239
POR, 239
HAL, 238
IL1RAP, 238
PLPP3, 236
ELOVL6, 236
NOP53, 235
ACSL4, 234
ALCAM, 234
IDO2, 233
LPP, 232
ADIPOR2, 232
TMEM135, 232
SLC9A9, 231
TCF12, 228
GBA3, 227
SLCO1B3, 227
INSIG1, 226
CACNA1C, 226
ABCC5, 226
ANKS1B, 225
C4BPA, 224
CALR, 224
ASAP1, 222
C9orf3, 222
SSR1, 222
FN1, 221
SIK3, 220
ARHGAP24, 220
CHKA, 220
NR3C1, 220
PDE3B, 219
CHD2, 219
RPS11, 218
STAB2, 216
ADAM23, 216
PCCA, 215
PDGFD, 214
ANKRD17, 213
FOXO1, 212
PPARGC1A, 212
PAPD5, 211
DOCK4, 210
UBAP2L, 210
DDX17, 209
GYS2, 209
EP400, 209
RCL1, 209
AP3B2, 208
MAP2K4, 207
ERC1, 207
ATP9B, 205
DENND1A, 205
G3BP1, 204
PEX14, 204
INTS6, 204
IPO7, 204
ARHGAP26, 202
PICALM, 202
GPR176, 201
SHANK2, 200
TESMIN, 200
TF, 199
CDADC1, 199
SLCO2B1, 199
FAM214A, 199
AIG1, 198
TNRC6A, 198
MYO7A, 198
ATXN2, 198
PCSK6, 196
FZD4, 196
KLF12, 196
ST6GAL1, 195
C16orf72, 195
LONP2, 195
BBOX1, 195
BABAM2, 193
ARHGEF12, 192
AFDN, 191
FBXO21, 191
GUCY1A2, 190
RBMS1, 188
HMGCLL1, 187
C5, 187
AKAP13, 186
FOXP1, 186
MTPAP, 186
HNF4A, 185
ZNF407, 185
UBE3C, 185
