taglen,crossmapped,snRNA,p5_UTR,mature,precursor,unannotated,rRNA,LINE,scRNA,rmsk_Unknown,p3_UTR,No_CDS,tRNA,SINE,Satellite,Unknown,rmsk_DNA,Coding_Exon,LTR,star,rmsk_Low_complexity,snoRNA,stemloop,rmsk_Other,Intron,rmsk_Simple_repeat,rmsk_RNA,srpRNA
12,0,0,4.00772529127145e-06,0,0,0,0,0,0,0,0,0,0,0,0,8.8169956407972e-05,0,0,0,0,0,0,0,0,8.01545058254291e-06,0,0,0
13,0,0,8.01545058254291e-05,0,0,4.00772529127145e-06,0,0,0,0,8.01545058254291e-06,0,0,0,0,0.00143476565427518,0,7.21390552428862e-05,0,0,0,0,0,0,0.000260502143932645,0,0,0
14,0,0,0.000144278110485772,4.00772529127145e-06,0,8.01545058254291e-06,0,0,0,0,5.61081540778004e-05,0,0,0,0,0.00783109521914442,0,0.000392757078544603,0,0,0,0,0,0,0.000637228321312161,0,0,0
15,0,0,0.000228440341602473,4.00772529127146e-05,0,0,0,0,0,0,0.000144278110485772,0,0,0,0,0.0114180093548324,0,0.00127846436791559,0,0,0,0,0,0,0.00135461114844975,0,0,0
16,0,0,0.000288556220971545,0.000336648924466802,0,2.00386264563573e-05,0,0,0,0,0.000444857507331131,0,0,0,0,0.0191649423428601,0,0.00289758538558926,0,0,0,0,4.00772529127145e-06,0,0.00256093646112246,0,0,0
17,0,0,0.000400772529127146,0.00263708324165662,0,0.000144278110485772,0,0,0,0,0.000601158793690718,0,0,0,0,0.0150329775675592,0,0.00399970984068891,0,0,0,0,8.01545058254291e-06,0,0.00260902916461772,0,0,0
18,4.00772529127145e-06,0,0.000380733902670788,0.00312602572719173,0,0.000184355363398487,0,0,0,0,0.000877691838788449,0,0,0,0,0.0163314805619312,0,0.0050256875152544,0,0,0,0,0,0,0.00294567808908452,0,0,0
19,1.20231758738144e-05,0,0.000368710726796974,0.0139268453871683,0,0.000801545058254291,0,0,0,0,0.000905745915827349,0,0,0,0,0.0171490565213506,0,0.00548657592375062,0,0,0,0,0,0,0.00252085920820975,0,0,0
20,6.01158793690718e-05,0,0.000316610298010445,0.0630575497328651,4.00772529127145e-06,0.00344263602520218,0,0,0,0,0.00111414763097346,0,0,0,0,0.0162192642537756,0,0.00577513214472217,0,0,0,0,0,0,0.00265712186811297,0,0,0
21,0.000252486693350102,0,0.000352679825631888,0.586025622990877,8.01545058254291e-06,0.0147283904454226,0,0,0,0,0.00132254934611958,0,0,0,0,0.019886332895289,0,0.00645644544423831,0,0,0,0,0,0,0.0087608874867194,0,0,0
22,1.20231758738144e-05,0,0.000561081540778004,1.28869609058421,8.01545058254291e-06,0.0358531104557144,0,0,0,0,0.00177141457874198,0,0,0,0,0.0244070470238432,0,0.00719386689783226,0,0,0,0,4.00772529127145e-06,0,0.0220945895307795,0,0,0
23,2.00386264563573e-05,0,0.000452872957913674,0.293706147970829,0,0.0122235621383779,0,0,0,0,0.00185156908456741,0,0,0,0,0.0274489105199182,0,0.00775494843861027,0,0,0,0,0,0,0.00617590467384931,0,0,0
