miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-let-7a-1	3256	5480.540379	N
cfa-let-7a-2	3219	5418.261511	N
cfa-let-7b	4606	7752.877452	N
cfa-let-7c	1514	2548.383948	N
cfa-let-7d	375	631.204743	N
cfa-let-7e	217	365.257144	N
cfa-let-7f	6473	10895.435464	N
cfa-let-7g	12949	21795.920566	N
cfa-let-7j	0	0.000000	N
cfa-mir-1-1	29	48.813167	N
cfa-mir-1-2	25	42.080316	N
cfa-mir-101-1	2155	3627.323254	N
cfa-mir-101-2	2516	4234.963020	N
cfa-mir-103-1	429	722.098226	Y
cfa-mir-103-2	443	745.663203	Y
cfa-mir-105a	2	3.366425	N
cfa-mir-105b	0	0.000000	N
cfa-mir-106a	4	6.732851	N
cfa-mir-106b	210	353.474656	N
cfa-mir-107	233	392.188547	Y
cfa-mir-10a	4549	7656.934331	N
cfa-mir-10b	319	536.944834	N
cfa-mir-1185	0	0.000000	N
cfa-mir-1199	2	3.366425	N
cfa-mir-122	263652	443782.380803	N
cfa-mir-124-1	0	0.000000	N
cfa-mir-124-2	0	0.000000	N
cfa-mir-124-3	0	0.000000	N
cfa-mir-1249	10	16.832126	N
cfa-mir-125a	498	838.239898	N
cfa-mir-125b-1	857	1442.513238	N
cfa-mir-125b-2	898	1511.524957	N
cfa-mir-126	8674	14600.186500	N
cfa-mir-127	2	3.366425	N
cfa-mir-1271	12	20.198552	N
cfa-mir-128-1	248	417.436736	N
cfa-mir-128-2	132	222.184069	N
cfa-mir-129-1	3	5.049638	N
cfa-mir-129-2	2	3.366425	N
cfa-mir-1296	3	5.049638	N
cfa-mir-1301	5	8.416063	N
cfa-mir-1306	24	40.397104	N
cfa-mir-1307	91	153.172351	N
cfa-mir-130a	51	85.843845	N
cfa-mir-130b	3	5.049638	N
cfa-mir-132	3	5.049638	N
cfa-mir-133a	9	15.148914	Y
cfa-mir-133b	0	0.000000	N
cfa-mir-133c	9	15.148914	Y
cfa-mir-134	0	0.000000	N
cfa-mir-1343	1	1.683213	N
cfa-mir-135a-1	13	21.881764	N
cfa-mir-135a-2	14	23.564977	N
cfa-mir-135b	0	0.000000	N
cfa-mir-136	1	1.683213	N
cfa-mir-137	0	0.000000	N
cfa-mir-138a	0	0.000000	N
cfa-mir-138b	0	0.000000	N
cfa-mir-139	412	693.483611	N
cfa-mir-140	266	447.734564	N
cfa-mir-141	3	5.049638	N
cfa-mir-142	356	599.223702	N
cfa-mir-143	5247	8831.816759	N
cfa-mir-144	46	77.427782	N
cfa-mir-145	1338	2252.138522	N
cfa-mir-1468	0	0.000000	N
cfa-mir-146a	756	1272.508761	N
cfa-mir-146b	169	284.462937	N
cfa-mir-147	0	0.000000	N
cfa-mir-148a	120250	202406.320800	N
cfa-mir-148b	273	459.517053	N
cfa-mir-149	5	8.416063	N
cfa-mir-150	54	90.893483	N
cfa-mir-151	1650	2777.300868	N
cfa-mir-152	150	252.481897	N
cfa-mir-153	2	3.366425	N
cfa-mir-155	176	296.245426	N
cfa-mir-15a	71	119.508098	N
cfa-mir-15b	49	82.477420	N
cfa-mir-16-1	603	1014.977226	N
cfa-mir-16-2	549	924.083743	N
cfa-mir-17	271	456.150627	N
cfa-mir-181a-1	609	1025.076502	N
cfa-mir-181a-2	588	989.729036	N
cfa-mir-181b-1	201	338.325742	N
cfa-mir-181b-2	200	336.642529	N
cfa-mir-181c	3	5.049638	N
cfa-mir-181d	14	23.564977	N
cfa-mir-182	26	43.763529	N
cfa-mir-183	4	6.732851	N
cfa-mir-1835	3	5.049638	N
cfa-mir-1836	96	161.588414	N
cfa-mir-1837-1	7	11.782489	N
cfa-mir-1837-2	9	15.148914	N
cfa-mir-1837-3	0	0.000000	N
cfa-mir-1838	0	0.000000	N
cfa-mir-1839	29	48.813167	N
cfa-mir-184	0	0.000000	N
cfa-mir-1840	2	3.366425	N
cfa-mir-1841	5	8.416063	N
cfa-mir-1842	8	13.465701	N
cfa-mir-1843	33	55.546017	N
cfa-mir-1844	3	5.049638	N
cfa-mir-185	85	143.073075	N
cfa-mir-186	1124	1891.931015	N
cfa-mir-187	0	0.000000	N
cfa-mir-188	1	1.683213	N
cfa-mir-18a	63	106.042397	N
cfa-mir-18b	0	0.000000	N
cfa-mir-190a	2	3.366425	N
cfa-mir-190b	1	1.683213	N
cfa-mir-191	2775	4670.915095	N
cfa-mir-192	12167	20479.648276	N
cfa-mir-193a	108	181.786966	N
cfa-mir-193b	372	626.155105	N
cfa-mir-194	7474	12580.331324	N
cfa-mir-195	248	417.436736	N
cfa-mir-196a-1	0	0.000000	N
cfa-mir-196a-2	0	0.000000	N
cfa-mir-196b	1	1.683213	N
cfa-mir-197	31	52.179592	N
cfa-mir-199-1	2437	4101.989221	N
cfa-mir-199-2	2441	4108.722071	N
cfa-mir-199-3	1840	3097.111270	N
cfa-mir-19a	16	26.931402	N
cfa-mir-19b-1	60	100.992759	N
cfa-mir-19b-2	55	92.576696	N
cfa-mir-200a	254	427.536012	N
cfa-mir-200b	322	541.994472	N
cfa-mir-200c	6	10.099276	N
cfa-mir-202	0	0.000000	N
cfa-mir-203	105	176.737328	N
cfa-mir-204	58	97.626334	N
cfa-mir-205	0	0.000000	N
cfa-mir-206	0	0.000000	N
cfa-mir-207	0	0.000000	N
cfa-mir-208a	0	0.000000	N
cfa-mir-208b	0	0.000000	N
cfa-mir-20a	661	1112.603560	N
cfa-mir-20b	2	3.366425	N
cfa-mir-21	9699	16325.479463	N
cfa-mir-210	1	1.683213	N
cfa-mir-211	1	1.683213	N
cfa-mir-2114	0	0.000000	N
cfa-mir-212	0	0.000000	N
cfa-mir-214	156	262.581173	N
cfa-mir-215	8	13.465701	N
cfa-mir-216a	0	0.000000	N
cfa-mir-216b	0	0.000000	N
cfa-mir-217	0	0.000000	N
cfa-mir-218-1	32	53.862805	N
cfa-mir-218-2	45	75.744569	N
cfa-mir-219-1	5	8.416063	N
cfa-mir-219-2	0	0.000000	N
cfa-mir-22	3119	5249.940246	N
cfa-mir-221	1405	2364.913769	N
cfa-mir-222	992	1669.746946	N
cfa-mir-223	36	60.595655	N
cfa-mir-224	9	15.148914	N
cfa-mir-2387	2	3.366425	N
cfa-mir-23a	385	648.036869	N
cfa-mir-23b	340	572.292300	N
cfa-mir-24-1	277	466.249903	N
cfa-mir-24-2	287	483.082030	N
cfa-mir-2483	33	55.546017	N
cfa-mir-25	663	1115.969985	N
cfa-mir-26a-1	9559	16089.829693	N
cfa-mir-26a-2	9743	16399.540820	N
cfa-mir-26b	9327	15699.324358	N
cfa-mir-27a	386	649.720082	N
cfa-mir-27b	4034	6790.079818	N
cfa-mir-28	585	984.679398	N
cfa-mir-299	0	0.000000	N
cfa-mir-29a	2767	4657.449394	N
cfa-mir-29b-1	323	543.677685	N
cfa-mir-29b-2	301	506.647007	N
cfa-mir-29c-1	31	52.179592	N
cfa-mir-29c-2	48	80.794207	N
cfa-mir-300	0	0.000000	N
cfa-mir-301a	2	3.366425	N
cfa-mir-301b	0	0.000000	N
cfa-mir-302a	0	0.000000	N
cfa-mir-302b	0	0.000000	N
cfa-mir-302c	0	0.000000	N
cfa-mir-302d	0	0.000000	N
cfa-mir-30a	4562	7678.816096	N
cfa-mir-30b	1383	2327.883091	N
cfa-mir-30c-1	2223	3741.781714	N
cfa-mir-30c-2	2336	3931.984743	N
cfa-mir-30d	6488	10920.683654	N
cfa-mir-30e	1661	2795.816207	N
cfa-mir-31	44	74.061356	N
cfa-mir-32	140	235.649771	N
cfa-mir-320	504	848.339174	N
cfa-mir-323	0	0.000000	N
cfa-mir-324	6	10.099276	N
cfa-mir-325	1	1.683213	N
cfa-mir-326	5	8.416063	N
cfa-mir-328	7	11.782489	N
cfa-mir-329a	0	0.000000	N
cfa-mir-329b	0	0.000000	N
cfa-mir-330	3	5.049638	N
cfa-mir-331	45	75.744569	N
cfa-mir-335	1	1.683213	N
cfa-mir-338	14	23.564977	N
cfa-mir-339-1	202	340.008955	N
cfa-mir-33a	11	18.515339	N
cfa-mir-33b	19	31.981040	N
