, 11395
ALB, 5871
MT-CO2, 3720
COX1, 2710
APOB, 2253
TF, 2093
C3, 1804
FN1, 911
MT-ATP8, 770
SERPINA1, 770
FGA, 747
COX3, 698
CPS1, 692
GPNMB, 684
MT-ND4, 676
FGB, 585
ND5, 582
MT-ND1, 554
LRP1, 502
ND2, 482
MT-ND3, 480
B2M, 453
FGG, 444
ATP6, 406
PSAP, 404
ALDOB, 398
CLU, 387
APOH, 376
GC, 374
C1S, 366
RBP4, 358
CYP2E1, 356
ND4L, 355
MT-ND6, 347
CYTB, 333
APOA1, 312
AHNAK, 302
FTH1, 297
CTSB, 294
AHSG, 283
CD74, 269
EEF2, 252
BHMT, 249
CP, 236
PLG, 228
ADH4, 227
RELN, 212
CTSK, 208
MYH9, 198
DST, 196
VTN, 195
ITIH2, 195
FETUB, 187
C5, 176
CESdD1, 175
ACTB, 171
DYNC1H1, 168
HPX, 167
IGHM, 167
APOE, 161
SPTBN1, 159
HPD, 158
C1R, 157
DLA DRA, 157
C4BPA, 156
SERPINC1, 155
CTSS, 151
ACSL4, 150
A2M, 149
ASS1, 149
HSP90B1, 149
MACF1, 148
A1BG, 148
HLA-DRB1, 144
CYP2A13, 142
PAH, 139
PROS1, 139
SERPING1, 137
CAT, 136
CLTC, 136
HSP90AA1, 135
KIAA1549L, 135
ITM2B, 135
TPT1, 133
VIM, 132
THBS1, 128
POSTN, 127
DMBT1, 125
C6, 125
FTL, 125
P4HB, 124
SCP2, 123
ITIH1, 122
FAT1, 117
JCHAIN, 115
LAMP2, 113
ABCB4, 112
SLC38A4, 112
HMGCS2, 110
RGN, 106
HSPA5, 102
CYP2C18, 101
EHHADH, 100
COL6A3, 99
COL1A2, 98
CD163, 95
ACTG1, 95
ATP5A1, 94
MPEG1, 93
COL12A1, 93
SLC40A1, 93
SRRM2, 92
MAN2A1, 90
TTR, 90
ABCA1, 89
ACSL1, 88
CFI, 87
APOA2, 86
PABPC1, 86
FMO5, 85
HRG, 85
DPYD, 85
PRPF8, 85
DDX5, 85
HSP90AB1, 84
MRC1, 84
ATP1A1, 84
PON1, 83
HSD17B4, 82
PYGL, 82
PDIA4, 82
CTSD, 82
COL6A5, 81
DLA-DQA1, 80
ASAH1, 80
F5, 80
SYNE2, 79
AMBP, 79
ALAS1, 79
RPL9, 79
CALR, 77
TLN1, 76
EPHX1, 76
PTPRC, 75
TXNIP, 74
UBR4, 73
PRDX1, 72
HDLBP, 71
ABCA9, 71
EPRS, 71
EIF4B, 70
EIF4G2, 69
EIF3A, 69
APP, 69
CTNND1, 68
TAS1R2, 68
FLNA, 68
CYP8B1, 68
MYLK, 67
CSDE1, 66
COL3A1, 66
ITGB1, 66
GLUL, 66
CYP2A7, 65
PLEC, 65
F2, 64
AGL, 64
ANGPTL3, 63
UGT2B31, 63
IQGAP2, 63
CTNNB1, 63
CANX, 62
NNT, 62
NCOA4, 62
IL6ST, 62
SPP1, 61
SLC7A2, 61
ARG1, 61
PCK2, 61
CDO1, 61
PIGR, 60
CTSH, 60
CYP3A26, 60
RNF213, 59
LUM, 59
LIPA, 58
HERC1, 58
C7, 58
GLDC, 58
MIA3, 57
IQGAP1, 57
HADHA, 56
EIF4G1, 56
AHCY, 56
HUWE1, 56
UGT1A6, 56
ACAA2, 56
RPN2, 55
RPL8, 55
CTSA, 55
C1QA, 54
GOLGB1, 54
SAMD9L, 53
ALDH1A1, 53
FMO1, 53
BPI, 52
SERPINF1, 52
COL14A1, 52
BIRC6, 52
COPA, 52
DCN, 52
KDR, 52
Nox2, 51
LIFR, 51
HSDL2, 51
CDH1, 51
SPARCL1, 51
NDRG2, 51
TRIP12, 51
BGN, 51
ACADM, 51
HHIP, 51
MYCBP2, 51
TNFSF10, 51
TMBIM6, 50
NID1, 50
PRRC2C, 50
C9, 49
MAN1A1, 49
RNASE4, 49
PCK1, 49
GNE, 48
CSF1R, 48
COL5A3, 48
CREG1, 48
CI-MPR, 48
DDX3X, 48
ABCA8, 48
CFHR5, 48
ETFDH, 48
CYP7B1, 47
HGD, 47
RPS8, 46
LONP2, 46
GNS, 46
KIDINS220, 46
CD81, 46
SUCLG2, 46
NRP1, 46
RPL5, 46
STAB2, 46
RPS9, 46
EIF4A2, 46
