, 1696706
RPS12, 644463
EIF4A2, 331430
NOP56, 221437
RPL7A, 209069
UBAP2, 198480
RPS8, 193483
SPCS1, 148115
RACK1, 132376
TNPO2, 100744
RPL5, 98522
P2RY11, 96982
PRPF39, 91946
RPL13A, 69522
RABGGTB, 68543
SF3B3, 64964
PRRC2B, 61943
CCAR1, 60929
EIF4G1, 58911
RPL3, 51056
WDR43, 50596
GNL3, 48435
PUM1, 45335
HSPA9, 36197
AP1B1, 34625
HUWE1, 29574
NOP58, 28283
TEX14, 27445
DDX39B, 23955
AP1G1, 21961
EEF2, 17085
MED24, 10904
NCL, 9603
SNX5, 6454
CEP295, 6013
RPS3, 3860
ADAMTSL1, 2556
CKAP5, 2231
RAPGEF5, 2157
TCP1, 2020
CNOT1, 1722
RPL12, 1706
GTF2A1, 1301
RPL32, 1268
PTCD3, 1101
CHD8, 1071
KANSL2, 1011
EIF4G2, 990
KPNA4, 949
RPL23, 941
CHD4, 931
IKBKG, 917
MYO16, 911
MOB4, 744
NCAPD2, 720
NRF1, 720
RPS11, 684
RPSA, 661
EIF3A, 659
SPIRE1, 646
KIAA0907, 586
TRRAP, 495
EIF5, 468
TMEM167A, 459
MAML2, 415
FAM208B, 403
TIPIN, 373
COL22A1, 361
INPP4B, 341
CGN, 335
CCT6A, 335
TPT1, 333
MAP2K4, 322
ATG16L1, 315
NOP53, 301
OVOL2, 288
EP400, 270
UBAP2L, 263
WRAP53, 261
ACTN1, 259
PPP1R8, 246
SLC25A16, 244
LPCAT2, 242
TOMM20, 242
EXT1, 232
LSAMP, 208
SLC38A4, 207
HAUS6, 195
CMIP, 188
CHD3, 186
RANBP1, 183
ACSL3, 183
OTOP1, 181
ANO10, 179
ANK1, 179
PRKCA, 176
SH3PXD2B, 167
TTC7B, 149
IPO7, 149
PHB2, 138
SLC9A9, 134
CCBE1, 127
NFIA, 123
FMR1, 123
FGA, 120
MBNL1, 117
ATRNL1, 113
EXOC4, 113
HERC4, 111
ITGA9, 109
VPS13B, 108
ETV6, 106
RFWD2, 103
ELMO1, 102
CCDC180, 102
DIAPH2, 97
MCTP1, 96
DST, 96
DPYD, 95
MAGI3, 93
TMEM104, 91
GNB1, 90
PTPRM, 87
ZBTB16, 87
UVRAG, 86
ADK, 86
LRCH1, 85
PABPC4, 84
PBX1, 83
CWF19L1, 82
MED13L, 81
GPHN, 79
CAMK2D, 79
CBLB, 79
FMNL2, 79
LRBA, 79
DOCK4, 79
DENND1A, 78
LPP, 78
FOXO3, 78
EXOC6B, 75
TTC28, 75
ZNF280C, 74
LARP4, 74
RBMS3, 73
ARID1B, 73
ASPH, 72
QKI, 71
SLC8A1, 71
APOA1, 71
METTL26, 70
MAN1C1, 70
MARK3, 70
NFIB, 70
VAC14, 69
CNTNAP5, 69
WDFY4, 69
TCF7L2, 68
ZFAND3, 68
ASAP1, 68
CDH2, 67
ARHGAP15, 66
AKAP13, 66
BCAS3, 66
PDGFD, 65
TRPS1, 65
CYP7B1, 65
FCHSD2, 65
ARHGAP10, 64
BUB1, 64
DOCK2, 63
MAML1, 63
C4orf45, 63
ZCCHC7, 62
PLEKHA5, 62
TCF12, 61
VTI1A, 61
ACSS3, 61
FNDC3B, 61
CPED1, 60
KLF9, 60
SAMD4A, 59
VWA8, 59
PRKCB, 58
TESMIN, 58
JARID2, 58
SND1, 58
HIPK2, 58
AARS, 57
PTPRC, 57
C16orf72, 57
TYRO3, 57
KLHL3, 57
POLA1, 57
FRMD4B, 56
UGT1A6, 55
PHIP, 54
FARP1, 54
PICALM, 54
ATP8B4, 54
MAN2A1, 54
AKT3, 54
CALR, 53
LDB2, 53
FAM189A1, 53
MACF1, 53
TAS1R2, 53
PAH, 53
RALGAPA2, 52
STAB2, 52
RBMS1, 52
FAM172A, 52
CELF2, 52
ALCAM, 51
RBPMS, 51
SYNPO2, 50
KIAA1217, 50
SETBP1, 50
SFMBT2, 49
RPGR, 49
SLC25A13, 49
ADAM23, 49
ANTXR2, 49
CPS1, 48
SMC4, 48
ZNF609, 48
HK2, 48
SNX29, 48
KDM6A, 48
BABAM2, 48
ITPKB, 48
TMEM232, 47
PTPRK, 47
GUCY1A2, 46
CHD2, 46
SPAG17, 46
C9orf3, 46
ATP8A1, 46
EP300, 46
DOCK1, 46
PARD3B, 45
SBF2, 45
NUP155, 45
PARN, 45
NOTCH2, 45
EHBP1, 45
SPTLC2, 45
TMCC1, 44
JMJD1C, 44
ITPR2, 44
TF, 44
IL6ST, 44
AFF1, 44
ARHGAP26, 44
CARMIL1, 43
WDR7, 43
PREX1, 43
CP, 43
MCU, 43
VAV3, 43
PRKCE, 43
LAMP2, 43
CDKAL1, 43
CLU, 43
G3BP1, 43
ANKS1A, 42
RUNX1, 42
MAP3K20, 42
CHN2, 42
TMED7-TICAM2, 42
BCL2, 42
KCNQ1, 42
SGCZ, 42
PLXNA4, 42
FOXO1, 41
KANSL1, 41
SORBS1, 41
ZFPM2, 41
PPM1H, 41
IGF2, 41
TOX, 40
RYR2, 40
MYCBP2, 40
RASAL2, 40
PAN3, 40
FTO, 40
CLCN5, 40
PRRC2A, 40
FZD4, 39
GLIS3, 39
PARP8, 39
STARD13, 39
ADAMTS6, 39
PEBP1, 39
DISC1, 38
RPS15A, 38
ABCA1, 38
CHST11, 38
CUX1, 38
FSD1L, 38
RASA1, 37
AGAP1, 37
TBC1D5, 37
MARCH1, 37
PRKG1, 37
ABCA8, 37
GRHPR, 37
GNAQ, 37
HS3ST3A1, 37
ATP9B, 37
NR3C1, 37
CCNY, 37
ASCC3, 37
FGG, 37
CSPP1, 37
ZEB1, 37
SSR1, 37
ATXN2, 37
RDX, 37
HERC2, 37
NRP1, 37
SPTBN1, 37
USP34, 37
NDUFV3, 36
NR3C2, 36
IQGAP2, 36
MEF2A, 36
ARHGEF12, 36
SETD2, 36
ACTN4, 36
SH3KBP1, 36
MYO7A, 36
SVIL, 36
SRGAP2, 36
MTSS1, 36
MYO9A, 36
RAPGEF1, 36
DOCK10, 36
DHRS7B, 35
PDLIM5, 35
AAK1, 35
IGF1R, 35
KIAA1328, 35
TPK1, 35
AUH, 35
CTNND1, 34
ARHGAP24, 34
WDFY3, 34
ALDH6A1, 34
FOXP1, 34
SORBS2, 34
ETS1, 34
EML4, 34
PRPF40A, 34
ARL15, 34
PHLPP1, 34
PHACTR2, 33
ARHGAP25, 33
CYP3A26, 33
IGF1, 33
SMAD3, 33
MAPKAP1, 33
GMDS, 33
SNX13, 33
GPR39, 33
CLYBL, 33
TPM1, 33
ZNF407, 33
DLC1, 32
DYM, 32
TXNIP, 32
SCFD2, 32
TP53, 32
ERBIN, 32
UBR5, 32
EPHA3, 32
VPS13D, 32
SSH2, 32
KDM4C, 32
UBE2H, 32
ANKRD44, 31
EXOC6, 31
ADRA1A, 31
PID1, 31
CEACAM28, 31
HABP2, 31
ARHGAP28, 31
ACACA, 31
NCKIPSD, 31
CAMK1D, 31
TRIO, 31
SMAP1, 31
TMEM135, 31
CD44, 30
ITSN2, 30
RBM6, 30
INTS3, 30
PCNX1, 30
PLXDC2, 30
TCF7L1, 30
MLLT10, 30
TBC1D22A, 30
PCCA, 30
RPS6KA2, 30
NCKAP5, 30
GALNT13, 30
ERC1, 30
SRGAP3, 30
TRMT44, 30
GRK3, 29
PSAP, 29
IKZF1, 29
SOX5, 29
CREB3L2, 29
WDYHV1, 29
SORL1, 29
TBC1D9, 29
SLCO1B3, 29
FLI1, 29
ELP4, 29
TBXAS1, 29
KIAA0922, 29
RABGAP1, 29
MAP2K5, 28
BTBD11, 28
DAPK1, 28
PDE4D, 28
AP3B1, 28
RAPGEF2, 28
FER, 28
SMAD6, 28
PIAS1, 28
PIK3C3, 28
IKZF2, 28
STIM1, 28
SMG6, 28
NDST1, 28
PSD3, 28
PHF14, 28
CCDC34, 28
KAT6B, 28
TMEM131, 28
PHKB, 28
RPS6KC1, 28
UBE3C, 28
PPIB, 28
MYH9, 28
CERS6, 28
PGAP1, 28
WNK1, 27
CHCHD3, 27
STK3, 27
NCOR1, 27
PYGL, 27
FEM1C, 27
COBLL1, 27
FAM13A, 27
MEIS1, 27
MYLK, 27
TMEM164, 27
LTBP1, 27
TGFBR3, 27
RNLS, 27
SLC2A9, 27
HNRNPM, 27
IQGAP1, 27
SEPT7, 27
PGS1, 27
CDKN2B, 27
MAN1A2, 27
FBXW4, 27
PRKAR2B, 27
PEX14, 27
PRIM2, 27
ATP2A2, 27
ATG7, 26
SLC16A7, 26
PPP6R3, 26
ANO6, 26
GPCPD1, 26
TBC1D1, 26
NUDT3, 26
FAF1, 26
SKAP1, 26
DCAF5, 26
STOX2, 26
CDK6, 26
COL4A2, 26
PDE3B, 26
KCNMA1, 26
RBM33, 26
VPS13C, 26
ACSL4, 26
NMD3, 26
BMP2K, 26
SBNO1, 26
C7, 26
PPP1R12B, 26
ARID4B, 26
TEF, 26
EXOC2, 26
USP15, 26
ARID5B, 26
SEMA5A, 26
ADGRL2, 26
SKAP2, 26
PAPD4, 26
SEC16A, 26
WDFY1, 26
HES4, 26
PRKAG2, 26
VPS13A, 26
MBP, 25
ARIH1, 25
GLCCI1, 25
LMAN2, 25
NEDD4L, 25
KIF16B, 25
SDK1, 25
SLCO2B1, 25
KMT2C, 25
NCOR2, 25
ITPK1, 25
MAN1A1, 25
GBA3, 25
MYO1B, 25
RERE, 25
RANBP17, 25
CUX2, 25
UGCG, 25
MAD1L1, 25
BNC2, 25
SCAPER, 25
PHF21A, 25
HNRNPD, 25
AGFG1, 25
CDH13, 25
RSRC1, 25
MCL1, 25
HES2, 25
RNGTT, 24
APBB2, 24
TAF4B, 24
SUSD1, 24
KAT6A, 24
STAG1, 24
C2CD3, 24
TNRC6A, 24
DIP2B, 24
SV2A, 24
MITF, 24
SEC14L1, 24
XDH, 24
FNIP1, 24
ANKRD17, 24
CCDC88A, 24
WDR70, 24
ALAS1, 24
MSTO1, 24
SRPK2, 24
SNTB1, 24
RARB, 24
