taglen,crossmapped,LTR,Coding_Exon,srpRNA,precursor,Intron,LINE,Satellite,rmsk_RNA,rRNA,rmsk_Other,Unknown,rmsk_Low_complexity,unannotated,p3_UTR,p5_UTR,rmsk_DNA,mature,tRNA,snRNA,scRNA,rmsk_Simple_repeat,rmsk_Unknown,star,No_CDS,SINE,stemloop,snoRNA
12,0,0,4.75699725225268e-05,0,0,0.000153281022572586,0,0,0,0,0,0.000581410775275327,0,1.05711050050059e-05,5.28555250250297e-06,1.05711050050059e-05,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0.000348846465165196,0,0,0.00225164536606627,0,0,0,0,0,0.0111948002003013,0,1.58566575075089e-05,0.000179708785085101,0.000237849862612634,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0.00179180229834851,0,0,0.00531198026501549,0,0,0,0,0,0.0491239249582626,0,5.81410775275327e-05,0.000317133150150178,0.00116282155055065,0,1.05711050050059e-05,0,0,0,0,0,0,0,0,0,0
15,0,0,0.00468828506972014,0,0,0.0104812506124634,0,0,0,0,0,0.0717619463264829,0,6.87121825325387e-05,0.00108882381551561,0.000972541660460547,0,0.000163852127577592,0,0,0,0,0,0,0,0,1.05711050050059e-05,0
16,0,0,0.00811860864384457,0,0,0.0207193658098117,0,0,0,0,0,0.0888765653295875,0,0.000295990940140166,0.0024894952286789,0.00153281022572586,0,0.00135310144064076,0,0,0,0,0,0,0,0,4.75699725225268e-05,0
17,0,0,0.00940299790195279,0,0,0.0200639572995013,0,0,0,0,0,0.0765295146837406,0,0.000787547322872943,0.00272734509129153,0.00156980909324338,0,0.010581676110011,0,0,0,0,0,0,0,0,4.75699725225268e-05,0
18,6.34266300300357e-05,0,0.00979941433964051,0,0,0.0233938553760782,0,0,0,0,0,0.059605175570726,0,0.0016015224082584,0.00287005500885911,0.00154866688323337,0,0.0348370765439971,0,0,0,0,0,0,0,0,4.75699725225268e-05,0
19,0.000417558647697735,0,0.00946113897948032,0,0,0.0159993674250765,0,0,0,0,0,0.0590871914254807,0,0.00708792590585649,0.00276962951131156,0.00119453486556567,0,0.100964623902812,0,0,0,0,0,0,0,0,5.28555250250297e-05,0
20,0.000914400582933014,0,0.00913343472432514,0,1.05711050050059e-05,0.0158038019824839,0,0,0,0,0,0.0834007329369944,0,0.0330558453506536,0.00276434395880905,0.00125796149559571,0,0.500811385164659,0,0,0,0,0,0,0,0,5.28555250250297e-06,0
21,0.00500013266736781,0,0.00955099337202287,0,0,0.0437062336431971,0,0,0,0,0,0.10169931570066,0,0.101884310038247,0.00317133150150178,0.00103068273798808,0,2.30094899980961,0,0,0,0,0,0,0,0,0,0
22,0.00039113088518522,0,0.00914929138183265,0,0,0.122978950075737,0,0,0,0,0,0.11033590848975,0,0.195570728145113,0.00354660572917949,0.00126324704809821,0,4.23201503549407,0,0,0,0,0,0,0,0,5.28555250250297e-05,0
23,0.000258992072622646,0,0.00887444265170249,0,0,0.0221094661179699,0,0,0,0,0,0.0979042890038626,0,0.102978419406265,0.00369460119924958,0.000998969422973062,0,1.12923714994975,0,0,0,0,0,0,0,0,1.05711050050059e-05,0
24,5.28555250250297e-06,0,0.00890087041421501,0,0,0.0114432211679189,0,0,0,0,0,0.0457094580416457,0,0.0243293981690212,0.0031977592640143,0.000946113897948032,0,0.224831546798969,0,0,0,0,0,0,0,0,5.28555250250297e-06,0
25,0,0,0.00847274066151227,0,0,0.0117814965280791,0,0,0,0,0,0.0467982818571613,0,0.000951399450450535,0.00262691959374398,0.000872116162912991,0,0.015962368557559,0,0,0,0,0,0,0,0,0,0
26,0,0,0.0083617440589597,0,0,0.01332487785881,0,0,0,0,0,0.04886493288564,0,0.000972541660460547,0.00415972981946984,0.00109410936801812,0,0.00369460119924958,0,0,0,0,0,0,0,0,0,0
27,0,0,0.00820317748388462,0,0,0.0188694224339356,0,0,0,0,0,0.0952615127526111,0,0.000132138812562574,0.00327175699904934,0.00292819608638665,0,0.000306562045145172,0,0,0,0,0,0,0,0,0,0
28,0,0,0.00830360298143217,0,1.05711050050059e-05,0.0323792946303332,0,0,0,0,0,0.17385767846483,0,8.98543925425505e-05,0.00484156609229272,0.000877401715415494,0,7.92832875375446e-05,0,0,0,0,0,0,0,0,0,0
29,0,0,0.00796532762127198,0,0,0.027479587460513,0,0,0,0,0,0.193033662943911,0,7.92832875375446e-05,0.00922857466937019,0.0012473903905907,0,0.000132138812562574,0,0,0,0,0,0,0,0,0,0
30,0,0,0.00797061317377448,0,0,0.0194772609717235,0,0,0,0,0,0.128322643655767,0,6.87121825325387e-05,0.00653294289309368,0.00155395243573587,0,6.34266300300357e-05,0,0,0,0,0,0,0,0,0,0
31,0,0,0.00819260637887961,0,0,0.0262480537274298,0,0,0,0,0,0.127831087273034,0,6.87121825325387e-05,0.0216179097352372,0.00137424365065077,0,0.000280134282632658,0,0,0,0,0,0,0,0,1.05711050050059e-05,0
32,0,0,0.00791775764874945,0,1.05711050050059e-05,0.0315494628874402,0,0,0,0,0,0.340289155663644,0,4.22844200200238e-05,0.0251856576744267,0.0447633441436977,0,0.000100425497547556,0,0,0,0,0,0,0,0,0,0
33,0,0,0.00855202394904981,0,0,0.0368138731799332,0,0,0,0,0,0.905948984481512,0,2.64277625125149e-05,0.0686751836650211,0.0292238197863389,0,7.92832875375446e-05,0,0,0,0,0,0,0,0,5.28555250250297e-06,0
34,0,0,0.00855730950155231,0,0,0.0442030755784324,0,0,0,0,0,0.516905892534781,0,5.28555250250297e-06,0.116276869502563,0.0382779712231265,0,2.11422100100119e-05,0,0,0,0,0,0,0,0,1.05711050050059e-05,0
35,0,0,0.00778033328368438,0,0,0.0294880974114641,0,0,0,0,0,0.46286640374919,0,0,0.113850800903914,0.0190121323515032,0,0.000137424365065077,0,0,0,0,0,0,0,0,2.64277625125149e-05,0
36,0,0,0.0085308817390398,0,0,0.0188799935389406,0,0,0,0,0,0.180681326745562,0,5.28555250250297e-06,0.0533259391977525,0.00163852127577592,0,0.000137424365065077,0,0,0,0,0,0,0,0,2.11422100100119e-05,0
37,0,0,0.00878987381166244,0,5.28555250250297e-06,0.0171621889756272,0,0,0,0,0,0.130590145679341,0,1.05711050050059e-05,0.00243663970365387,0.00102539718548558,0,7.39977350350416e-05,0,0,0,0,0,0,0,0,4.22844200200238e-05,0
38,0,0,0.00797061317377448,0,0,0.0229340123083604,0,0,0,0,0,0.0685641870624686,0,5.28555250250297e-06,0.00169137680080095,0.000755834007857925,0,4.75699725225268e-05,0,0,0,0,0,0,0,0,0,0
39,0,0,0.00802875425130202,0,0,0.026596900192595,0,0,0,0,0,0.0717566607739804,0,1.58566575075089e-05,0.00224635981356376,0.000560268565265315,0,0.000110996602552562,0,0,0,0,0,0,0,0,1.58566575075089e-05,0
40,0,0,0.00890615596671751,0,0,0.0279235738707232,0,0,0,0,0,0.100673918515174,0,0,0.00329818476156186,0.000750548455355422,0,5.28555250250297e-05,0,0,0,0,0,0,0,0,0,0
41,0,0,0.00867887720910988,0,0,0.0377547015253787,0,0,0,0,0,0.0587594871703256,0,0,0.00180765895585602,0.000544411907757806,0,5.28555250250297e-05,0,0,0,0,0,0,0,0,5.28555250250297e-06,0
42,0,0,0.00856788060655732,0,0,0.0247311001592114,0,0,0,0,0,0.0672797978043603,0,5.28555250250297e-06,0.00147995470070083,0.000486270830230274,0,1.05711050050059e-05,0,0,0,0,0,0,0,0,5.28555250250297e-06,0
43,0,0,0.0088955848617125,0,0,0.0214804853701721,0,0,0,0,0,0.0735378919673239,0,5.28555250250297e-06,0.00186580003338355,0.000406987542692729,0,1.05711050050059e-05,0,0,0,0,0,0,0,0,0,0
44,0,0,0.00879515936416495,0,0,0.0147731192444958,0,0,0,0,0,0.124051917233745,0,1.05711050050059e-05,0.00164909238078093,0.000565554117767818,0,4.22844200200238e-05,0,0,0,0,0,0,0,0,5.28555250250297e-06,0
45,0,0,0.0101905452248257,0,0,0.0457253146991532,0,0,0,0,0,0.146351663241805,0,0,0.00188694224339356,0.000539126355255303,0,0.000317133150150178,0,0,0,0,0,0,0,0,0,0
46,0,0,0.0149581135820834,0,0,0.190824301997865,0,0,0,0,0,0.441507486086576,0,1.05711050050059e-05,0.00279077172132157,0.00173366122082098,0,8.45688400400476e-05,0,0,0,0,0,0,0,0,5.28555250250297e-06,0
47,0,0,0.0375168516627661,0,5.28555250250297e-06,2.11718619595509,0,0,0,0,0,7.92813318831187,0,0,0.00643251739554612,0.00243663970365387,0,0.000184994337587604,0,0,0,0,0,0,0,0,1.58566575075089e-05,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0.302708877370848,0,4.22844200200238e-05,23.7666453940797,0,0,0,0,0,49.2478394511313,0,0.000216707652602622,0.162890157022137,0.0450329073213253,0,0.0076376233661168,0,0,0,0,0,0,0,0,5.28555250250297e-06,0
