miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-let-7a-1	13162	7686.710202	N
cfa-let-7a-2	12998	7590.932929	N
cfa-let-7b	17531	10238.240128	N
cfa-let-7c	4430	2587.154399	N
cfa-let-7d	2192	1280.145021	N
cfa-let-7e	2537	1481.627700	N
cfa-let-7f	27942	16318.344969	N
cfa-let-7g	51882	30299.490862	N
cfa-let-7j	0	0.000000	N
cfa-mir-1-1	183	106.873421	N
cfa-mir-1-2	159	92.857235	N
cfa-mir-101-1	5362	3131.449636	N
cfa-mir-101-2	5905	3448.565852	N
cfa-mir-103-1	2684	1567.476841	Y
cfa-mir-103-2	3079	1798.159908	Y
cfa-mir-105a	7	4.088054	N
cfa-mir-105b	1	0.584008	N
cfa-mir-106a	29	16.936225	Y
cfa-mir-106b	1361	794.834568	N
cfa-mir-107	1400	817.610871	Y
cfa-mir-10a	30404	17756.172086	N
cfa-mir-10b	6387	3730.057595	N
cfa-mir-1185	1	0.584008	N
cfa-mir-1199	0	0.000000	N
cfa-mir-122	367472	214606.501408	N
cfa-mir-124-1	0	0.000000	N
cfa-mir-124-2	1	0.584008	N
cfa-mir-124-3	0	0.000000	N
cfa-mir-1249	82	47.888637	N
cfa-mir-125a	11148	6510.518564	N
cfa-mir-125b-1	6856	4003.957237	N
cfa-mir-125b-2	7048	4116.086727	N
cfa-mir-126	32474	18965.068160	N
cfa-mir-127	66	38.544512	N
cfa-mir-1271	153	89.353188	N
cfa-mir-128-1	1854	1082.750396	N
cfa-mir-128-2	1120	654.088697	N
cfa-mir-129-1	13	7.592101	N
cfa-mir-129-2	5	2.920039	N
cfa-mir-1296	16	9.344124	N
cfa-mir-1301	45	26.280349	N
cfa-mir-1306	39	22.776303	N
cfa-mir-1307	565	329.964387	N
cfa-mir-130a	346	202.066687	N
cfa-mir-130b	37	21.608287	N
cfa-mir-132	65	37.960505	N
cfa-mir-133a	121	70.664940	Y
cfa-mir-133b	0	0.000000	N
cfa-mir-133c	122	71.248947	Y
cfa-mir-134	0	0.000000	N
cfa-mir-1343	38	22.192295	N
cfa-mir-135a-1	370	216.082873	N
cfa-mir-135a-2	374	218.418904	N
cfa-mir-135b	22	12.848171	N
cfa-mir-136	1	0.584008	N
cfa-mir-137	0	0.000000	N
cfa-mir-138a	9	5.256070	Y
cfa-mir-138b	4	2.336031	Y
cfa-mir-139	873	509.838779	N
cfa-mir-140	3021	1764.287458	N
cfa-mir-141	18	10.512140	N
cfa-mir-142	5237	3058.448665	N
cfa-mir-143	86692	50628.801161	N
cfa-mir-144	618	360.916799	N
cfa-mir-145	15276	8921.302618	N
cfa-mir-1468	18	10.512140	N
cfa-mir-146a	15974	9328.940038	N
cfa-mir-146b	701	409.389443	N
cfa-mir-147	1	0.584008	N
cfa-mir-148a	149342	87216.887636	N
cfa-mir-148b	3189	1862.400762	N
cfa-mir-149	31	18.104241	N
cfa-mir-150	2074	1211.232105	N
cfa-mir-151	6225	3635.448337	N
cfa-mir-152	1612	941.420517	N
cfa-mir-153	16	9.344124	N
cfa-mir-155	1976	1153.999344	N
cfa-mir-15a	799	466.622204	N
cfa-mir-15b	826	482.390414	N
cfa-mir-16-1	3089	1803.999986	N
cfa-mir-16-2	3012	1759.031388	N
cfa-mir-17	1015	592.767881	Y
cfa-mir-181a-1	3314	1935.401733	N
cfa-mir-181a-2	3158	1844.296522	N
cfa-mir-181b-1	885	516.846872	N
cfa-mir-181b-2	988	576.999672	N
cfa-mir-181c	124	72.416963	N
cfa-mir-181d	154	89.937196	N
cfa-mir-182	337	196.810617	N
cfa-mir-183	131	76.505017	N
cfa-mir-1835	31	18.104241	N
cfa-mir-1836	62	36.208481	N
cfa-mir-1837-1	1	0.584008	N
cfa-mir-1837-2	2	1.168016	N
cfa-mir-1837-3	0	0.000000	N
cfa-mir-1838	22	12.848171	N
cfa-mir-1839	150	87.601165	N
cfa-mir-184	2	1.168016	N
cfa-mir-1840	8	4.672062	N
cfa-mir-1841	7	4.088054	N
cfa-mir-1842	24	14.016186	N
cfa-mir-1843	53	30.952412	N
cfa-mir-1844	5	2.920039	N
cfa-mir-185	1007	588.095819	N
cfa-mir-186	10869	6347.580397	N
cfa-mir-187	3	1.752023	N
cfa-mir-188	22	12.848171	N
cfa-mir-18a	79	46.136613	N
cfa-mir-18b	0	0.000000	N
cfa-mir-190a	14	8.176109	N
cfa-mir-190b	18	10.512140	N
cfa-mir-191	14409	8414.967885	N
