, 16317
ALB, 8872
MT-CO2, 5527
APOB, 3921
TF, 2635
C3, 2283
COX1, 1650
FN1, 1611
FGA, 1385
ALDOB, 1373
RBP4, 1283
MT-ATP8, 1202
FGB, 1172
CPS1, 1088
FGG, 905
SERPINA1, 856
LRP1, 837
MT-ND3, 821
GC, 689
CYP2E1, 668
APOH, 666
C1S, 642
COX3, 624
CLU, 506
AHSG, 475
MT-ND1, 469
ND5, 468
APOA1, 448
CYP3A26, 443
ND2, 441
HPX, 431
VTN, 430
MT-ND6, 429
PLG, 423
ATP6, 407
B2M, 403
BHMT, 383
HMGCS2, 382
CYP3A12, 368
CAT, 357
RELN, 355
EEF2, 344
AHNAK, 340
APOE, 333
HRG, 332
SCP2, 328
PSAP, 326
FTH1, 325
SPTBN1, 314
DST, 308
MT-ND4, 288
C1R, 287
HPD, 287
TPT1, 284
SERPING1, 269
TTR, 268
CP, 266
DYNC1H1, 266
ASS1, 264
ADH4, 264
CTSB, 250
C5, 244
HSP90AA1, 244
CESdD1, 241
COL1A2, 241
HSP90B1, 236
MAN2A1, 235
ITIH2, 233
CYP2C18, 228
PROS1, 223
IGHM, 220
SERPINC1, 215
UGT2B31, 215
CLTC, 212
ACSL4, 209
EHHADH, 208
C6, 203
ABCA1, 203
ABCB4, 202
GPNMB, 201
COL3A1, 199
SLC40A1, 197
CD74, 197
POSTN, 186
PAH, 185
THBS1, 183
SLC38A4, 177
CYTB, 174
P4HB, 174
CFI, 170
PON1, 169
ITM2B, 168
HERC1, 168
ACACA, 166
F5, 164
MYH9, 162
HSD17B4, 161
MT1, 159
ITIH1, 159
ACTB, 154
EPHX1, 153
RPL9, 151
COL6A5, 151
RNF213, 149
C4BPA, 148
GLDC, 146
PYGL, 143
TTPA, 142
ACTG1, 140
LAMP2, 139
A2M, 138
PCK2, 138
ACADM, 136
SLC7A2, 136
VIM, 136
HSP90AB1, 136
SYNE2, 135
RGN, 134
F2, 134
HSPA5, 133
HLA-DRB1, 133
RPL12, 131
APOA2, 131
FASN, 130
CDO1, 128
MACF1, 127
TAS1R2, 127
ND4L, 125
AMBP, 125
COL6A3, 125
NDRG2, 122
CSDE1, 122
CYP7B1, 121
SRRM2, 120
HUWE1, 120
PLEC, 120
ACAA2, 117
UBR4, 117
ABCA9, 115
ACSL1, 114
FTL, 113
HDLBP, 113
COL12A1, 111
MGAM, 110
UGP2, 110
CD163, 109
TXNIP, 109
NNT, 109
FETUB, 108
IQGAP2, 108
SLCO1B3, 107
SPARCL1, 107
ASAH1, 107
LUM, 106
GPLD1, 104
AGL, 104
DPYD, 102
RACK1, 101
HERC2, 101
CTSK, 101
CPB2, 101
F9, 100
GLUL, 100
RNASE4, 99
DLA DRA, 99
VPS13D, 98
DPYS, 98
ITGB1, 98
APP, 97
IL6ST, 97
FAT1, 97
EIF4B, 97
PRDX1, 96
PRPF8, 96
RPL8, 96
SLC27A2, 96
ALDH1A1, 96
ARG1, 96
MT2A, 95
PABPC1, 95
ATP1A1, 95
FMO1, 95
TLN1, 95
ANGPTL3, 94
ADIPOR2, 94
CANX, 92
ALAS1, 92
CD36, 90
DSP, 89
CTNNB1, 89
CI-MPR, 89
UGDH, 89
ADAM23, 89
STAB2, 89
ATP5A1, 88
NCOA4, 88
COL1A1, 88
EIF4A2, 87
SDHA, 87
GOT1, 86
UBR5, 86
EPRS, 86
GPX3, 85
SERPIND1, 85
MGST1, 84
DLA-DQA1, 84
HSD17B13, 84
PIGR, 83
ALDH3A2, 83
GBE1, 83
SAMD9L, 82
BIRC6, 82
NCKAP1, 81
EIF4G2, 81
SERPINF1, 80
AQP9, 80
HADHA, 80
CDH1, 79
CALR, 79
HECTD1, 79
MRC1, 79
SORD, 78
SERPINA5, 78
BGN, 78
CNOT1, 77
QSOX1, 77
VPS13C, 76
RPN2, 76
MTHFD1, 76
CYP2A7, 76
TAT, 75
PCNX1, 75
LECT2, 75
NOTCH2, 74
DCN, 74
C7, 74
JCHAIN, 73
KIAA0368, 73
TMBIM6, 73
CYP7A1, 72
ALDH9A1, 72
TRIP12, 71
CTSS, 71
SMG1, 71
FBLN1, 71
MAN1A1, 71
NID1, 71
RPS9, 70
AHCY, 69
PDGFRB, 68
MYO1B, 68
CYP2A13, 68
BCHE, 68
GDI2, 68
ARHGAP5, 68
USP34, 68
SUCLG2, 67
MARCH6, 67
CTNND1, 67
CPT1A, 67
XPOT, 67
GOLGB1, 67
HIPK3, 66
FH, 66
ACOX2, 66
ARRDC3, 66
VCP, 66
CLUH, 66
ACAD11, 65
ACLY, 65
AFM, 65
CTSZ, 64
SLC6A11, 64
IPO7, 64
CYP4V2, 64
DDX3X, 64
NRP1, 64
ITGAV, 64
AZGP1, 63
AGTR1, 63
LRPPRC, 63
HGD, 62
OTC, 62
COPB1, 62
A1BG, 62
DDX5, 62
IGFBP7, 62
TMEM59, 62
JAK1, 61
ABCB11, 61
SEC31A, 61
LIFR, 61
ACADSB, 61
DHCR24, 61
MYLK, 61
RPS8, 61
RPS5, 60
AGT, 60
HABP2, 60
PRDX6, 60
ALDH7A1, 60
LDLR, 60
MPEG1, 60
COPB2, 60
CYP27A1, 60
GDA, 60
KDR, 59
KIAA1109, 59
MIA3, 59
COL14A1, 59
C9, 59
SPTAN1, 59
APOC1, 59
BHMT2, 58
RPL5, 58
RPL15, 58
TDO2, 58
ANKRD50, 58
COL18A1, 58
PNP, 58
ARHGEF12, 57
ACADVL, 57
ACSL5, 57
CXCL12, 57
ERBIN, 56
AMDHD1, 56
ARHGAP35, 56
FBN1, 56
WWP1, 56
ANXA6, 56
KIAA1429, 56
COMT, 55
FDFT1, 55
CCT4, 55
TNFSF10, 55
AMACR, 55
ABCA8, 55
ECI2, 55
RPS18, 55
GNE, 55
COPA, 55
LAMC1, 55
MYCBP2, 54
CD81, 54
PLK2, 54
CSAD, 54
C11orf54, 54
CTNNA1, 53
DIAPH1, 53
C8B, 53
ACAA1, 53
CYP8B1, 53
DMGDH, 53
MTTP, 53
TRIM25, 53
FLNA, 52
RPL13A, 52
C1QB, 52
HSDL2, 52
HMGCR, 52
HNRNPU, 52
A1CF, 52
SOD1, 52
CD47, 52
FNIP2, 52
AKAP12, 52
ETFDH, 52
SLC25A13, 52
UGT1A6, 52
PDIA4, 51
DDX17, 51
UROC1, 51
EIF4EBP3, 51
NBEAL1, 51
MUT, 51
LAMP1, 51
LONP2, 51
WNK1, 50
MDR1, 50
VCAN, 50
WDFY3, 50
ACTN4, 50
PRRC2C, 50
ACSM4, 50
TAX1BP1, 50
HEXB, 49
USP24, 49
RPL35A, 49
CFHR5, 49
ATP5F1, 49
SVEP1, 49
HSPA9, 49
CGNL1, 49
POR, 49
SERPINA3, 49
GANAB, 49
EIF3A, 48
SERPINA4, 48
PCYOX1, 48
SMARCA2, 48
PCSK6, 48
TGFBR2, 48
CSF1R, 48
SETD2, 48
GHITM, 48
RPS4X, 48
FMO3, 48
ACTR2, 48
SPEN, 48
ZNFX1, 48
HERC6, 48
DHDH, 48
EIF4G1, 48
NCL, 48
RPL18A, 47
CAND1, 47
TM9SF2, 47
LTBP4, 47
FLNB, 47
IDH1, 47
ATRN, 47
SERINC1, 47
UBR3, 47
ABCD3, 47
PRKAR1A, 47
SLC30A1, 47
PGAM4, 47
GGCX, 47
RAD23B, 46
C1QC, 46
ATP13A3, 46
FDX1, 46
SF3B1, 46
MAOB, 46
PARP14, 46
PON3, 46
RPS3, 46
ALDH6A1, 46
FMO5, 46
CD5L, 46
CPD, 45
RPL3, 45
EPAS1, 45
MET, 45
RPL28, 45
PCM1, 45
PGM1, 44
ACO1, 44
PEBP1, 44
PRRC2B, 44
MYH14, 44
FBXL5, 44
RPS7, 44
PEG3, 44
ITPR2, 44
ADGRL2, 44
GNMT, 44
GGH, 44
NDUFS1, 44
ACOX1, 44
APOC3, 43
HNRNPA2B1, 43
MAT1A, 43
FBLN5, 43
NBR1, 43
EPHX2, 43
BPHL, 43
ADK, 43
UGT2A3, 43
KPNB1, 43
VPS13A, 43
LRBA, 43
EIF1, 42
PDXDC1, 42
SPARC, 42
PTEN, 42
DHTKD1, 42
ATP11A, 42
LRP5, 42
FBP1, 42
STAT3, 41
PLA2G7, 41
TKFC, 41
CALD1, 41
GHR, 41
SORT1, 41
ASCC3, 41
SLC2A2, 41
TOP2B, 41
MDH1, 41
C8A, 41
EIF5, 41
MDN1, 41
GABARAP, 40
GOLGA4, 40
VWA8, 40
IREB2, 40
PICALM, 40
ITGA9, 40
ADGRA3, 40
CTH, 40
CYLD, 40
SQSTM1, 40
OSGEPL1, 40
ABCC9, 40
PROX1, 40
SC5D, 40
ASH1L, 40
APOC2, 40
CYP2B6, 40
AADAT, 40
MAP4, 40
JMJD1C, 40
ATF4, 39
IL13RA1, 39
RPL10A, 39
SLC38A3, 39
MASP1, 39
LTBP2, 39
CMBL, 39
DCTN1, 39
UGGT1, 39
SSFA2, 39
UHMK1, 39
FNDC3A, 39
XPO1, 39
IL1R1, 39
SPP1, 39
KIDINS220, 39
PTPRK, 39
ANXA2, 38
GCLC, 38
LMAN1, 38
