, 3047639
RPS12, 932729
EIF4A2, 588252
UBAP2, 391165
GNL3, 325923
NOP56, 314665
RACK1, 305989
NCL, 281439
RPS8, 275273
RPL7A, 264287
P2RY11, 190301
TNPO2, 172671
EIF4G1, 155799
WDR43, 155058
SF3B3, 130901
HSPA9, 124456
PRPF39, 120461
RPL13A, 99375
RPL5, 98124
PUM1, 89456
RABGGTB, 84996
RPL3, 84914
CCAR1, 80046
NOP58, 78918
PRRC2B, 68283
AP1G1, 66993
AP1B1, 60569
EEF2, 51900
DDX39B, 25994
SPCS1, 22400
TEX14, 20352
MED24, 18772
CEP295, 16588
HUWE1, 5782
SNX5, 4190
GTF2A1, 3103
TCP1, 2298
CHD4, 2218
RPS3, 2157
RPL12, 2064
RPSA, 1597
CNOT1, 1591
RAPGEF5, 1545
RPL23, 1489
RPL32, 1346
ADAMTSL1, 1281
MYO16, 1230
KANSL2, 1222
RPS11, 1037
IKBKG, 985
KIAA0907, 859
PTCD3, 760
CKAP5, 698
TIPIN, 695
TMEM167A, 633
RANBP1, 603
OVOL2, 601
CHD8, 595
KPNA4, 541
TPT1, 532
EIF5, 487
SPIRE1, 432
INPP4B, 428
EIF4G2, 422
MOB4, 405
NCAPD2, 401
TRRAP, 393
IPO7, 370
UBAP2L, 369
NOP53, 363
EIF3A, 361
SLC25A16, 353
EP400, 344
CGN, 336
PPP1R8, 329
CCT6A, 323
MAML2, 317
SLC38A4, 302
WRAP53, 266
FGA, 250
TOMM20, 244
ANO10, 237
TTC7B, 208
FGG, 187
MAP2K4, 181
RFWD2, 173
HAUS6, 167
CYP3A26, 167
C4orf45, 159
FAM208B, 158
FMNL2, 149
CCDC180, 134
PHB2, 131
NRF1, 131
ATG16L1, 125
CWF19L1, 119
ZER1, 117
PABPC4, 117
PRKCA, 116
ACTN1, 115
APOA1, 113
ASPH, 112
ACSL3, 108
NUP155, 106
COL22A1, 101
BUB1, 100
ITGA9, 98
YTHDC2, 97
FZD4, 96
NFIB, 90
TTC28, 89
EXT1, 87
MAML1, 86
EXOC4, 85
DST, 84
LPCAT2, 82
NFIA, 81
NDST1, 79
UGT1A6, 79
CCBE1, 76
RPS15A, 75
MBNL1, 74
SH3PXD2B, 70
PBX1, 69
MAGI3, 68
CYP7B1, 67
QKI, 66
LSAMP, 65
AARS, 61
ADK, 61
DPYD, 60
TEF, 60
PRRC2A, 60
PTPRM, 60
SLC9A9, 58
CHD3, 58
GUCY1A2, 57
VPS13B, 57
C16orf72, 57
ETV6, 56
LAMP2, 56
G3BP1, 56
MED13L, 56
ATRNL1, 55
SVIL, 55
VTI1A, 55
KLF9, 53
ADAM23, 52
STAB2, 52
RBMS3, 51
FBXW2, 51
LDB2, 51
RDX, 51
ALDH6A1, 51
HES4, 50
CDKN2B, 50
MARK3, 50
TMED7-TICAM2, 49
OTOP1, 49
LPP, 48
HERC4, 48
ELMO1, 48
FARP1, 47
CP, 47
TRMT44, 47
AGAP2, 47
ZFAND3, 46
HIPK2, 45
RBPMS, 45
TCF12, 44
WDFY4, 44
GPHN, 44
FNDC3B, 43
MACF1, 43
