taglen,crossmapped,rRNA,rmsk_DNA,LTR,precursor,rmsk_Simple_repeat,Coding_Exon,Unknown,unannotated,srpRNA,tRNA,LINE,No_CDS,rmsk_Other,rmsk_RNA,Satellite,p3_UTR,rmsk_Unknown,snoRNA,snRNA,rmsk_Low_complexity,p5_UTR,star,scRNA,mature,Intron,stemloop,SINE
11,0,0,0,0,0,0,0,3.20189531710643e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,9.60568595131928e-06,0.000217728881563237,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60094765855321e-05,0,0,0,0.000166498556489534,0,0
13,0,0,0,0,0,0,8.64511735618735e-05,0.00664073088767873,1.28075812684257e-05,0,0,0,0,0,0,0,1.92113719026386e-05,0,0,0,0,6.7239801659235e-05,0,0,0,0.00123593159240308,0,0
14,0,0,0,0,0,0,0.00026895920663694,0.024007811087664,1.28075812684257e-05,0,0,0,0,0,0,0,7.36435922934478e-05,0,0,0,0,0.000262555416002727,0,0,0,0.00269919775232072,0,0
15,0,0,0,0,0,0,0.000829290887130565,0.0216704275061763,3.20189531710643e-06,0,0,0,0,0,0,0,0.000121672022050044,0,0,0,0,0.000198517509660598,0,0,2.56151625368514e-05,0.00202359784041126,3.20189531710643e-06,0
16,0,0,0,0,0,0,0.00142804531142947,0.0230184254346781,4.16246391223835e-05,0,0,0,0,0,0,0,0.00031378574107643,0,0,0,0,0.000262555416002727,0,0,0.000329795217661962,0.00282086977437076,1.60094765855321e-05,0
17,0,0,0,0,0,0,0.00176744621504275,0.0293805914297686,0.000124873917367151,0,0,0,0,0,0,0,0.000368217961467239,0,0,0,0,0.000291372473856685,0,0,0.00235659495339033,0.00277924513524838,3.20189531710643e-06,0
18,0,0,0,0,0,0,0.00201399215445994,0.0294126103829396,0.000220930776880343,0,0,0,0,0,0,0,0.000521908936688348,0,0,0,0,0.00031378574107643,0,0,0.00389350470560141,0.00341001851271834,6.40379063421285e-06,0
19,2.2413267219745e-05,0,0,0,0,0,0.00198197320128888,0.0315418707688154,0.000947761013863502,0,0,0,0,0,0,0,0.000489889983517283,0,0,0,0,0.000256151625368514,0,0,0.0140114939076577,0.00223172103602318,6.40379063421285e-06,0
20,8.96530688789799e-05,0,0,0,0,0,0.00180586895884802,0.0292589194077185,0.0046811709536096,0,0,0,0,0,0,0,0.000547524099225199,0,0,0,0,0.000249747834734301,0,0,0.0708291263097113,0.00235659495339033,3.20189531710643e-06,0
21,0.000505899460102815,0,0,0,0,0,0.00235979684870744,0.0477690762359108,0.0166242404864166,0,0,0,0,0,0,0,0.000778060562056862,0,0,0,0,0.000227334567514556,0,0,0.491513344443056,0.00638778115762732,6.40379063421285e-06,0
22,1.92113719026386e-05,0,0,0,1.28075812684257e-05,0,0.0026383617412957,0.0414197178220887,0.0301106235620688,0,0,0,0,0,0,0,0.000982981862351673,0,0,0,0,0.000329795217661962,0,0,0.883902413659132,0.0157181041116755,2.88170578539578e-05,0
23,1.60094765855321e-05,0,0,0,0,0,0.00296495506364055,0.0360885621191065,0.0234634888837559,0,0,0,0,0,0,0,0.000989385652985886,0,0,0,0,0.000265757311319833,0,0,0.243785905653849,0.0042361075045318,0,0
24,0,0,0,0,0,0,0.00310904035291034,0.0273537916940402,0.00639098305294443,0,0,0,0,0,0,0,0.000918943956009545,0,0,0,0,0.000211325090929024,0,0,0.0592926974821768,0.0026927939616865,0,0
25,0,0,0,0,0,0,0.00292333042451817,0.0253590109114829,0.000509101355419922,0,0,0,0,0,0,0,0.000899732584106906,0,0,0,0,0.000275362997271153,0,0,0.00414965633096993,0.00299697401681162,0,0
