miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-let-7a-1	3867	6637.088400	N
cfa-let-7a-2	3593	6166.811125	N
cfa-let-7b	5836	10016.562685	N
cfa-let-7c	1302	2234.675225	N
cfa-let-7d	585	1004.059145	N
cfa-let-7e	1026	1760.965270	N
cfa-let-7f	5362	9203.017326	N
cfa-let-7g	12926	22185.416255	N
cfa-let-7j	0	0.000000	N
cfa-mir-1-1	46	78.951659	N
cfa-mir-1-2	41	70.369957	N
cfa-mir-101-1	1545	2651.745947	N
cfa-mir-101-2	1678	2880.019223	N
cfa-mir-103-1	597	1024.655230	Y
cfa-mir-103-2	596	1022.938890	Y
cfa-mir-105a	1	1.716340	N
cfa-mir-105b	1	1.716340	N
cfa-mir-106a	9	15.447064	N
cfa-mir-106b	318	545.796253	N
cfa-mir-107	287	492.589700	Y
cfa-mir-10a	4079	7000.952569	N
cfa-mir-10b	883	1515.528590	N
cfa-mir-1185	5	8.581702	N
cfa-mir-1199	0	0.000000	N
cfa-mir-122	226436	388641.259107	N
cfa-mir-124-1	0	0.000000	N
cfa-mir-124-2	0	0.000000	N
cfa-mir-124-3	0	0.000000	N
cfa-mir-1249	133	228.273276	N
cfa-mir-125a	1917	3290.224583	N
cfa-mir-125b-1	1886	3237.018030	N
cfa-mir-125b-2	1878	3223.287307	N
cfa-mir-126	5564	9549.718091	N
cfa-mir-127	36	61.788255	N
cfa-mir-1271	25	42.908510	N
cfa-mir-128-1	375	643.627657	N
cfa-mir-128-2	209	358.715148	N
cfa-mir-129-1	12	20.596085	N
cfa-mir-129-2	6	10.298043	N
cfa-mir-1296	17	29.177787	N
cfa-mir-1301	24	41.192170	N
cfa-mir-1306	21	36.043149	N
cfa-mir-1307	152	260.883744	N
cfa-mir-130a	17	29.177787	N
cfa-mir-130b	13	22.312425	N
cfa-mir-132	14	24.028766	N
cfa-mir-133a	11	18.879745	Y
cfa-mir-133b	0	0.000000	N
cfa-mir-133c	11	18.879745	Y
cfa-mir-134	3	5.149021	N
cfa-mir-1343	30	51.490213	N
cfa-mir-135a-1	19	32.610468	N
cfa-mir-135a-2	13	22.312425	N
cfa-mir-135b	0	0.000000	N
cfa-mir-136	1	1.716340	N
cfa-mir-137	0	0.000000	N
cfa-mir-138a	0	0.000000	N
cfa-mir-138b	0	0.000000	N
cfa-mir-139	709	1216.885357	N
cfa-mir-140	499	856.453869	N
cfa-mir-141	0	0.000000	N
cfa-mir-142	399	684.819827	N
cfa-mir-143	8502	14592.326242	N
cfa-mir-144	19	32.610468	N
cfa-mir-145	2530	4342.341260	N
cfa-mir-1468	3	5.149021	N
cfa-mir-146a	930	1596.196590	N
cfa-mir-146b	202	346.700765	N
cfa-mir-147	1	1.716340	N
cfa-mir-148a	81238	139432.062955	N
cfa-mir-148b	947	1625.374377	N
cfa-mir-149	17	29.177787	N
cfa-mir-150	248	425.652424	N
cfa-mir-151	2990	5131.857853	N
cfa-mir-152	156	267.749105	N
cfa-mir-153	8	13.730723	N
cfa-mir-155	117	200.811829	N
cfa-mir-15a	52	89.249702	N
cfa-mir-15b	350	600.719147	N
cfa-mir-16-1	363	623.031572	N
cfa-mir-16-2	366	628.180593	N
cfa-mir-17	138	236.854978	N
cfa-mir-181a-1	2144	3679.833858	N
cfa-mir-181a-2	2151	3691.848241	N
cfa-mir-181b-1	227	389.609275	N
cfa-mir-181b-2	252	432.517786	N
cfa-mir-181c	10	17.163404	N
cfa-mir-181d	22	37.759489	N
cfa-mir-182	66	113.278468	N
cfa-mir-183	20	34.326808	N
cfa-mir-1835	2	3.432681	N
cfa-mir-1836	102	175.066723	N
cfa-mir-1837-1	0	0.000000	N
cfa-mir-1837-2	2	3.432681	N
cfa-mir-1837-3	0	0.000000	N
cfa-mir-1838	39	66.937276	N
cfa-mir-1839	36	61.788255	N
cfa-mir-184	0	0.000000	N
cfa-mir-1840	12	20.596085	N
cfa-mir-1841	4	6.865362	N
cfa-mir-1842	7	12.014383	N
cfa-mir-1843	36	61.788255	N
cfa-mir-1844	3	5.149021	N
cfa-mir-185	154	264.316425	N
cfa-mir-186	1246	2138.560162	N
cfa-mir-187	0	0.000000	N
cfa-mir-188	1	1.716340	N
