, 17645
TIA1, 9515
SNCAIP, 5761
ADIPOR2, 3154
UTRN, 2866
FGA, 1871
FOXP2, 1703
ACSS3, 1540
HMGCS2, 1199
TNRC6A, 1182
PARD3, 1034
SLC39A14, 975
SORBS2, 963
ACSL4, 932
SLC1A2, 914
NFE2L2, 898
TM4SF4, 882
NCOA2, 882
NOC2L, 851
RERE, 818
SLC16A7, 810
A1CF, 790
ATP13A3, 739
TMCC3, 732
PPARD, 702
NOCT, 685
SLC38A3, 669
ASS1, 668
STAT3, 656
PRLR, 644
TAT, 618
APOH, 608
CYP3A26, 605
TCF7L2, 583
SERPINA1, 574
MAT1A, 571
APOE, 529
SLC23A2, 527
OAT, 513
IRF2, 510
STK24, 508
ANKRD11, 501
FOXP1, 487
TF, 475
LGALS8, 466
GPX3, 452
RAPH1, 445
SHANK2, 432
FAM213A, 429
GC, 418
STARD13, 410
ZHX3, 409
ACSL1, 402
HIPK2, 389
PPP2R5A, 381
MAP3K2, 377
CGNL1, 373
MAGI2, 368
HSP90B1, 365
ST3GAL6, 364
GLCE, 364
FKBP5, 363
NABP2, 358
TEAD1, 357
ST6GAL1, 354
C4BPA, 344
CTBP1, 336
DDX39B, 335
SSBP3, 333
ZFPM2, 320
HNRNPA2B1, 319
EYA3, 318
CFLAR, 315
KLF12, 311
TJP2, 306
CPNE1, 304
ODC1, 303
NFYC, 301
TLCD1, 299
TMBIM6, 299
LPP, 292
SFMBT1, 291
FBXW11, 288
MLLT10, 285
FAM49B, 285
FAF1, 282
TFR2, 282
PPFIBP1, 278
GNB1, 277
RAD54L2, 277
THRAP3, 273
ZNF644, 273
LDLRAD4, 273
GLCCI1, 271
RASGEF1B, 259
OTC, 259
TTR, 259
DAG1, 258
CYP2A13, 255
GRB10, 250
TBL1XR1, 247
ATP8B1, 245
ACO1, 245
ABHD17B, 244
MAP4K4, 242
PGS1, 242
SPATS2L, 238
ANKRD12, 237
RBM47, 237
SHROOM3, 234
APOA1, 233
STRBP, 233
FAM126B, 233
PPM1B, 231
FBXL5, 230
CD36, 230
C11orf54, 229
TBL1Y, 229
ARID2, 228
CHKA, 226
MBNL1, 224
PTPRN2, 223
HYKK, 221
PTK2, 221
ITCH, 220
IDH1, 220
ATF7IP, 220
KLHDC2, 220
SLC38A4, 219
UBE2O, 218
JAK2, 216
ADGRL2, 215
HPD, 214
MARCH8, 211
TACC1, 211
AQP9, 209
SREK1, 209
HPX, 208
MYO1B, 208
ALDOB, 207
SLC15A1, 205
PPP6R2, 204
TOR1AIP2, 202
TCF4, 201
EPHX1, 200
AMDHD1, 199
STAG1, 198
SLC25A30, 194
PPARA, 194
TAOK3, 193
NOD1, 191
RAB30, 190
EPB41, 189
MKL1, 188
NDST1, 183
ST5, 182
RAI1, 181
ADD3, 180
PCMTD1, 180
CNBP, 179
JAK1, 179
PLCL2, 178
AGMO, 175
MGST1, 174
GAREM1, 174
KCTD20, 174
NCOA4, 173
SS18L1, 173
ATP2B1, 173
FRG1, 172
STAT5B, 171
SERPINA5, 171
CSNK1G3, 170
PJA2, 170
WASF2, 169
BRD2, 169
STK38L, 169
CUL1, 169
CTNNA1, 167
REV3L, 166
BID, 165
RICTOR, 165
WDFY3, 164
GLUL, 163
ACACA, 163
MKL2, 162
UHRF1, 162
GIGYF2, 162
KIAA1324L, 162
ACACB, 161
CPQ, 161
SLC5A6, 161
NRF1, 161
MT1, 158
USF3, 158
IGF2, 158
LUC7L3, 157
BACH1, 157
C1S, 154
TBCEL, 154
KLF3, 153
IKZF5, 153
SYTL4, 153
QKI, 152
FBXL7, 150
TOX3, 150
SLCO1B3, 149
RANBP9, 148
PAPD7, 148
EPC2, 147
CMBL, 147
H6PD, 145
RFFL, 145
MBTPS1, 145
PAK2, 144
ECHS1, 144
LARGE1, 144
SAR1B, 144
FAM172A, 144
DAAM2, 143
SMAD1, 143
SLC16A1, 142
PROX1, 142
PIK3R1, 141
AZIN1, 140
PPP6R3, 140
TDRD15, 140
RPS21, 139
NEK7, 138
SFMBT2, 137
PLEKHA1, 137
SUMO2, 137
RBM12, 137
ADH4, 135
LRRC28, 135
BIRC4, 135
SLC40A1, 134
SOCS2, 134
KDM7A, 133
KLHL29, 133
ALPL, 131
RIN2, 130
BCR, 130
CESdD1, 130
BAZ2B, 129
GALNT13, 128
COG2, 127
CD163, 127
AHSG, 126
SLC6A6, 125
SHBG, 125
APOA5, 124
HAMP, 123
C4BPB, 122
TMEM25, 122
NINL, 122
PLD1, 122
Gypc, 121
STARD4, 120
CD28, 119
CLU, 117
PPARGC1A, 117
ELF1, 117
ANXA4, 117
CHD6, 117
ACVR1, 116
EPS8, 115
SLC5A3, 115
ELOVL6, 115
HDAC4, 114
KCNK5, 114
FRYL, 114
CUL2, 114
SEMA6D, 114
KANSL1, 113
FMO3, 112
NR1I2, 112
TAOK1, 112
RALGPS2, 112
LRRC40, 112
SPOP, 111
HUWE1, 110
MAN1A1, 109
ZBTB43, 109
RAB5C, 109
ANP32A, 108
NFE2L1, 107
CP, 107
FARS2, 107
ARHGAP35, 107
SHMT1, 106
LEPR, 105
TCF20, 105
HACD2, 105
AP1B1, 105
PROSER2, 105
ALB, 104
AFTPH, 104
ZNF652, 104
AMBP, 104
NCAPH2, 103
SNRK, 103
ZCCHC11, 102
DNAJC12, 102
ARHGAP5, 102
NUP153, 102
STX16, 101
STAU1, 101
TSNARE1, 100
TET2, 100
PIK3CA, 98
PC, 97
EEA1, 97
MICAL3, 97
FGG, 97
ZNF236, 97
SNX2, 96
R3HDM1, 96
ZNF280D, 96
SEMA4G, 95
BIRC6, 95
PPA1, 95
BCAR1, 95
MFAP3L, 95
PRR14L, 94
TMEM2, 94
WIPF2, 94
CALD1, 94
EXOC2, 94
NCALD, 94
SERPINA6, 94
ZMYM2, 94
MYC, 94
WDTC1, 94
SERPINC1, 93
TAB2, 93
