, 2317269
EIF4A2, 254514
RPS12, 239160
RACK1, 198646
GNL3, 108401
SNX5, 86899
NOP56, 84376
WDR43, 50643
EIF4G1, 42136
TIPIN, 29880
TRRAP, 26393
SLC38A4, 25077
RPL5, 21681
RPS3, 18678
PRKCA, 18083
TEX14, 17984
DDX39B, 16370
NCL, 13856
EXT1, 12033
P2RY11, 11249
UBAP2, 11128
RPS8, 10775
CCAR1, 10725
HSPA9, 10511
PRRC2B, 9156
SF3B3, 9003
HUWE1, 8584
FGA, 7800
RPL32, 7720
RABGGTB, 7310
APOA1, 7200
ZBTB16, 6674
HABP2, 6531
RPL3, 6323
IGF2, 6263
RPSA, 6201
RPL13A, 6152
PRPF39, 6126
SPCS1, 6023
ANO10, 5819
NFIA, 5409
LRCH1, 5357
CYP7B1, 5291
ADK, 5242
PAH, 5150
CEP295, 4917
PUM1, 4703
ABCA1, 4639
GTF2A1, 4624
RPL7A, 4557
PLEKHA5, 4419
CPS1, 4329
KANSL2, 4251
ITGA9, 4189
ADRA1A, 4006
DPYD, 3785
UGT1A6, 3595
SLC25A13, 3509
IKBKG, 3454
IGF1, 3392
MAN1C1, 3382
GPHN, 3345
MTSS1, 3311
MGLL, 3247
COBLL1, 3178
PEBP1, 3099
KIAA1217, 3084
ACSS3, 3046
TNPO2, 3012
MAGI3, 2995
FOXO3, 2846
AP1G1, 2842
PTPRM, 2803
GPR39, 2618
CNOT1, 2539
RAPGEF5, 2494
MAN2A1, 2488
DST, 2459
ADAMTSL1, 2401
PRR16, 2360
EXOC4, 2312
PBX1, 2262
ASS1, 2256
PTPRK, 2201
HSD17B4, 2192
TPT1, 2188
BCL2, 2087
SND1, 2076
CDH2, 2065
IQGAP2, 2045
ACACA, 2043
PHLPP1, 2035
NR5A2, 2007
PRKAG2, 1981
AGMO, 1931
ATRNL1, 1930
EPAS1, 1905
ZFAND3, 1874
CCNY, 1865
FOXO1, 1821
SUGCT, 1812
JARID2, 1812
CCBE1, 1811
HIPK2, 1809
FNDC3B, 1796
WBP1L, 1787
SLC1A2, 1777
PIK3R1, 1773
DIAPH2, 1773
SLC41A2, 1754
CYP2C18, 1701
TLE1, 1700
P4HA1, 1672
TAS1R2, 1657
GRB10, 1656
INTS6, 1653
GALNT13, 1652
MYO16, 1645
PRKCE, 1643
RPS15A, 1642
MED13L, 1604
FMNL2, 1577
ATP9B, 1576
FARP1, 1573
PLXNA4, 1572
PHB2, 1568
HGD, 1551
QKI, 1550
ABTB2, 1543
ADIPOR2, 1541
KIAA0907, 1535
VPS13D, 1527
KLF9, 1520
PYGL, 1519
SPTBN1, 1518
BCAS3, 1512
SSR1, 1511
DOCK4, 1490
CNTNAP5, 1486
TCF7L2, 1481
ARHGAP10, 1477
GRB14, 1475
UBE3C, 1465
GBA3, 1456
TTC28, 1448
ACSL4, 1432
HERC2, 1431
ZCCHC7, 1415
AP1B1, 1414
AKAP2, 1406
MYO1B, 1404
PABPC4, 1396
PEX14, 1395
MAML2, 1385
PPARGC1A, 1379
UROC1, 1378
SLCO1B3, 1376
DOCK1, 1374
SFMBT2, 1370
MAML3, 1364
POR, 1361
ALAS1, 1352
TNRC6A, 1349
ETV6, 1348
ARID1B, 1347
MAML1, 1345
STARD13, 1339
SCP2, 1324
PTCD3, 1314
TMED7-TICAM2, 1312
NFIB, 1311
MBNL1, 1294
EHBP1, 1292
RBMS3, 1287
VPS13B, 1286
AGAP2, 1280
ALCAM, 1277
AUTS2, 1272
RBPMS, 1270
RNLS, 1259
NOP58, 1248
MTPAP, 1248
LRBA, 1243
VWA8, 1238
IDO2, 1238
TMCC1, 1235
FMO5, 1234
LDB2, 1224
SH3PXD2B, 1207
GPR176, 1194
PCCA, 1192
PDE4DIP, 1181
SUCLG2, 1181
FBXW2, 1178
STAB2, 1172
KPNA4, 1171
CDADC1, 1163
CYP2B6, 1163
TCF12, 1160
BBOX1, 1159
ATRN, 1158
DENND1A, 1158
ADAM23, 1145
ZNF609, 1142
ELMO1, 1140
CHN2, 1139
FGG, 1117
DDX5, 1108
LAMP2, 1108
CP, 1107
DPYS, 1105
SLC16A7, 1102
RCL1, 1102
CYP3A26, 1099
PDE3B, 1092
SBF2, 1090
LMO7, 1086
TMEM135, 1085
IGFBP4, 1084
FOXP1, 1083
NCAPD2, 1070
NEBL, 1053
HOMER1, 1051
ACSL1, 1044
SMOC1, 1038
RETREG1, 1025
RBMS1, 1024
ALDH1A1, 1023
NRG1, 1014
SOX5, 1011
G3BP1, 1010
SORBS2, 1007
CTNND1, 1004
CDC42BPB, 1003
GCLC, 997
CMTM8, 996
BABAM2, 993
RALGAPA2, 992
FAM214A, 992
CA10, 987
SORBS1, 967
GBE1, 963
TEF, 953
SLC9A9, 952
IL1RAP, 951
ATRX, 950
RUFY3, 949
NOP53, 945
PON1, 944
ASAP1, 942
PLPP3, 941
AKAP13, 939
RDX, 939
PLG, 938
FN1, 937
CHD2, 937
ASPH, 936
LONP2, 932
CDKAL1, 931
CDO1, 926
C9orf3, 925
ANKRD17, 923
GRK5, 920
SHANK2, 920
ERC1, 918
CHCHD3, 916
MARCH6, 914
B3GLCT, 913
AP3B2, 911
RYR2, 907
PSAP, 906
CHD4, 903
NR3C1, 902
AFF1, 901
HAL, 901
PAPD4, 895
QSOX1, 888
CADPS2, 886
DDX17, 881
FAM172A, 881
