taglen,crossmapped,snoRNA,rRNA,rmsk_RNA,LINE,Coding_Exon,Satellite,snRNA,rmsk_DNA,LTR,p5_UTR,Unknown,rmsk_Unknown,mature,stemloop,p3_UTR,scRNA,SINE,rmsk_Simple_repeat,Intron,tRNA,rmsk_Low_complexity,rmsk_Other,unannotated,precursor,No_CDS,star,srpRNA
12,0,0,0,0,0,0,0,0,0,0,5.00829248027421e-06,2.00331699210969e-05,0,0,0,0,0,0,0,1.00165849605484e-05,0,0,0,0,0,0,0,0
13,0,0,0,0,0,8.51409721646616e-05,0,0,0,0,5.00829248027421e-05,0.000936550693811278,0,0,0,5.00829248027421e-06,0,0,0,0.000150248774408226,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0.0015726038388061,0,0,0,0,0.000150248774408226,0.00609008365601344,0,5.00829248027421e-06,0,0.000200331699210969,0,0,0,0.000871442891567713,0,0,0,5.00829248027421e-06,0,0,0,0
15,0,0,0,0,0,0.00796819333611627,0,0,0,0,0.000430713153303582,0.0231633527212682,0,1.50248774408226e-05,0,0.000966600448692923,0,0,0,0.00461764566681283,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0.02337870929792,0,0,0,0,0.0013021560448713,0.0457106854674627,0,0.000470779493145776,0,0.00290981793103932,0,0,0,0.00994146057334432,0,0,0,1.50248774408226e-05,5.00829248027421e-06,0,0,0
17,0,0,0,0,0,0.0481697570752774,0,0,0,0,0.00252918770253848,0.0478392097715793,0,0.00123704824262773,0,0.00601996756128961,0,0,0,0.017478940756157,0,0,0,4.50746323224679e-05,0,0,0,0
18,0,0,0,0,0,0.070626940556827,0,0,0,0,0.00326540669713879,0.0537840529456648,0,0.00215356576651791,0,0.00978119521397554,0,0,0,0.0235439829497691,0,0,0,0.00038063022850084,5.00829248027421e-06,0,0,0
19,0,0,0,0,0,0.0932944723225481,0,0,0,0,0.00378126082260703,0.0630393774492115,0,0.00760258798505626,5.00829248027421e-06,0.0152051759701125,0,0,0,0.0307809655837653,0,0,0,0.00121701507270663,0,0,0,0
20,5.00829248027421e-06,0,0,0,0,0.112596431541525,0,0,0,0,0.00525369881180765,0.0768021651850051,0,0.0462766225177337,0,0.0189613953303182,0,0,0,0.0387591755048421,0,0,0,0.00385638520981114,1.50248774408226e-05,0,0,0
21,0.000185306821770146,0,0,0,0,0.135384162326773,0,0,0,0,0.00611512511841482,0.094626678122301,0,0.533092668185348,0,0.0260781789447878,0,0,0,0.05771556254268,0,0,0,0.0576654796178773,5.00829248027421e-06,0,0,0
22,0,0,0,0,0,0.158317133593948,0,0,0,0,0.00716185824679213,0.151636071425262,0,8.13618148248963,5.00829248027421e-06,0.0340764220357858,0,0,0,0.101613246132284,0,0,0,0.014739404769447,1.50248774408226e-05,0,0,0
23,0,0,0,0,0,0.183614018911813,0,0,0,0,0.00908003426673715,0.143292256153126,0,0.163195210469735,0,0.0381331389448079,0,0,0,0.0928637591692445,0,0,0,0.00587973537184193,0,0,0,0
24,0,0,0,0,0,0.225423244537142,0,0,0,0,0.0104573146988126,0.175320286564479,0,0.0226525068882803,4.00663398421937e-05,0.0456405693727389,0,0,0,0.107092318105704,0,0,0,0.00165774481097076,0,0,0,0
25,0,0,0,0,0,0.229650243390494,0,0,0,0,0.0124255736435603,0.196169808159861,0,0.00116192385542362,0,0.0528074359120113,0,0,0,0.115656498246972,0,0,0,0.000195323406730694,5.00829248027421e-06,0,0,0
26,0,0,0,0,0,0.248040693378061,0,0,0,0,0.0146742969672034,0.258908688060256,0,0.000335555596178372,1.50248774408226e-05,0.0645418651932938,0,0,0,0.128377561146869,0,0,0,0.000325539011217824,1.00165849605484e-05,0,0,0
27,0,0,0,0,0,0.256099035978822,0,0,0,0,0.0167327051765961,0.620402230993968,0,0.000205339991691243,0,0.0707321146989127,0,0,0,0.159278725750161,0,0,0,0.000105174142085758,1.00165849605484e-05,0,0,0
28,0,0,0,0,0,0.283013599767816,0,0,0,0,0.0165373817698655,0.401224327179728,0,0.000155257066888501,5.00829248027421e-06,0.0812695620774097,0,0,0,0.194271665309837,0,0,0,0.000160265359368775,5.00829248027421e-06,0,0,0
29,0,0,0,0,0,0.296711279701366,0,0,0,0,0.0175690900208019,0.472216873087615,0,7.0116094723839e-05,1.00165849605484e-05,0.154085126448116,0,0,0,0.186629010984938,0,0,0,0.000335555596178372,3.50580473619195e-05,0,0,0
30,0,0,0,0,0,0.288297348334505,0,0,0,0,0.0182151597507573,0.442132060158608,0,5.00829248027421e-05,5.00829248027421e-06,0.0978970931119201,0,0,0,0.192764169273274,0,0,0,0.000235389746572888,2.00331699210969e-05,0,0,0
31,0,0,0,0,0,0.279377579427136,0,0,0,0,0.0206942645284931,0.806485338098557,0,0.000150248774408226,1.00165849605484e-05,0.22720118836764,0,0,0,0.225207887960491,0,0,0,0.000350580473619195,7.51243872041132e-05,0,0,0
32,0,0,0,0,0,0.29460278856717,0,0,0,0,0.0210248118321912,0.791179996278839,0,7.0116094723839e-05,0,0.100611587636229,0,0,0,0.218346527262515,0,0,0,5.00829248027421e-05,7.51243872041132e-05,0,0,0
33,0,0,0,0,0,0.318312045168788,0,0,0,0,0.0241950609722047,0.480094917159086,0,9.01492646449359e-05,5.00829248027421e-06,0.168078295638003,0,0,0,0.280985241313304,0,0,0,0.000105174142085758,7.0116094723839e-05,0,0,0
34,0,0,0,0,0,0.324061564936143,0,0,0,0,0.0293886602742491,0.383209499128181,0,0.000100165849605484,5.00829248027421e-06,0.0987685360034878,0,0,0,0.271264145609092,0,0,0,7.0116094723839e-05,4.00663398421937e-05,0,0,0
35,0,0,0,0,0,0.321968098679388,0,0,0,0,0.0278110481429627,0.375737126747612,0,0.000140232189447678,3.00497548816453e-05,0.0957134775905205,0,0,0,0.360036129821953,0,0,0,5.00829248027421e-05,4.50746323224679e-05,0,0,0
36,0,0,0,0,0,0.355734006581397,0,0,0,0,0.0389494906190926,0.524833993885376,0,7.0116094723839e-05,5.00829248027421e-05,0.094150890336675,0,0,0,0.264167395164544,0,0,0,4.00663398421937e-05,3.00497548816453e-05,0,0,0
37,0,0,0,0,0,0.367152913436422,0,0,0,0,0.028326902268431,0.462330503731554,0,4.50746323224679e-05,4.00663398421937e-05,0.0999655179062733,0,0,0,0.26063154067347,0,0,0,1.50248774408226e-05,7.51243872041132e-05,0,0,0
38,0,0,0,0,0,0.361774007312608,0,0,0,0,0.0243503180390932,0.375221272622144,0,0.000115190727046307,0,0.112957028600105,0,0,0,0.230576777499345,0,0,0,4.50746323224679e-05,0.000140232189447678,0,0,0
39,0,0,0,0,0,0.42116734783618,0,0,0,0,0.0222568517823386,0.451252160765187,0,6.51078022435648e-05,5.00829248027421e-06,0.110347708217882,0,0,0,0.405250994333868,0,0,0,4.00663398421937e-05,7.51243872041132e-05,0,0,0
40,0,0,0,0,0,0.392214409007715,0,0,0,0,0.0235640161196902,0.378591853461369,0,0.000155257066888501,1.50248774408226e-05,0.109381107769189,0,0,0,0.380054274865609,0,0,0,6.00995097632906e-05,0.000135223896967404,0,0,0
41,0,0,0,0,0,0.831887397558507,0,0,0,0,0.022702589813083,0.397027378081258,0,5.00829248027421e-05,1.00165849605484e-05,0.104618221620448,0,0,0,0.270748291483624,0,0,0,5.00829248027421e-05,6.00995097632906e-05,0,0,0
42,0,0,0,0,0,0.433883402443596,0,0,0,0,0.0216558566847057,0.428093816336399,0,4.00663398421937e-05,5.00829248027421e-06,0.0927836264895601,0,0,0,0.263486267387226,0,0,0,2.50414624013711e-05,1.00165849605484e-05,0,0,0
43,0,0,0,0,0,0.401725156427755,0,0,0,0,0.0219212961861602,0.393581672854829,0,3.00497548816453e-05,0,0.0883362627670766,0,0,0,0.241880493627323,0,0,0,8.51409721646616e-05,2.50414624013711e-05,0,0,0
44,0,0,0,0,0,0.430562904529174,0,0,0,0,0.0202084601579065,0.470038265858696,0,5.50912172830164e-05,0,0.119172319568125,0,0,0,0.226510044005362,0,0,0,2.00331699210969e-05,5.00829248027421e-06,0,0,0
45,0,0,0,0,0,0.529521755646912,0,0,0,0,0.0203737338097555,0.740486059793503,0,0.000170281944329323,0,0.0852511545992277,0,0,0,0.240623412214775,0,0,0,2.00331699210969e-05,1.00165849605484e-05,0,0,0
46,0,0,0,0,0,0.645208303648766,0,0,0,0,0.0261833530868736,0.563182489406835,0,0.000200331699210969,5.00829248027421e-06,0.106651588367439,0,0,0,0.347635597640794,0,0,0,6.51078022435648e-05,3.00497548816453e-05,0,0,0
47,0,0,0,0,0,1.07174954931628,0,0,0,0,0.049166407278852,4.32942344286552,0,6.51078022435648e-05,0,0.166400517657111,0,0,0,1.19558959747602,0,0,0,0.000170281944329323,8.01326796843874e-05,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
