miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
cfa-let-7a-1	2039	1133.510781	N
cfa-let-7a-2	2051	1140.181762	N
cfa-let-7b	3653	2030.757668	N
cfa-let-7c	2618	1455.385594	N
cfa-let-7d	103	57.259250	N
cfa-let-7e	69	38.358138	N
cfa-let-7f	7282	4048.173374	N
cfa-let-7g	3377	1877.325115	N
cfa-let-7j	0	0.000000	N
cfa-mir-1-1	15	8.338726	N
cfa-mir-1-2	10	5.559150	N
cfa-mir-101-1	879	488.649327	N
cfa-mir-101-2	1063	590.937695	N
cfa-mir-103-1	117	65.042061	Y
cfa-mir-103-2	155	86.166832	Y
cfa-mir-105a	0	0.000000	N
cfa-mir-105b	0	0.000000	N
cfa-mir-106a	1	0.555915	N
cfa-mir-106b	70	38.914053	N
cfa-mir-107	40	22.236602	Y
cfa-mir-10a	5614	3120.907075	N
cfa-mir-10b	627	348.558735	N
cfa-mir-1185	0	0.000000	N
cfa-mir-1199	9	5.003235	N
cfa-mir-122	164918	91680.397768	N
cfa-mir-124-1	0	0.000000	N
cfa-mir-124-2	0	0.000000	N
cfa-mir-124-3	0	0.000000	N
cfa-mir-1249	1	0.555915	N
cfa-mir-125a	63	35.022648	N
cfa-mir-125b-1	116	64.486145	N
cfa-mir-125b-2	128	71.157126	N
cfa-mir-126	2812	1563.233113	N
cfa-mir-127	4	2.223660	N
cfa-mir-1271	15	8.338726	N
cfa-mir-128-1	79	43.917289	N
cfa-mir-128-2	19	10.562386	N
cfa-mir-129-1	2	1.111830	N
cfa-mir-129-2	0	0.000000	N
cfa-mir-1296	4	2.223660	N
cfa-mir-1301	0	0.000000	N
cfa-mir-1306	54	30.019413	N
cfa-mir-1307	10	5.559150	N
cfa-mir-130a	16	8.894641	N
cfa-mir-130b	0	0.000000	N
cfa-mir-132	2	1.111830	N
cfa-mir-133a	0	0.000000	N
cfa-mir-133b	0	0.000000	N
cfa-mir-133c	0	0.000000	N
cfa-mir-134	0	0.000000	N
cfa-mir-1343	2	1.111830	N
cfa-mir-135a-1	0	0.000000	N
cfa-mir-135a-2	2	1.111830	N
cfa-mir-135b	0	0.000000	N
cfa-mir-136	0	0.000000	N
cfa-mir-137	0	0.000000	N
cfa-mir-138a	0	0.000000	N
cfa-mir-138b	0	0.000000	N
cfa-mir-139	199	110.627094	N
cfa-mir-140	258	143.426082	N
cfa-mir-141	0	0.000000	N
cfa-mir-142	30	16.677451	N
cfa-mir-143	7901	4392.284789	N
cfa-mir-144	4	2.223660	N
cfa-mir-145	191	106.179774	N
cfa-mir-1468	2	1.111830	N
cfa-mir-146a	181	100.620624	N
cfa-mir-146b	67	37.246308	N
cfa-mir-147	0	0.000000	N
cfa-mir-148a	1524319	847391.868964	N
cfa-mir-148b	133	73.936701	N
cfa-mir-149	3	1.667745	N
cfa-mir-150	4	2.223660	N
cfa-mir-151	10338	5747.049759	N
cfa-mir-152	63	35.022648	N
cfa-mir-153	1	0.555915	N
cfa-mir-155	125	69.489381	N
cfa-mir-15a	9	5.003235	N
cfa-mir-15b	5	2.779575	N
cfa-mir-16-1	39	21.680687	N
cfa-mir-16-2	35	19.457027	N
cfa-mir-17	9	5.003235	N
cfa-mir-181a-1	336	186.787456	N
cfa-mir-181a-2	332	184.563796	N
cfa-mir-181b-1	121	67.265721	N
cfa-mir-181b-2	100	55.591505	N
cfa-mir-181c	3	1.667745	N
cfa-mir-181d	6	3.335490	N
cfa-mir-182	112	62.262485	N
cfa-mir-183	17	9.450556	N
cfa-mir-1835	1	0.555915	N
cfa-mir-1836	131	72.824871	N
cfa-mir-1837-1	9	5.003235	N
