, 104600
ALB, 59750
APOB, 46691
TF, 30748
C3, 29289
FGA, 22051
FN1, 16425
FGB, 13324
SERPINA1, 9625
FGG, 8243
LRP1, 6464
CLU, 6353
CPS1, 4823
RBP4, 4569
ALDOB, 4555
C1S, 4392
CESdD1, 4307
CYP2E1, 4067
APOE, 3963
APOH, 3946
AHSG, 3787
GC, 3172
SERPING1, 3144
C5, 3027
A2M, 2973
VTN, 2941
PLG, 2910
B2M, 2780
CP, 2770
APOA1, 2461
ITIH2, 2422
BHMT, 2114
SPTBN1, 2075
A1BG, 2049
C1R, 2014
ITIH1, 1953
HPX, 1951
HPD, 1938
CAT, 1816
F5, 1772
EEF2, 1708
FTH1, 1692
ADH4, 1664
FETUB, 1659
SERPINC1, 1632
DST, 1539
C6, 1531
C4BPA, 1492
AHNAK, 1475
PSAP, 1455
ABCB4, 1419
SCP2, 1372
MT-CO2, 1357
GLDC, 1327
UGT2B31, 1281
HSP90B1, 1272
PROS1, 1251
CYP3A26, 1238
COX1, 1230
ASS1, 1224
TPT1, 1224
P4HB, 1223
DYNC1H1, 1218
EHHADH, 1201
THBS1, 1165
TTR, 1155
SYNE2, 1139
CFI, 1133
CDO1, 1059
F2, 1055
ACSL4, 1044
PYGL, 1037
PIGR, 1028
HSD17B4, 1028
LAMP2, 1022
PLEC, 1015
IQGAP2, 1001
CDH1, 970
PAH, 962
ABCA1, 961
GPX3, 954
HSPA5, 927
HSP90AA1, 917
MYH9, 916
CYP3A12, 897
SLC38A4, 892
ACSL1, 872
GPNMB, 870
MT1, 864
PCK2, 862
SRRM2, 853
FTL, 850
HDLBP, 844
TAS1R2, 824
CYP7B1, 804
DPYS, 794
PON1, 785
CLTC, 782
EPHX1, 769
ANGPTL3, 751
APOA2, 740
CPB2, 740
UGT1A6, 735
HRG, 727
ITM2B, 722
MAN2A1, 720
CTSB, 720
EPRS, 702
RGN, 699
GPLD1, 693
COL3A1, 691
C9, 684
FAT1, 684
DSP, 680
