, 1102453
RPS12, 309858
RPL3, 251008
EIF4A2, 202546
RPL7A, 178582
SPCS1, 119936
RPS8, 109861
NCL, 106043
EIF4G1, 89441
RACK1, 84115
UBAP2, 83509
PRPF39, 81217
PRRC2B, 74961
NOP56, 71132
RPL5, 49419
SF3B3, 37151
RABGGTB, 34405
TEX14, 33716
HSPA9, 33664
CCAR1, 25743
AP1B1, 25476
AP1G1, 25317
P2RY11, 24268
PUM1, 23998
RPL13A, 22198
HUWE1, 19883
WDR43, 19879
GNL3, 19871
TNPO2, 17012
RAPGEF5, 14730
SNX5, 13586
CEP295, 13086
DDX39B, 9724
MED24, 8213
NOP58, 5341
RPS3, 3923
FGA, 3653
EEF2, 3243
SLC38A4, 2873
TCP1, 2592
IKBKG, 2481
CNOT1, 2234
RPL32, 2203
OVOL2, 2079
ADAMTSL1, 1927
CHD4, 1915
RPL23, 1821
KANSL2, 1661
EIF4G2, 1464
KIAA0907, 1398
KPNA4, 1376
PRKCA, 1262
EXT1, 1256
PTCD3, 1254
ANO10, 1087
NCAPD2, 986
CKAP5, 981
MAML2, 977
GTF2A1, 963
RPL12, 901
APOA1, 881
RPSA, 790
UGT1A6, 783
TRRAP, 774
CYP7B1, 774
MAML1, 764
ATG16L1, 762
SH3PXD2B, 752
RPS15A, 734
DPYD, 726
NFIA, 724
EIF3A, 722
ITGA9, 710
DIAPH2, 658
MYO16, 652
PLEKHA5, 631
MBNL1, 627
PTPRM, 615
TPT1, 611
DST, 603
NOP53, 596
ADK, 577
EXOC4, 573
HABP2, 565
LAMP2, 556
PEBP1, 549
DOCK4, 544
MAGI3, 534
GPHN, 517
ATRNL1, 503
SLC25A16, 500
KIAA1217, 480
ZFAND3, 471
LRCH1, 465
FNDC3B, 464
CP, 463
MOB4, 460
SLC9A9, 450
CYP3A26, 444
KLF9, 444
VPS13D, 441
SBF2, 440
NFIB, 440
TMED7-TICAM2, 429
RBMS3, 429
QKI, 426
RBPMS, 426
ACSS3, 422
ADRA1A, 418
CCBE1, 408
FARP1, 408
FGG, 384
RDX, 384
PABPC4, 383
BCAS3, 383
PDLIM5, 381
WRAP53, 380
ALCAM, 378
FOXO3, 373
MTSS1, 370
SAMD4A, 369
MYO7A, 366
ETV6, 366
LARP4, 364
ARID1B, 363
NRF1, 359
IGF2, 359
FZD4, 357
TAS1R2, 357
CDH2, 357
VPS13B, 356
PRKCE, 353
