taglen,crossmapped,stemloop,unannotated,snRNA,precursor,p5_UTR,rmsk_Unknown,SINE,snoRNA,tRNA,LTR,LINE,rmsk_RNA,srpRNA,Coding_Exon,Intron,rmsk_Other,Unknown,rmsk_Low_complexity,mature,No_CDS,rmsk_DNA,scRNA,star,rmsk_Simple_repeat,rRNA,p3_UTR,Satellite
12,0,0,0,0,0,5.61173840993637e-06,0,0,0,0,0,0,0,0,0,4.48939072794909e-05,0,0.000303033874136564,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0.000106623029788791,0,0,0,0,0,0,0,0,0.000173963890708027,0.000712690778061919,0,0.00318185567843392,0,0,0,0,0,0,0,0,8.41760761490455e-05,0
14,0,0,0,0,0,0.000235693013217327,0,0,0,0,0,0,0,0,0.000953995529689183,0.00186870889050881,0,0.01234582450186,0,2.24469536397455e-05,0,0,0,0,0,0,6.73408609192364e-05,0
15,0,0,1.68352152298091e-05,0,0,0.000392821688695546,0,0,0,0,0,0,0,0,0.00294616266521659,0.00383842907239648,0,0.0242314864541052,0,2.24469536397455e-05,0,0,0,0,0,0,0.000381598211875673,0
16,0,1.12234768198727e-05,7.29525993291728e-05,0,0,0.000622902963502937,0,0,0,0,0,0,0,0,0.00647033438665663,0.00668919218464415,0,0.0337938887046368,0,0.000611679486683064,0,0,0,0,0,0,0.000869819453540137,0
17,0,0,0.000168352152298091,0,0,0.000892266407179883,0,0,0,0,0,0,0,0,0.00942210879028316,0.00675653304556339,0,0.0303707282745756,0,0.00346244259893074,0,0,0,0,0,0,0.0017284154302604,0
18,5.61173840993637e-06,0,0.000639738178732746,0,0,0.000903489883999755,0,0,0,0,0,0,0,0,0.0122055310416116,0.0108587138232269,0,0.0238386647654097,0,0.0122167545184315,0,0,0,0,0,0,0.00244671794673226,0
19,3.36704304596182e-05,0,0.0010493950826581,0,5.61173840993637e-06,0.000869819453540137,0,0,0,0,0,0,0,0,0.0147757072333625,0.00727842471768747,0,0.0242370981925152,0,0.029899342248141,0,0,0,0,0,0,0.00297983309567621,0
20,0.000134681721838473,1.68352152298091e-05,0.00556123276424694,0,5.61173840993637e-06,0.000813702069440773,0,0,0,0,0,0,0,0,0.0165939104781818,0.00987104786307807,0,0.0384123494160144,0,0.169266865658911,0,0,0,0,0,0,0.00365885344327851,0
21,0.000549950364173764,0,0.0169025560907283,0,0,0.000925936837639501,0,0,0,0,0,0,0,0,0.0192707096997215,0.0305222452116439,0,0.0612521247444555,0,1.26138972457027,0,0,0,0,0,0,0.00408534556243368,0
22,0,2.24469536397455e-05,0.0368803448301018,0,0,0.00112234768198727,0,0,0,0,0,0,0,0,0.0211730890206899,0.0797540262820157,0,0.107318885351623,0,1.91540416581789,0,0,0,0,0,0,0.00521891672124082,0
23,5.61173840993637e-06,0,0.0139676169023316,0,0,0.00120091201972638,0,0,0,0,0,0,0,0,0.024427897298453,0.0238779469342792,0,0.0462014423290061,0,0.54940041380959,0,0,0,0,0,0,0.00624025311184924,0
24,0,0,0.0056005149331165,0,0,0.00125141766541581,0,0,0,0,0,0,0,0,0.027604141238477,0.0127330344521456,0,0.0389117941344988,0,0.0562520658212022,0,0,0,0,0,0,0.0075758468534141,0
25,0,0,0.000280586920496818,0,0,0.00146466372499339,0,0,0,0,0,0,0,0,0.0319307915525379,0.0156230797332628,0,0.0494506388683593,0,0.00899000493271806,0,0,0,0,0,0,0.00833343153875551,0
26,0,0,0.000196410844347773,0,5.61173840993637e-06,0.00196410844347773,0,0,0,0,0,0,0,0,0.0362630536050088,0.016930614782778,0,0.100225648001464,0,0.000622902963502937,0,0,0,0,0,0,0.0100450117537861,0
27,0,0,7.29525993291728e-05,0,0,0.00258139966857073,0,0,0,0,0,0,0,0,0.039949965740337,0.0220878023815095,0,0.117599590118627,0,0.000274975182086882,0,0,0,0,0,0,0.0104827273497611,0
28,0,0,6.17291225093001e-05,0,0,0.0023457066553534,0,0,0,0,0,0,0,0,0.045685162395292,0.0295121322978554,0,0.404387481558425,0,0.000213246059577582,0,0,0,0,0,0,0.0152246463061574,0
29,0,0,5.61173840993637e-05,0,1.12234768198727e-05,0.0029629978804464,0,0,0,0,0,0,0,0,0.0482216681565832,0.0300340239699794,0,0.33245060688145,0,0.000168352152298091,0,0,0,0,0,0,0.0369308504757912,0
30,0,0,9.53995529689183e-05,0,5.61173840993637e-06,0.00356906562871953,0,0,0,0,0,0,0,0,0.0528794110368304,0.029719766619023,0,0.231517879840335,0,7.29525993291728e-05,0,0,0,0,0,0,0.023013739219149,0
31,0,0,8.41760761490455e-05,0,5.61173840993637e-06,0.00353539519825991,0,0,0,0,0,0,0,0,0.056089325407314,0.0389454645649584,0,0.214413301166849,0,0.000151516937068282,0,0,0,0,0,0,0.0438052300279633,0
32,0,0,5.61173840993637e-05,0,0,0.0116948628463074,0,0,0,0,0,0,0,0,0.0585753255229158,0.0340913108403634,0,0.932395948549338,0,0.0001234582450186,0,0,0,0,0,0,0.0288780058575326,0
33,0,0,7.29525993291728e-05,0,5.61173840993637e-06,0.00721669559517817,0,0,0,0,0,0,0,0,0.0663700301743174,0.0401127061542252,0,1.51085394384558,0,0.000117846506608664,0,0,0,0,0,0,0.0667684636014229,0
34,0,5.61173840993637e-06,6.73408609192364e-05,0,5.61173840993637e-06,0.0142425920844185,0,0,0,0,0,0,0,0,0.0702140709851238,0.0524192484872156,0,0.944870843034626,0,5.61173840993637e-05,0,0,0,0,0,0,0.0940751827041733,0
35,0,5.05056456894273e-05,6.73408609192364e-05,0,5.61173840993637e-06,0.0046914133107068,0,0,0,0,0,0,0,0,0.0628963640985668,0.0438725708888825,0,0.182387110061342,0,0.0001851873675279,0,0,0,0,0,0,0.0332102679100034,0
36,0,1.68352152298091e-05,5.61173840993637e-05,0,1.12234768198727e-05,0.00396749905582501,0,0,0,0,0,0,0,0,0.0675148248099444,0.0326547058074197,0,0.182684532197069,0,0.000207634321167646,0,0,0,0,0,0,0.0257354323479682,0
37,0,5.05056456894273e-05,2.24469536397455e-05,0,0,0.0068968265058118,0,0,0,0,0,0,0,0,0.0647538495122558,0.0340800873635436,0,0.177656414581766,0,7.29525993291728e-05,0,0,0,0,0,0,0.0192707096997215,0
38,0,2.80586920496818e-05,5.61173840993637e-06,0,0,0.00355223041348972,0,0,0,0,0,0,0,0,0.0613699712510641,0.0371889904426483,0,0.108979959920964,0,5.05056456894273e-05,0,0,0,0,0,0,0.0168688856602687,0
39,0,0,1.68352152298091e-05,0,5.61173840993637e-06,0.00358590084394934,0,0,0,0,0,0,0,0,0.0595742149598845,0.0411957716673429,0,0.127577261011493,0,0.000269363443676946,0,0,0,0,0,0,0.0180978563720448,0
40,0,0,5.61173840993637e-06,0,5.61173840993637e-06,0.00317624394002398,0,0,0,0,0,0,0,0,0.0582217860030898,0.0395515323132315,0,0.0983120452036752,0,6.17291225093001e-05,0,0,0,0,0,0,0.0172617073489643,0
41,0,2.24469536397455e-05,0,0,0,0.00295738614203647,0,0,0,0,0,0,0,0,0.0543552982386437,0.0359712432076921,0,0.0939797831512044,0,6.17291225093001e-05,0,0,0,0,0,0,0.0157521497166914,0
