,Gene,X1_1PP,X10_1KD,X10TB,X11DA_H,X11SLS,X12_2SST,X12HR,X13MF,X15BB,X16_2BP,X17LB,X18TD,X1WV,X2CW,X3RY,X4HB,X4MH,X5SW,X6_1PH,X6SB,X7_1GG,X7GH,X8CB,X8RP,X9CG,X9CW,XJB1
1,cfa-let-7a.MIMAT0006594,18413,3949,11800,41602,8396,17819,18308,15386,5416,6135,38577,14876,9258,8217,26531,20849,28938,23792,28579,3154,26391,15621,6432,25954,7406,4084,39280
2,cfa-let-7b.MIMAT0009836,9322,1142,8158,24864,5400,4003,7730,8230,3229,3773,21869,5361,3872,5035,14876,14397,9475,9349,10746,1691,15720,8881,4600,17496,5804,3651,5162
3,cfa-let-7c.MIMAT0006669,2028,926,1849,14779,1205,2141,2429,2464,1052,717,5900,2702,3486,2970,4561,3811,5416,3801,4856,562,6294,2203,1511,4423,1300,2615,2979
4,cfa-let-7d.MIMAT0034396,235,24,118,10,211,147,106,100,126,246,77,29,5,8,34,274,61,59,78,115,28,116,27,290,271,8,84
5,cfa-let-7e.MIMAT0006608,645,237,616,552,939,415,669,1374,308,688,1573,781,127,161,528,2062,836,772,876,260,733,636,216,2509,1020,69,583
6,cfa-let-7f.MIMAT0006610,7807,31600,14003,78100,3868,23718,20145,13564,4627,4013,23548,16005,18769,13698,40467,17088,65737,39003,49085,3069,39561,19683,6453,27932,5354,7281,17739
7,cfa-let-7g.MIMAT0006637,11938,19469,26060,87166,13063,29646,37797,24833,2516,9176,24693,27770,3322,5155,51476,42250,135919,73434,74172,1987,80152,24074,12947,51878,12926,3377,17510
8,cfa-let-7j.MIMAT0006763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,cfa-mir-1.MIMAT0006656,7,535,125,282,41,240,192,184,30,36,228,54,15,21,95,347,528,490,426,6,260,51,54,342,87,25,52
10,cfa-mir-101.MIMAT0006600,832,26300,5976,34170,2010,5019,4308,1324,485,530,8108,2720,3068,1403,16800,5477,52945,72223,53201,377,23743,3779,4647,11237,3218,1933,990
11,cfa-mir-103.MIMAT0006687,656,1262,2496,5184,1536,1855,2472,2138,87,491,1225,1743,122,339,1262,3675,6124,5966,5132,71,4059,866,869,5759,1191,256,1193
12,cfa-mir-105a.MIMAT0009879,1,1,0,3,2,1,2,2,2,0,18,1,1,0,2,3,6,4,2,1,6,3,2,7,0,0,3
13,cfa-mir-105b.MIMAT0010198,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0
14,cfa-mir-106a.MIMAT0006749,4,1,25,14,10,2,24,11,0,3,8,12,0,1,5,17,18,19,25,0,14,0,4,29,9,1,6
15,cfa-mir-106b.MIMAT0006695,30,45,331,354,65,55,177,66,3,9,188,128,7,2,86,265,390,1097,436,0,250,11,130,648,74,6,60
16,cfa-mir-107.MIMAT0006666,120,267,743,1043,292,251,457,223,26,63,179,321,41,75,341,654,1302,1810,1046,28,1125,196,233,1398,287,40,132
17,cfa-mir-10a.MIMAT0006737,3476,16937,8904,26144,2418,10284,20204,6536,6930,3199,47330,8275,6591,8415,19962,13981,24923,21879,27294,2881,17080,9899,4521,30171,4054,5612,6253
18,cfa-mir-10b.MIMAT0009837,316,922,1301,960,594,731,2671,2134,661,288,20458,821,553,695,1037,5832,690,617,2014,688,1086,1723,318,6363,881,627,786
19,cfa-mir-1185.MIMAT0034383,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,1,0,0,0,0,0,1,5,0,1
