miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
cfa-let-7a-1	3:chr10:20034318-20034340:-	3	0.963663	N	unannotated
cfa-let-7a-1	3:chr10:20034318-20034341:-	4	1.284884	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034340:-	3	0.963663	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034341:-	98	31.479653	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034366:-	1	0.321221	N	stemloop
cfa-let-7a-1	3:chr10:20034320-20034341:-	55	17.667152	N	unannotated
cfa-let-7a-1	3:chr10:20034320-20034366:-	5	1.606105	N	stemloop
cfa-let-7a-1	3:chr10:20034321-20034341:-	21	6.745640	N	unannotated
cfa-let-7a-1	3:chr10:20034325-20034341:-	1	0.321221	N	unannotated
cfa-let-7a-1	3:chr10:20034338-20034388:-	81	26.018897	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034339-20034389:-	2	0.642442	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034341-20034388:-	1	0.321221	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034388:-	12	3.854651	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034380:-	1	0.321221	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034383:-	2	0.642442	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034388:-	8	2.569768	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034364-20034388:-	1	0.321221	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034388:-	514	165.107567	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034387:-	7	2.248547	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034388:-	10723	3444.452225	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034389:-	9	2.890989	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034387:-	2	0.642442	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034388:-	2705	868.902664	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034389:-	8	2.569768	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034388:-	117	37.582851	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034389:-	2	0.642442	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034369-20034388:-	78	25.055234	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052801-12052824:+	1	0.321221	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052801-12052825:+	1	0.321221	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052821:+	72	23.127908	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052822:+	99	31.800874	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052823:+	2739	879.824177	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052824:+	10821	3475.931878	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052825:+	543	174.422975	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052826:+	23	7.388082	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052823:+	1	0.321221	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052824:+	6	1.927326	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052847-12052869:+	1	0.321221	N	unannotated
cfa-let-7b	3:chr10:20033391-20033413:-	4	1.284884	N	unannotated
cfa-let-7b	3:chr10:20033392-20033413:-	8	2.569768	N	unannotated
cfa-let-7b	3:chr10:20033418-20033468:-	9	2.890989	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033433-20033468:-	1	0.321221	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033436-20033468:-	1	0.321221	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033440-20033468:-	2	0.642442	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033442-20033468:-	1	0.321221	N	mature,MIMAT0009836
