miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
cfa-let-7a-1	3:chr10:20034317-20034339:-	1	1.716340	N	unannotated
cfa-let-7a-1	3:chr10:20034318-20034340:-	2	3.432681	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034341:-	33	56.639234	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034366:-	1	1.716340	N	stemloop
cfa-let-7a-1	3:chr10:20034320-20034341:-	6	10.298043	N	unannotated
cfa-let-7a-1	3:chr10:20034320-20034366:-	1	1.716340	N	stemloop
cfa-let-7a-1	3:chr10:20034321-20034341:-	7	12.014383	N	unannotated
cfa-let-7a-1	3:chr10:20034322-20034341:-	1	1.716340	N	unannotated
cfa-let-7a-1	3:chr10:20034323-20034345:-	1	1.716340	N	unannotated
cfa-let-7a-1	3:chr10:20034336-20034383:-	1	1.716340	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034338-20034388:-	91	156.186978	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034387:-	4	6.865362	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034388:-	26	44.624851	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034389:-	2	3.432681	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034348-20034388:-	3	5.149021	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034388:-	5	8.581702	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034350-20034383:-	1	1.716340	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034354-20034388:-	2	3.432681	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034357-20034388:-	1	1.716340	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034364-20034388:-	1	1.716340	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034388:-	153	262.600084	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034386:-	1	1.716340	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034388:-	2618	4493.379217	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034389:-	6	10.298043	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034388:-	827	1419.413526	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034389:-	4	6.865362	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034388:-	41	70.369957	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034369-20034388:-	26	44.624851	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034370-20034389:-	1	1.716340	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052801-12052824:+	1	1.716340	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052821:+	20	34.326808	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052822:+	43	73.802638	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052823:+	841	1443.442292	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052824:+	2524	4332.043217	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052825:+	153	262.600084	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052826:+	6	10.298043	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052823:+	4	6.865362	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052847-12052869:+	1	1.716340	N	unannotated
cfa-let-7b	3:chr10:20033391-20033413:-	10	17.163404	N	unannotated
cfa-let-7b	3:chr10:20033392-20033413:-	13	22.312425	N	unannotated
cfa-let-7b	3:chr10:20033393-20033412:-	4	6.865362	N	unannotated
cfa-let-7b	3:chr10:20033393-20033413:-	1	1.716340	N	unannotated
cfa-let-7b	3:chr10:20033396-20033446:-	2	3.432681	N	stemloop
cfa-let-7b	3:chr10:20033410-20033460:-	4	6.865362	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033414-20033438:-	2	3.432681	N	unannotated
cfa-let-7b	3:chr10:20033418-20033468:-	13	22.312425	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033436-20033467:-	1	1.716340	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033436-20033468:-	8	13.730723	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033439-20033468:-	1	1.716340	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033441-20033468:-	1	1.716340	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033444-20033468:-	39	66.937276	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033445-20033467:-	1	1.716340	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033445-20033468:-	1215	2085.353609	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033463:-	1	1.716340	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033467:-	2	3.432681	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033468:-	3693	6338.445167	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033447-20033468:-	698	1198.005612	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033448-20033468:-	63	108.129446	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033449-20033468:-	17	29.177787	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033450-20033468:-	38	65.220936	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033451-20033468:-	9	15.447064	N	mature,MIMAT0009836
cfa-let-7c	3:chr31:13259521-13259543:+	3	5.149021	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259521-13259544:+	7	12.014383	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259521-13259545:+	1	1.716340	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259521-13259571:+	2	3.432681	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259541:+	9	15.447064	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259542:+	16	27.461447	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259543:+	155	266.032765	N	mature,MIMAT0006669
