miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
cfa-let-7a-1	3:chr10:20034318-20034340:-	1	0.784360	N	unannotated
cfa-let-7a-1	3:chr10:20034318-20034341:-	1	0.784360	N	unannotated
cfa-let-7a-1	3:chr10:20034318-20034355:-	2	1.568721	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034340:-	2	1.568721	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034341:-	47	36.864943	N	unannotated
cfa-let-7a-1	3:chr10:20034320-20034341:-	23	18.040291	N	unannotated
cfa-let-7a-1	3:chr10:20034321-20034341:-	8	6.274884	N	unannotated
cfa-let-7a-1	3:chr10:20034336-20034386:-	1	0.784360	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034338-20034388:-	142	111.379188	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034339-20034389:-	3	2.353081	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034340-20034390:-	1	0.784360	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034341-20034388:-	1	0.784360	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034342-20034366:-	1	0.784360	N	stemloop
cfa-let-7a-1	3:chr10:20034347-20034387:-	1	0.784360	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034388:-	20	15.687210	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034389:-	1	0.784360	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034348-20034383:-	1	0.784360	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034348-20034388:-	1	0.784360	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034383:-	2	1.568721	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034388:-	5	3.921802	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034357-20034388:-	1	0.784360	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034364-20034388:-	1	0.784360	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034386:-	1	0.784360	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034388:-	410	321.587797	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034385:-	1	0.784360	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034387:-	6	4.706163	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034388:-	7484	5870.153829	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034389:-	7	5.490523	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034387:-	2	1.568721	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034388:-	2280	1788.341893	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034389:-	20	15.687210	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034388:-	113	88.632734	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034389:-	1	0.784360	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034369-20034388:-	66	51.767792	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034370-20034389:-	2	1.568721	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052781-12052802:+	1	0.784360	N	precursor
cfa-let-7a-2	3:chr5:12052782-12052802:+	1	0.784360	N	precursor
cfa-let-7a-2	3:chr5:12052801-12052823:+	1	0.784360	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052801-12052824:+	1	0.784360	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052821:+	73	57.258315	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052822:+	115	90.201455	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052823:+	2324	1822.853754	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052824:+	7345	5761.127722	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052825:+	404	316.881634	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052826:+	4	3.137442	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052823:+	1	0.784360	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052824:+	4	3.137442	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052825:+	2	1.568721	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052805-12052824:+	1	0.784360	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052846-12052868:+	1	0.784360	N	unannotated
cfa-let-7a-2	3:chr5:12052847-12052869:+	2	1.568721	N	unannotated
cfa-let-7b	3:chr10:20033391-20033413:-	3	2.353081	N	unannotated
cfa-let-7b	3:chr10:20033392-20033413:-	13	10.196686	N	unannotated
cfa-let-7b	3:chr10:20033393-20033416:-	2	1.568721	N	unannotated
cfa-let-7b	3:chr10:20033393-20033417:-	1	0.784360	N	unannotated
cfa-let-7b	3:chr10:20033394-20033413:-	1	0.784360	N	unannotated
cfa-let-7b	3:chr10:20033396-20033446:-	2	1.568721	N	stemloop
cfa-let-7b	3:chr10:20033418-20033468:-	15	11.765407	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033422-20033468:-	1	0.784360	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033423-20033468:-	1	0.784360	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033433-20033468:-	2	1.568721	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033436-20033468:-	6	4.706163	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033438-20033468:-	1	0.784360	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033443-20033468:-	1	0.784360	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033444-20033468:-	56	43.924187	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033445-20033463:-	1	0.784360	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033445-20033468:-	2852	2236.996088	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033467:-	4	3.137442	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033468:-	9194	7211.410249	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033447-20033467:-	2	1.568721	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033447-20033468:-	1807	1417.339387	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033448-20033468:-	240	188.246515	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033449-20033468:-	39	30.590059	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033450-20033468:-	164	128.635119	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033451-20033468:-	11	8.627965	N	mature,MIMAT0009836
cfa-let-7c	3:chr31:13259520-13259567:+	1	0.784360	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259521-13259543:+	10	7.843605	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259521-13259544:+	15	11.765407	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259521-13259545:+	2	1.568721	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259541:+	8	6.274884	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259542:+	38	29.805698	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259543:+	394	309.038029	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259544:+	3028	2375.043532	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259545:+	279	218.836574	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259546:+	1	0.784360	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259548:+	2	1.568721	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259572:+	26	20.393372	N	mature,MIMAT0006669
