miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
cfa-let-7a-1	3:chr10:20034318-20034341:-	1	0.672324	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034339:-	1	0.672324	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034340:-	1	0.672324	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034341:-	43	28.909934	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034366:-	1	0.672324	N	stemloop
cfa-let-7a-1	3:chr10:20034320-20034341:-	8	5.378592	N	unannotated
cfa-let-7a-1	3:chr10:20034320-20034353:-	1	0.672324	N	unannotated
cfa-let-7a-1	3:chr10:20034321-20034341:-	3	2.016972	N	unannotated
cfa-let-7a-1	3:chr10:20034327-20034350:-	2	1.344648	N	unannotated
cfa-let-7a-1	3:chr10:20034338-20034388:-	20	13.446481	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034388:-	5	3.361620	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034386:-	1	0.672324	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034388:-	1	0.672324	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034352-20034388:-	1	0.672324	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034364-20034388:-	2	1.344648	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034388:-	430	289.099341	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034385:-	1	0.672324	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034387:-	2	1.344648	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034388:-	6168	4146.894737	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034389:-	3	2.016972	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034385:-	1	0.672324	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034388:-	1976	1328.512322	N	mature,MIMAT0006594
