miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
cfa-let-7a-1	3:chr10:20034317-20034339:-	1	0.605186	N	unannotated
cfa-let-7a-1	3:chr10:20034318-20034340:-	1	0.605186	N	unannotated
cfa-let-7a-1	3:chr10:20034318-20034341:-	1	0.605186	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034341:-	51	30.864478	N	unannotated
cfa-let-7a-1	3:chr10:20034320-20034341:-	7	4.236301	N	unannotated
cfa-let-7a-1	3:chr10:20034321-20034341:-	5	3.025929	N	unannotated
cfa-let-7a-1	3:chr10:20034322-20034341:-	1	0.605186	N	unannotated
cfa-let-7a-1	3:chr10:20034338-20034388:-	192	116.195681	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034339-20034389:-	1	0.605186	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034340-20034387:-	1	0.605186	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034388:-	1	0.605186	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034387:-	1	0.605186	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034364-20034388:-	2	1.210372	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034388:-	881	533.168723	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034384:-	1	0.605186	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034385:-	2	1.210372	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034386:-	2	1.210372	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034387:-	6	3.631115	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034388:-	12905	7809.923232	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034389:-	14	8.472602	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034386:-	1	0.605186	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034387:-	1	0.605186	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034388:-	4990	3019.877329	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034389:-	15	9.077788	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034388:-	446	269.912883	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034389:-	2	1.210372	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034369-20034388:-	90	54.466725	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034370-20034389:-	2	1.210372	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052782-12052802:+	1	0.605186	N	precursor
cfa-let-7a-2	3:chr5:12052801-12052820:+	1	0.605186	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052801-12052823:+	5	3.025929	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052801-12052824:+	2	1.210372	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052821:+	88	53.256354	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052822:+	435	263.255839	N	mature,MIMAT0006594
