miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
cfa-let-7a-1	3:chr10:20034319-20034341:-	8	22.761933	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034366:-	1	2.845242	N	stemloop
cfa-let-7a-1	3:chr10:20034320-20034341:-	4	11.380966	N	unannotated
cfa-let-7a-1	3:chr10:20034321-20034341:-	1	2.845242	N	unannotated
cfa-let-7a-1	3:chr10:20034323-20034344:-	1	2.845242	N	unannotated
cfa-let-7a-1	3:chr10:20034338-20034388:-	9	25.607175	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034388:-	6	17.071450	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034348-20034388:-	1	2.845242	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034388:-	5	14.226208	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034352-20034388:-	1	2.845242	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034363-20034388:-	2	5.690483	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034364-20034388:-	1	2.845242	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034388:-	145	412.560035	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034387:-	1	2.845242	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034388:-	2023	5755.923793	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034389:-	9	25.607175	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034388:-	706	2008.740582	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034389:-	2	5.690483	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034388:-	37	105.273940	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034369-20034388:-	88	250.381262	N	mature,MIMAT0006594
