miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
cfa-let-7a-1	3:chr10:20034316-20034338:-	1	0.584008	N	unannotated
cfa-let-7a-1	3:chr10:20034318-20034341:-	5	2.920039	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034340:-	2	1.168016	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034341:-	116	67.744901	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034366:-	3	1.752023	N	stemloop
cfa-let-7a-1	3:chr10:20034320-20034339:-	1	0.584008	N	unannotated
cfa-let-7a-1	3:chr10:20034320-20034340:-	1	0.584008	N	unannotated
cfa-let-7a-1	3:chr10:20034320-20034341:-	48	28.032373	N	unannotated
cfa-let-7a-1	3:chr10:20034320-20034344:-	1	0.584008	N	unannotated
cfa-let-7a-1	3:chr10:20034320-20034366:-	1	0.584008	N	stemloop
cfa-let-7a-1	3:chr10:20034321-20034341:-	20	11.680155	N	unannotated
cfa-let-7a-1	3:chr10:20034322-20034341:-	1	0.584008	N	unannotated
cfa-let-7a-1	3:chr10:20034322-20034342:-	1	0.584008	N	unannotated
cfa-let-7a-1	3:chr10:20034323-20034345:-	1	0.584008	N	unannotated
cfa-let-7a-1	3:chr10:20034330-20034380:-	1	0.584008	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034338-20034388:-	116	67.744901	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034339-20034389:-	6	3.504047	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034340-20034390:-	1	0.584008	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034342-20034366:-	1	0.584008	N	stemloop
cfa-let-7a-1	3:chr10:20034347-20034387:-	2	1.168016	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034388:-	8	4.672062	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034348-20034388:-	4	2.336031	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034388:-	16	9.344124	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034352-20034388:-	1	0.584008	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034359-20034388:-	1	0.584008	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034360-20034387:-	1	0.584008	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034364-20034388:-	1	0.584008	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034388:-	578	337.556488	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034389:-	1	0.584008	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034384:-	1	0.584008	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034386:-	3	1.752023	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034387:-	5	2.920039	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034388:-	8940	5221.029419	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034389:-	7	4.088054	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034388:-	2968	1733.335046	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034389:-	16	9.344124	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034388:-	213	124.393654	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034389:-	4	2.336031	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034369-20034388:-	65	37.960505	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052801-12052823:+	2	1.168016	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052801-12052824:+	1	0.584008	N	mature,MIMAT0006594
