miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
cfa-let-7a-1	3:chr10:20034316-20034339:-	1	1.683213	N	unannotated
cfa-let-7a-1	3:chr10:20034318-20034341:-	1	1.683213	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034341:-	20	33.664253	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034366:-	2	3.366425	N	stemloop
cfa-let-7a-1	3:chr10:20034320-20034341:-	4	6.732851	N	unannotated
cfa-let-7a-1	3:chr10:20034320-20034366:-	3	5.049638	N	stemloop
cfa-let-7a-1	3:chr10:20034321-20034341:-	5	8.416063	N	unannotated
cfa-let-7a-1	3:chr10:20034323-20034366:-	1	1.683213	N	stemloop
cfa-let-7a-1	3:chr10:20034323-20034373:-	1	1.683213	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034337-20034387:-	1	1.683213	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034338-20034388:-	82	138.023437	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034342-20034388:-	1	1.683213	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034343-20034388:-	1	1.683213	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034388:-	5	8.416063	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034388:-	5	8.416063	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034351-20034387:-	1	1.683213	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034352-20034388:-	1	1.683213	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034388:-	134	225.550495	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034388:-	2245	3778.812392	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034389:-	3	5.049638	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034388:-	700	1178.248853	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034389:-	1	1.683213	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034388:-	24	40.397104	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034369-20034388:-	14	23.564977	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052780-12052802:+	2	3.366425	N	precursor
cfa-let-7a-2	3:chr5:12052781-12052802:+	2	3.366425	N	precursor
cfa-let-7a-2	3:chr5:12052782-12052802:+	1	1.683213	N	precursor
cfa-let-7a-2	3:chr5:12052799-12052824:+	1	1.683213	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052821:+	15	25.248190	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052822:+	32	53.862805	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052823:+	706	1188.348129	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052824:+	2306	3881.488364	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052825:+	140	235.649771	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052826:+	10	16.832126	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052852:+	2	3.366425	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052824:+	1	1.683213	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052869-12052909:+	1	1.683213	N	unannotated
cfa-let-7b	3:chr10:20033391-20033413:-	2	3.366425	N	unannotated
cfa-let-7b	3:chr10:20033392-20033413:-	3	5.049638	N	unannotated
cfa-let-7b	3:chr10:20033398-20033420:-	1	1.683213	N	unannotated
