miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
cfa-let-7a-1	3:chr10:20034318-20034341:-	3	1.143829	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034341:-	63	24.020406	N	unannotated
cfa-let-7a-1	3:chr10:20034320-20034341:-	15	5.719144	N	unannotated
cfa-let-7a-1	3:chr10:20034320-20034344:-	1	0.381276	N	unannotated
cfa-let-7a-1	3:chr10:20034321-20034341:-	16	6.100421	N	unannotated
cfa-let-7a-1	3:chr10:20034322-20034343:-	1	0.381276	N	unannotated
cfa-let-7a-1	3:chr10:20034337-20034387:-	1	0.381276	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034338-20034388:-	54	20.588919	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034339-20034389:-	3	1.143829	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034388:-	6	2.287658	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034388:-	5	1.906381	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034350-20034383:-	1	0.381276	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034354-20034388:-	1	0.381276	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034355-20034388:-	2	0.762553	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034357-20034388:-	1	0.381276	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034386:-	1	0.381276	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034388:-	588	224.190455	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034386:-	1	0.381276	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034387:-	1	0.381276	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034388:-	9330	3557.307732	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034389:-	5	1.906381	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034388:-	3041	1159.461180	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034389:-	11	4.194039	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034388:-	134	51.091022	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034369-20034388:-	76	28.976998	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052782-12052802:+	2	0.762553	N	precursor
cfa-let-7a-2	3:chr5:12052801-12052820:+	2	0.762553	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052821:+	65	24.782958	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052822:+	109	41.559115	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052823:+	3003	1144.972682	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052824:+	9326	3555.782627	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052825:+	603	229.909599	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052826:+	11	4.194039	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052852:+	3	1.143829	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052823:+	2	0.762553	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052824:+	4	1.525105	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052825:+	1	0.381276	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052827-12052847:+	1	0.381276	N	unannotated
cfa-let-7a-2	3:chr5:12052847-12052869:+	2	0.762553	N	unannotated
cfa-let-7b	3:chr10:20033391-20033413:-	1	0.381276	N	unannotated
cfa-let-7b	3:chr10:20033392-20033413:-	4	1.525105	N	unannotated
cfa-let-7b	3:chr10:20033418-20033468:-	6	2.287658	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033434-20033468:-	2	0.762553	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033436-20033468:-	3	1.143829	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033444-20033468:-	86	32.789760	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033445-20033467:-	4	1.525105	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033445-20033468:-	3436	1310.065313	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033465:-	1	0.381276	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033466:-	1	0.381276	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033467:-	3	1.143829	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033468:-	10125	3860.422378	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033447-20033468:-	1702	648.932236	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033448-20033468:-	197	75.111428	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033449-20033468:-	45	17.157433	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033450-20033467:-	1	0.381276	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033450-20033468:-	105	40.034010	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033451-20033468:-	3	1.143829	N	mature,MIMAT0009836
cfa-let-7c	3:chr31:13259520-13259543:+	1	0.381276	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259521-13259540:+	1	0.381276	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259521-13259543:+	1	0.381276	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259521-13259544:+	20	7.625526	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259541:+	15	5.719144	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259542:+	25	9.531907	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259543:+	500	190.638142	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259544:+	5250	2001.700492	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259545:+	458	174.624538	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259546:+	8	3.050210	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259572:+	13	4.956592	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259523-13259544:+	2	0.762553	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259551-13259589:+	2	0.762553	N	unannotated
cfa-let-7c	3:chr31:13259553-13259589:+	1	0.381276	N	unannotated
cfa-let-7c	3:chr31:13259555-13259589:+	3	1.143829	N	unannotated
