miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
cfa-let-7a-1	3:chr10:20034318-20034340:-	6	6.917025	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034340:-	4	4.611350	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034341:-	38	43.807822	N	unannotated
cfa-let-7a-1	3:chr10:20034320-20034341:-	21	24.209586	N	unannotated
cfa-let-7a-1	3:chr10:20034321-20034341:-	4	4.611350	N	unannotated
cfa-let-7a-1	3:chr10:20034321-20034344:-	1	1.152837	N	unannotated
cfa-let-7a-1	3:chr10:20034322-20034343:-	1	1.152837	N	unannotated
cfa-let-7a-1	3:chr10:20034322-20034345:-	1	1.152837	N	unannotated
cfa-let-7a-1	3:chr10:20034338-20034388:-	146	168.314263	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034339-20034389:-	3	3.458512	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034388:-	8	9.222699	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034348-20034387:-	1	1.152837	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034348-20034388:-	1	1.152837	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034388:-	3	3.458512	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034388:-	246	283.598006	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034389:-	1	1.152837	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034387:-	1	1.152837	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034388:-	3984	4592.904286	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034389:-	7	8.069862	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034387:-	1	1.152837	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034388:-	1388	1600.138340	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034389:-	3	3.458512	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034388:-	89	102.602530	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034389:-	1	1.152837	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034369-20034388:-	26	29.973773	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052780-12052802:+	1	1.152837	N	precursor
cfa-let-7a-2	3:chr5:12052781-12052802:+	1	1.152837	N	precursor
cfa-let-7a-2	3:chr5:12052801-12052824:+	2	2.305675	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052821:+	27	31.126610	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052822:+	84	96.838343	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052823:+	1403	1617.430902	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052824:+	4140	4772.746923	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052825:+	223	257.082745	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052826:+	3	3.458512	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052830:+	1	1.152837	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052823:+	1	1.152837	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052824:+	7	8.069862	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052847-12052869:+	1	1.152837	N	unannotated
cfa-let-7b	3:chr10:20033352-20033392:-	1	1.152837	N	unannotated
cfa-let-7b	3:chr10:20033391-20033413:-	11	12.681212	N	unannotated
cfa-let-7b	3:chr10:20033392-20033413:-	7	8.069862	N	unannotated
cfa-let-7b	3:chr10:20033393-20033413:-	1	1.152837	N	unannotated
cfa-let-7b	3:chr10:20033396-20033446:-	3	3.458512	N	stemloop
cfa-let-7b	3:chr10:20033410-20033460:-	4	4.611350	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033416-20033446:-	1	1.152837	N	stemloop
cfa-let-7b	3:chr10:20033418-20033468:-	25	28.820936	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033433-20033468:-	2	2.305675	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033436-20033468:-	2	2.305675	N	mature,MIMAT0009836
