miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
cfa-let-7a-1	3:chr10:20034319-20034341:-	3	5.104767	N	unannotated
cfa-let-7a-1	3:chr10:20034338-20034388:-	11	18.717478	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034388:-	4	6.806356	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034387:-	2	3.403178	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034388:-	10	17.015889	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034364-20034388:-	1	1.701589	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034388:-	43	73.168325	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034388:-	1011	1720.306422	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034389:-	4	6.806356	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034388:-	448	762.311847	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034389:-	6	10.209534	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034388:-	36	61.257202	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034369-20034388:-	19	32.330190	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052821:+	12	20.419067	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052822:+	30	51.047668	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052823:+	445	757.207080	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052824:+	1005	1710.096888	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052825:+	62	105.498515	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052826:+	2	3.403178	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052831:+	1	1.701589	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052823:+	2	3.403178	N	mature,MIMAT0006594
cfa-let-7b	3:chr10:20033391-20033413:-	1	1.701589	N	unannotated
cfa-let-7b	3:chr10:20033398-20033445:-	2	3.403178	N	stemloop
cfa-let-7b	3:chr10:20033418-20033468:-	2	3.403178	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033433-20033468:-	1	1.701589	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033434-20033468:-	2	3.403178	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033436-20033468:-	1	1.701589	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033444-20033468:-	3	5.104767	N	mature,MIMAT0009836
