miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
cfa-let-7a-1	3:chr10:20034319-20034341:-	12	20.729327	N	unannotated
cfa-let-7a-1	3:chr10:20034320-20034341:-	2	3.454888	N	unannotated
cfa-let-7a-1	3:chr10:20034321-20034341:-	5	8.637220	N	unannotated
cfa-let-7a-1	3:chr10:20034321-20034366:-	1	1.727444	N	stemloop
cfa-let-7a-1	3:chr10:20034331-20034354:-	2	3.454888	N	unannotated
cfa-let-7a-1	3:chr10:20034338-20034388:-	64	110.556410	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034342-20034366:-	1	1.727444	N	stemloop
cfa-let-7a-1	3:chr10:20034343-20034388:-	4	6.909776	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034387:-	1	1.727444	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034388:-	23	39.731210	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034389:-	3	5.182332	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034348-20034388:-	5	8.637220	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034388:-	24	41.458654	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034390:-	1	1.727444	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034352-20034388:-	1	1.727444	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034354-20034388:-	1	1.727444	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034357-20034388:-	1	1.727444	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034360-20034388:-	1	1.727444	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034388:-	397	685.795229	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034390:-	1	1.727444	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034386:-	1	1.727444	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034387:-	5	8.637220	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034388:-	6550	11314.757553	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034389:-	16	27.639102	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034387:-	2	3.454888	N	mature,MIMAT0006594
