miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
cfa-let-7a-1	3:chr10:20034318-20034340:-	1	0.350930	N	unannotated
cfa-let-7a-1	3:chr10:20034318-20034341:-	2	0.701860	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034340:-	2	0.701860	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034341:-	104	36.496709	N	unannotated
cfa-let-7a-1	3:chr10:20034320-20034341:-	71	24.916022	N	unannotated
cfa-let-7a-1	3:chr10:20034321-20034341:-	17	5.965808	N	unannotated
cfa-let-7a-1	3:chr10:20034321-20034343:-	1	0.350930	N	unannotated
cfa-let-7a-1	3:chr10:20034323-20034341:-	1	0.350930	N	unannotated
cfa-let-7a-1	3:chr10:20034325-20034341:-	1	0.350930	N	unannotated
cfa-let-7a-1	3:chr10:20034337-20034387:-	3	1.052790	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034338-20034388:-	64	22.459513	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034339-20034389:-	3	1.052790	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034346-20034388:-	1	0.350930	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034388:-	2	0.701860	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034388:-	3	1.052790	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034352-20034388:-	1	0.350930	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034363-20034388:-	1	0.350930	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034364-20034388:-	2	0.701860	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034388:-	506	177.570526	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034387:-	4	1.403720	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034388:-	8213	2882.187220	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034389:-	2	0.701860	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034388:-	2861	1004.010427	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034389:-	9	3.158369	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034388:-	101	35.443919	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034369-20034388:-	60	21.055794	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052780-12052802:+	1	0.350930	N	precursor
cfa-let-7a-2	3:chr5:12052801-12052823:+	1	0.350930	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052801-12052824:+	1	0.350930	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052821:+	54	18.950214	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052822:+	121	42.462517	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052823:+	2885	1012.432744	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052824:+	8325	2921.491368	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052825:+	538	188.800283	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052826:+	17	5.965808	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052831:+	1	0.350930	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052852:+	4	1.403720	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052821:+	1	0.350930	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052823:+	3	1.052790	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052824:+	5	1.754649	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052824-12052846:+	1	0.350930	N	stemloop
cfa-let-7a-2	3:chr5:12052847-12052868:+	1	0.350930	N	unannotated
cfa-let-7a-2	3:chr5:12052847-12052869:+	1	0.350930	N	unannotated
cfa-let-7b	3:chr10:20033391-20033413:-	3	1.052790	N	unannotated
cfa-let-7b	3:chr10:20033392-20033412:-	1	0.350930	N	unannotated
cfa-let-7b	3:chr10:20033392-20033413:-	7	2.456509	N	unannotated
cfa-let-7b	3:chr10:20033394-20033413:-	1	0.350930	N	unannotated
cfa-let-7b	3:chr10:20033394-20033423:-	1	0.350930	N	unannotated
cfa-let-7b	3:chr10:20033396-20033446:-	1	0.350930	N	stemloop
cfa-let-7b	3:chr10:20033417-20033467:-	1	0.350930	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033418-20033468:-	9	3.158369	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033435-20033468:-	1	0.350930	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033439-20033468:-	1	0.350930	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033444-20033468:-	43	15.089985	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033445-20033468:-	1875	657.993551	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033467:-	5	1.754649	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033468:-	6157	2160.675358	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033447-20033467:-	1	0.350930	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033447-20033468:-	1051	368.827319	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033448-20033468:-	113	39.655078	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033449-20033468:-	30	10.527897	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033450-20033468:-	56	19.652074	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033451-20033468:-	6	2.105579	N	mature,MIMAT0009836
cfa-let-7c	3:chr31:13259521-13259543:+	8	2.807439	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259521-13259544:+	11	3.860229	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259521-13259545:+	2	0.701860	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259541:+	12	4.211159	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259542:+	35	12.282546	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259543:+	318	111.595706	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259544:+	3143	1102.972657	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259545:+	256	89.838053	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259546:+	4	1.403720	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259547:+	1	0.350930	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259550:+	1	0.350930	N	mature,MIMAT0006669
