miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
cfa-let-7a-1	3:chr10:20034318-20034341:-	2	0.770599	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034340:-	6	2.311798	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034341:-	66	25.429773	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034366:-	1	0.385300	N	stemloop
cfa-let-7a-1	3:chr10:20034320-20034341:-	10	3.852996	N	unannotated
cfa-let-7a-1	3:chr10:20034321-20034341:-	25	9.632490	N	unannotated
cfa-let-7a-1	3:chr10:20034322-20034341:-	1	0.385300	N	unannotated
cfa-let-7a-1	3:chr10:20034323-20034341:-	1	0.385300	N	unannotated
cfa-let-7a-1	3:chr10:20034323-20034344:-	1	0.385300	N	unannotated
cfa-let-7a-1	3:chr10:20034323-20034366:-	2	0.770599	N	stemloop
cfa-let-7a-1	3:chr10:20034338-20034388:-	43	16.567882	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034339-20034389:-	2	0.770599	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034343-20034388:-	1	0.385300	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034346-20034388:-	1	0.385300	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034388:-	7	2.697097	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034388:-	4	1.541198	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034351-20034388:-	1	0.385300	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034364-20034388:-	2	0.770599	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034388:-	458	176.467211	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034386:-	1	0.385300	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034387:-	5	1.926498	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034388:-	9372	3611.027737	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034389:-	6	2.311798	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034386:-	2	0.770599	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034388:-	3096	1192.887524	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034389:-	9	3.467696	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034388:-	188	72.436323	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034369-20034388:-	85	32.750465	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034370-20034389:-	1	0.385300	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052778-12052802:+	1	0.385300	N	precursor
cfa-let-7a-2	3:chr5:12052782-12052802:+	1	0.385300	N	precursor
cfa-let-7a-2	3:chr5:12052801-12052823:+	1	0.385300	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052801-12052824:+	2	0.770599	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052821:+	80	30.823967	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052822:+	203	78.215816	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052823:+	3078	1185.952131	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052824:+	9407	3624.513222	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052825:+	454	174.926013	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052826:+	15	5.779494	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052831:+	1	0.385300	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052824:+	4	1.541198	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052804-12052821:+	1	0.385300	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052804-12052823:+	1	0.385300	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052824-12052846:+	1	0.385300	N	stemloop
cfa-let-7a-2	3:chr5:12052869-12052910:+	1	0.385300	N	unannotated
cfa-let-7b	3:chr10:20033392-20033413:-	4	1.541198	N	unannotated
cfa-let-7b	3:chr10:20033396-20033446:-	1	0.385300	N	stemloop
cfa-let-7b	3:chr10:20033418-20033468:-	8	3.082397	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033423-20033468:-	2	0.770599	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033436-20033468:-	1	0.385300	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033444-20033468:-	55	21.191477	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033445-20033468:-	2624	1011.026118	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033463:-	1	0.385300	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033466:-	1	0.385300	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033467:-	2	0.770599	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033468:-	9575	3689.243553	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033447-20033468:-	1949	750.948897	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033448-20033468:-	297	114.433978	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033449-20033468:-	69	26.585672	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033450-20033467:-	1	0.385300	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033450-20033468:-	255	98.251395	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033451-20033468:-	36	13.870785	N	mature,MIMAT0009836
cfa-let-7c	3:chr31:13259521-13259543:+	6	2.311798	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259521-13259544:+	5	1.926498	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259541:+	21	8.091291	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259542:+	63	24.273874	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259543:+	458	176.467211	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259544:+	3725	1435.240964	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259545:+	273	105.186787	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259546:+	1	0.385300	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259550:+	1	0.385300	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259562:+	1	0.385300	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259572:+	6	2.311798	N	mature,MIMAT0006669
