miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
cfa-let-7a-1	3:chr10:20034316-20034338:-	1	0.233944	N	unannotated
cfa-let-7a-1	3:chr10:20034318-20034340:-	2	0.467888	N	unannotated
cfa-let-7a-1	3:chr10:20034318-20034341:-	1	0.233944	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034340:-	1	0.233944	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034341:-	83	19.417353	N	unannotated
cfa-let-7a-1	3:chr10:20034320-20034341:-	41	9.591705	N	unannotated
cfa-let-7a-1	3:chr10:20034321-20034341:-	14	3.275216	N	unannotated
cfa-let-7a-1	3:chr10:20034321-20034343:-	1	0.233944	N	unannotated
cfa-let-7a-1	3:chr10:20034322-20034341:-	1	0.233944	N	unannotated
cfa-let-7a-1	3:chr10:20034323-20034341:-	2	0.467888	N	unannotated
cfa-let-7a-1	3:chr10:20034338-20034388:-	60	14.036641	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034339-20034389:-	2	0.467888	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034388:-	5	1.169720	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034388:-	1	0.233944	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034364-20034388:-	5	1.169720	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034387:-	1	0.233944	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034388:-	545	127.499487	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034387:-	1	0.233944	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034388:-	10646	2490.567962	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034389:-	4	0.935776	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034387:-	2	0.467888	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034388:-	2894	677.033974	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034389:-	5	1.169720	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034388:-	128	29.944834	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034389:-	1	0.233944	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034369-20034388:-	92	21.522849	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052821:+	87	20.353129	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052822:+	114	26.669617	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052823:+	2923	683.818350	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052824:+	10843	2536.654933	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052825:+	541	126.563711	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052826:+	25	5.848600	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052828:+	1	0.233944	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052852:+	1	0.233944	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052823:+	2	0.467888	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052824:+	8	1.871552	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052825:+	1	0.233944	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052844-12052867:+	1	0.233944	N	unannotated
cfa-let-7b	3:chr10:20033391-20033413:-	4	0.935776	N	unannotated
cfa-let-7b	3:chr10:20033392-20033412:-	1	0.233944	N	unannotated
cfa-let-7b	3:chr10:20033392-20033413:-	3	0.701832	N	unannotated
cfa-let-7b	3:chr10:20033413-20033446:-	2	0.467888	N	stemloop
cfa-let-7b	3:chr10:20033418-20033468:-	5	1.169720	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033422-20033468:-	1	0.233944	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033444-20033468:-	34	7.954096	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033445-20033467:-	1	0.233944	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033445-20033468:-	1833	428.819376	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033468:-	6480	1515.957204	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033447-20033467:-	2	0.467888	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033447-20033468:-	894	209.145948	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033448-20033468:-	117	27.371450	N	mature,MIMAT0009836
