miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
cfa-let-7a-1	3:chr10:20034319-20034340:-	3	3.438443	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034341:-	13	14.899918	N	unannotated
cfa-let-7a-1	3:chr10:20034320-20034341:-	6	6.876885	N	unannotated
cfa-let-7a-1	3:chr10:20034321-20034341:-	8	9.169181	N	unannotated
cfa-let-7a-1	3:chr10:20034338-20034388:-	69	79.084182	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034345-20034388:-	1	1.146148	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034388:-	10	11.461476	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034348-20034388:-	4	4.584590	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034348-20034389:-	1	1.146148	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034383:-	1	1.146148	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034388:-	18	20.630656	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034388:-	242	277.367712	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034387:-	3	3.438443	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034388:-	5203	5963.405800	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034389:-	12	13.753771	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034388:-	1651	1892.289636	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034389:-	5	5.730738	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034388:-	111	127.222380	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034369-20034388:-	37	42.407460	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034370-20034389:-	2	2.292295	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052780-12052802:+	1	1.146148	N	precursor
cfa-let-7a-2	3:chr5:12052801-12052823:+	1	1.146148	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052801-12052824:+	4	4.584590	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052821:+	38	43.553608	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052822:+	100	114.614757	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052823:+	1668	1911.774145	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052824:+	5389	6176.589248	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052825:+	295	338.113533	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052826:+	5	5.730738	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052824:+	3	3.438443	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052805-12052825:+	1	1.146148	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052806-12052823:+	1	1.146148	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052806-12052824:+	1	1.146148	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052847-12052868:+	1	1.146148	N	unannotated
cfa-let-7b	3:chr10:20033391-20033413:-	1	1.146148	N	unannotated
cfa-let-7b	3:chr10:20033392-20033413:-	3	3.438443	N	unannotated
cfa-let-7b	3:chr10:20033410-20033460:-	1	1.146148	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033413-20033446:-	1	1.146148	N	stemloop
cfa-let-7b	3:chr10:20033418-20033468:-	27	30.945984	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033436-20033467:-	1	1.146148	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033436-20033468:-	5	5.730738	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033443-20033468:-	1	1.146148	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033444-20033468:-	18	20.630656	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033445-20033468:-	913	1046.432730	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033465:-	1	1.146148	N	mature,MIMAT0009836
