miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
cfa-let-7a-1	3:chr10:20034318-20034341:-	1	2.016837	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034341:-	16	32.269385	N	unannotated
cfa-let-7a-1	3:chr10:20034320-20034340:-	1	2.016837	N	unannotated
cfa-let-7a-1	3:chr10:20034320-20034341:-	7	14.117856	N	unannotated
cfa-let-7a-1	3:chr10:20034321-20034341:-	2	4.033673	N	unannotated
cfa-let-7a-1	3:chr10:20034338-20034388:-	43	86.723972	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034339-20034389:-	2	4.033673	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034346-20034388:-	1	2.016837	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034387:-	1	2.016837	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034388:-	8	16.134692	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034348-20034388:-	4	8.067346	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034388:-	12	24.202039	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034351-20034388:-	1	2.016837	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034352-20034402:-	3	6.050510	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034388:-	181	365.047416	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034387:-	2	4.033673	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034388:-	3004	6058.577001	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034389:-	6	12.101019	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034388:-	897	1809.102387	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034389:-	7	14.117856	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034388:-	32	64.538770	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034369-20034388:-	17	34.286221	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052781-12052802:+	1	2.016837	N	precursor
cfa-let-7a-2	3:chr5:12052802-12052821:+	13	26.218875	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052822:+	55	110.926010	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052823:+	952	1920.028397	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052824:+	2983	6016.223433	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052825:+	169	340.845377	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052826:+	2	4.033673	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052824:+	1	2.016837	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052847-12052869:+	3	6.050510	N	unannotated
cfa-let-7b	3:chr10:20033391-20033413:-	4	8.067346	N	unannotated
cfa-let-7b	3:chr10:20033392-20033412:-	1	2.016837	N	unannotated
cfa-let-7b	3:chr10:20033392-20033413:-	6	12.101019	N	unannotated
cfa-let-7b	3:chr10:20033393-20033413:-	1	2.016837	N	unannotated
cfa-let-7b	3:chr10:20033418-20033468:-	10	20.168366	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033423-20033468:-	4	8.067346	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033436-20033468:-	1	2.016837	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033444-20033468:-	27	54.454587	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033445-20033467:-	1	2.016837	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033445-20033468:-	1112	2242.722245	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033466:-	1	2.016837	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033467:-	1	2.016837	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033468:-	3466	6990.355488	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033447-20033468:-	649	1308.926922	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033448-20033468:-	85	171.431107	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033449-20033468:-	9	18.151529	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033450-20033468:-	33	66.555606	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033451-20033468:-	1	2.016837	N	mature,MIMAT0009836
cfa-let-7c	3:chr31:13259521-13259543:+	2	4.033673	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259521-13259544:+	4	8.067346	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259541:+	5	10.084183	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259542:+	15	30.252548	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259543:+	110	221.852021	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259544:+	983	1982.550330	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259545:+	78	157.313251	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259546:+	1	2.016837	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259550:+	2	4.033673	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259551:+	1	2.016837	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259572:+	4	8.067346	N	mature,MIMAT0006669
