miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
cfa-let-7a-1	3:chr10:20034318-20034340:-	2	3.423134	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034341:-	1	1.711567	N	unannotated
cfa-let-7a-1	3:chr10:20034321-20034341:-	2	3.423134	N	unannotated
cfa-let-7a-1	3:chr10:20034338-20034388:-	6	10.269401	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034388:-	1	1.711567	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034388:-	8	13.692534	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034363-20034388:-	1	1.711567	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034364-20034388:-	1	1.711567	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034388:-	126	215.657413	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034388:-	2026	3467.634272	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034389:-	1	1.711567	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034388:-	517	884.880019	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034389:-	5	8.557834	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034388:-	36	61.616404	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034369-20034388:-	20	34.231335	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052801-12052824:+	1	1.711567	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052821:+	20	34.231335	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052822:+	47	80.443638	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052823:+	525	898.572553	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052824:+	1968	3368.363400	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052825:+	107	183.137644	N	mature,MIMAT0006594
cfa-let-7b	3:chr10:20033391-20033413:-	2	3.423134	N	unannotated
cfa-let-7b	3:chr10:20033392-20033413:-	2	3.423134	N	unannotated
cfa-let-7b	3:chr10:20033406-20033428:-	1	1.711567	N	unannotated
cfa-let-7b	3:chr10:20033440-20033468:-	2	3.423134	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033444-20033468:-	4	6.846267	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033445-20033468:-	466	797.590114	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033468:-	2226	3809.947626	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033447-20033468:-	374	640.125971	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033448-20033468:-	101	172.868244	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033449-20033468:-	18	30.808202	N	mature,MIMAT0009836
