miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
cfa-let-7a-1	3:chr10:20034319-20034341:-	17	23.269916	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034353:-	1	1.368819	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034354:-	3	4.106456	N	unannotated
cfa-let-7a-1	3:chr10:20034320-20034341:-	2	2.737637	N	unannotated
cfa-let-7a-1	3:chr10:20034320-20034342:-	1	1.368819	N	unannotated
cfa-let-7a-1	3:chr10:20034321-20034355:-	1	1.368819	N	unannotated
cfa-let-7a-1	3:chr10:20034322-20034354:-	1	1.368819	N	unannotated
cfa-let-7a-1	3:chr10:20034338-20034388:-	39	53.383925	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034339-20034389:-	1	1.368819	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034343-20034388:-	2	2.737637	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034388:-	10	13.688186	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034348-20034388:-	3	4.106456	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034388:-	38	52.015106	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034389:-	1	1.368819	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034351-20034388:-	3	4.106456	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034354-20034388:-	1	1.368819	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034355-20034388:-	4	5.475274	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034357-20034388:-	1	1.368819	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034358-20034386:-	1	1.368819	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034358-20034388:-	1	1.368819	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034359-20034388:-	2	2.737637	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034363-20034388:-	1	1.368819	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034364-20034388:-	3	4.106456	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034387:-	1	1.368819	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034388:-	960	1314.065843	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034389:-	1	1.368819	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034384:-	1	1.368819	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034385:-	4	5.475274	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034386:-	1	1.368819	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034387:-	6	8.212912	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034388:-	13550	18547.491845	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034389:-	6	8.212912	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034387:-	2	2.737637	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034388:-	4541	6215.805201	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034389:-	17	23.269916	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034388:-	435	595.436085	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034369-20034388:-	56	76.653841	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034370-20034389:-	1	1.368819	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052782-12052802:+	1	1.368819	N	precursor
cfa-let-7a-2	3:chr5:12052801-12052823:+	1	1.368819	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052801-12052824:+	2	2.737637	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052821:+	79	108.136668	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052822:+	448	613.230727	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052823:+	4547	6224.018112	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052824:+	13507	18488.632646	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052825:+	958	1311.328206	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052826:+	30	41.064558	N	mature,MIMAT0006594
