miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
cfa-let-7a-1	3:chr10:20034307-20034335:-	2	1.111830	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034341:-	1	0.555915	N	unannotated
cfa-let-7a-1	3:chr10:20034320-20034366:-	1	0.555915	N	stemloop
cfa-let-7a-1	3:chr10:20034321-20034341:-	1	0.555915	N	unannotated
cfa-let-7a-1	3:chr10:20034338-20034388:-	2	1.111830	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034388:-	8	4.447320	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034353-20034388:-	1	0.555915	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034356-20034388:-	3	1.667745	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034363-20034388:-	1	0.555915	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034364-20034388:-	3	1.667745	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034388:-	57	31.687158	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034387:-	1	0.555915	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034388:-	1388	771.610086	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034389:-	1	0.555915	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034388:-	505	280.737099	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034389:-	1	0.555915	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034388:-	56	31.131243	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034369-20034388:-	7	3.891405	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052780-12052802:+	1	0.555915	N	precursor
cfa-let-7a-2	3:chr5:12052802-12052821:+	11	6.115066	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052822:+	63	35.022648	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052823:+	538	299.082295	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052824:+	1380	767.162765	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052825:+	55	30.575328	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052826:+	2	1.111830	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052831:+	1	0.555915	N	mature,MIMAT0006594
cfa-let-7b	3:chr10:20033392-20033413:-	2	1.111830	N	unannotated
cfa-let-7b	3:chr10:20033434-20033468:-	1	0.555915	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033444-20033468:-	4	2.223660	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033445-20033468:-	514	285.740334	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033467:-	2	1.111830	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033468:-	2735	1520.427654	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033447-20033468:-	247	137.311017	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033448-20033468:-	111	61.706570	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033449-20033468:-	12	6.670981	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033450-20033468:-	23	12.786046	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033451-20033468:-	2	1.111830	N	mature,MIMAT0009836
cfa-let-7c	3:chr31:13259521-13259542:+	1	0.555915	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259521-13259543:+	3	1.667745	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259521-13259544:+	17	9.450556	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259541:+	8	4.447320	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259542:+	20	11.118301	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259543:+	102	56.703335	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259544:+	2365	1314.739087	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259545:+	97	53.923760	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259551:+	1	0.555915	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259523-13259544:+	1	0.555915	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259555-13259589:+	1	0.555915	N	unannotated
cfa-let-7c	3:chr31:13259556-13259589:+	1	0.555915	N	unannotated
cfa-let-7c	3:chr31:13259563-13259590:+	1	0.555915	N	unannotated
cfa-let-7d	3:chr1:97901996-97902046:-	4	2.223660	N	mature,MIMAT0034396
cfa-let-7d	3:chr1:97902045-97902067:-	2	1.111830	N	mature,MIMAT0034396
cfa-let-7d	3:chr1:97902046-97902067:-	2	1.111830	N	mature,MIMAT0034396
cfa-let-7d	3:chr1:97902098-97902121:-	3	1.667745	N	unannotated
cfa-let-7d	3:chr1:97902099-97902121:-	67	37.246308	N	unannotated
cfa-let-7d	3:chr1:97902100-97902121:-	22	12.230131	N	unannotated
cfa-let-7d	3:chr1:97902101-97902121:-	1	0.555915	N	unannotated
cfa-let-7d	3:chr1:97902102-97902121:-	1	0.555915	N	unannotated
cfa-let-7d	3:chr1:97902103-97902121:-	1	0.555915	N	unannotated
cfa-let-7e	3:chr1:105400784-105400807:-	4	2.223660	N	mature,MIMAT0006608
cfa-let-7e	3:chr1:105400785-105400807:-	43	23.904347	N	mature,MIMAT0006608
cfa-let-7e	3:chr1:105400786-105400807:-	18	10.006471	N	mature,MIMAT0006608
cfa-let-7e	3:chr1:105400787-105400807:-	2	1.111830	N	mature,MIMAT0006608
cfa-let-7e	3:chr1:105400788-105400807:-	1	0.555915	N	mature,MIMAT0006608
cfa-let-7e	3:chr1:105400789-105400807:-	1	0.555915	N	mature,MIMAT0006608
cfa-let-7f	3:chr1:97903932-97903969:-	1	0.555915	N	unannotated
cfa-let-7f	3:chr1:97903959-97904009:-	6	3.335490	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903963-97904009:-	4	2.223660	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903965-97904009:-	1	0.555915	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903968-97904009:-	3	1.667745	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903969-97904009:-	1	0.555915	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903976-97904007:-	1	0.555915	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903976-97904009:-	1	0.555915	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903980-97904009:-	1	0.555915	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903981-97904009:-	1	0.555915	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903982-97904009:-	2	1.111830	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903983-97904009:-	6	3.335490	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903984-97904007:-	1	0.555915	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903984-97904009:-	2	1.111830	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903985-97904009:-	6	3.335490	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903986-97904009:-	139	77.272192	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903987-97904009:-	6025	3349.388160	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903987-97904010:-	1	0.555915	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903988-97904009:-	950	528.119295	N	mature,MIMAT0006610
