miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
cfa-let-7a-1	3:chr10:20034318-20034339:-	1	0.925684	N	unannotated
cfa-let-7a-1	3:chr10:20034318-20034340:-	1	0.925684	N	unannotated
cfa-let-7a-1	3:chr10:20034318-20034341:-	3	2.777053	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034341:-	40	37.027369	N	unannotated
cfa-let-7a-1	3:chr10:20034320-20034341:-	6	5.554105	N	unannotated
cfa-let-7a-1	3:chr10:20034321-20034341:-	5	4.628421	N	unannotated
cfa-let-7a-1	3:chr10:20034338-20034388:-	46	42.581474	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034339-20034389:-	4	3.702737	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034345-20034366:-	1	0.925684	N	stemloop
cfa-let-7a-1	3:chr10:20034347-20034386:-	1	0.925684	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034388:-	4	3.702737	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034389:-	1	0.925684	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034348-20034388:-	3	2.777053	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034387:-	3	2.777053	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034388:-	16	14.810948	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034351-20034386:-	1	0.925684	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034357-20034388:-	2	1.851368	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034364-20034388:-	2	1.851368	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034388:-	423	391.564425	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034387:-	1	0.925684	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034388:-	6640	6146.543217	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034389:-	8	7.405474	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034387:-	2	1.851368	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034388:-	1848	1710.664438	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034389:-	7	6.479790	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034388:-	125	115.710527	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034389:-	1	0.925684	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034369-20034388:-	40	37.027369	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034370-20034389:-	2	1.851368	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052801-12052823:+	3	2.777053	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052801-12052824:+	1	0.925684	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052821:+	46	42.581474	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052822:+	114	105.528001	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052823:+	1992	1843.962965	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052824:+	6564	6076.191217	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052825:+	391	361.942530	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052826:+	7	6.479790	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052831:+	1	0.925684	N	mature,MIMAT0006594
