miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
cfa-let-7a-1	3:chr10:20034319-20034341:-	16	3.296521	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034366:-	1	0.206033	N	stemloop
cfa-let-7a-1	3:chr10:20034320-20034341:-	3	0.618098	N	unannotated
cfa-let-7a-1	3:chr10:20034321-20034341:-	7	1.442228	N	unannotated
cfa-let-7a-1	3:chr10:20034338-20034388:-	5	1.030163	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034388:-	3	0.618098	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034389:-	2	0.412065	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034348-20034382:-	1	0.206033	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034363-20034383:-	1	0.206033	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034388:-	54	11.125758	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034388:-	1391	286.591278	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034389:-	3	0.618098	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034388:-	521	107.342959	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034388:-	37	7.623204	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034369-20034388:-	13	2.678423	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034370-20034389:-	1	0.206033	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052780-12052802:+	1	0.206033	N	precursor
cfa-let-7a-2	3:chr5:12052802-12052821:+	12	2.472391	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052822:+	21	4.326684	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052823:+	471	97.041331	N	mature,MIMAT0006594
