miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
cfa-let-7a-1	3:chr10:20034318-20034341:-	1	0.747154	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034341:-	18	13.448764	N	unannotated
cfa-let-7a-1	3:chr10:20034320-20034341:-	4	2.988614	N	unannotated
cfa-let-7a-1	3:chr10:20034321-20034341:-	8	5.977228	N	unannotated
cfa-let-7a-1	3:chr10:20034338-20034388:-	18	13.448764	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034342-20034366:-	1	0.747154	N	stemloop
cfa-let-7a-1	3:chr10:20034344-20034366:-	1	0.747154	N	stemloop
cfa-let-7a-1	3:chr10:20034347-20034388:-	12	8.965842	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034388:-	27	20.173145	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034357-20034388:-	1	0.747154	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034363-20034388:-	1	0.747154	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034388:-	334	249.549280	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034385:-	3	2.241461	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034387:-	3	2.241461	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034388:-	5331	3983.075478	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034389:-	1	0.747154	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034388:-	1913	1429.304706	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034389:-	2	1.494307	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034388:-	110	82.186889	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034369-20034388:-	145	108.337262	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034369-20034389:-	1	0.747154	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034370-20034389:-	2	1.494307	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052780-12052802:+	2	1.494307	N	precursor
cfa-let-7a-2	3:chr5:12052782-12052802:+	1	0.747154	N	precursor
cfa-let-7a-2	3:chr5:12052801-12052824:+	1	0.747154	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052821:+	139	103.854341	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052822:+	146	109.084416	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052823:+	1799	1344.129204	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052824:+	5319	3974.109636	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052825:+	300	224.146060	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052826:+	11	8.218689	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052824:+	1	0.747154	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052805-12052824:+	1	0.747154	N	mature,MIMAT0006594
cfa-let-7b	3:chr10:20033391-20033413:-	1	0.747154	N	unannotated
cfa-let-7b	3:chr10:20033392-20033413:-	5	3.735768	N	unannotated
cfa-let-7b	3:chr10:20033398-20033428:-	1	0.747154	N	unannotated
cfa-let-7b	3:chr10:20033418-20033468:-	2	1.494307	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033433-20033468:-	1	0.747154	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033436-20033468:-	2	1.494307	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033440-20033468:-	1	0.747154	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033441-20033468:-	2	1.494307	N	mature,MIMAT0009836
