miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
cfa-let-7a-1	3:chr10:20034318-20034340:-	2	3.608779	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034341:-	46	83.001927	N	unannotated
cfa-let-7a-1	3:chr10:20034320-20034341:-	18	32.479015	N	unannotated
cfa-let-7a-1	3:chr10:20034321-20034341:-	4	7.217559	N	unannotated
cfa-let-7a-1	3:chr10:20034322-20034341:-	2	3.608779	N	unannotated
cfa-let-7a-1	3:chr10:20034338-20034388:-	27	48.718522	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034339-20034389:-	3	5.413169	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034341-20034366:-	1	1.804390	N	stemloop
cfa-let-7a-1	3:chr10:20034343-20034388:-	1	1.804390	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034345-20034388:-	1	1.804390	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034388:-	29	52.327302	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034348-20034388:-	9	16.239507	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034388:-	21	37.892184	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034389:-	1	1.804390	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034350-20034388:-	2	3.608779	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034364-20034388:-	2	3.608779	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034385:-	1	1.804390	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034388:-	375	676.646145	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034387:-	3	5.413169	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034388:-	5274	9516.351380	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034389:-	7	12.630728	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034387:-	2	3.608779	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034388:-	1858	3352.556098	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034389:-	1	1.804390	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034388:-	116	209.309207	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034369-20034388:-	54	97.437045	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052780-12052802:+	2	3.608779	N	precursor
cfa-let-7a-2	3:chr5:12052782-12052802:+	1	1.804390	N	precursor
cfa-let-7a-2	3:chr5:12052801-12052823:+	1	1.804390	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052801-12052824:+	2	3.608779	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052821:+	76	137.133619	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052822:+	87	156.981906	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052823:+	1791	3231.661987	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052824:+	5262	9494.698703	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052825:+	370	667.624196	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052826:+	5	9.021949	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052831:+	1	1.804390	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052823:+	2	3.608779	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052824:+	1	1.804390	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052825:+	1	1.804390	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052847-12052869:+	1	1.804390	N	unannotated
cfa-let-7b	3:chr10:20033342-20033392:-	1	1.804390	N	unannotated
cfa-let-7b	3:chr10:20033391-20033413:-	2	3.608779	N	unannotated
cfa-let-7b	3:chr10:20033392-20033413:-	2	3.608779	N	unannotated
cfa-let-7b	3:chr10:20033397-20033419:-	3	5.413169	N	unannotated
cfa-let-7b	3:chr10:20033414-20033464:-	2	3.608779	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033416-20033446:-	1	1.804390	N	stemloop
cfa-let-7b	3:chr10:20033418-20033468:-	20	36.087794	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033436-20033468:-	3	5.413169	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033440-20033468:-	2	3.608779	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033444-20033468:-	40	72.175589	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033445-20033468:-	1900	3428.340467	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033467:-	3	5.413169	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033468:-	4738	8549.198490	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033447-20033468:-	1152	2078.656957	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033448-20033468:-	228	411.400856	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033449-20033468:-	51	92.023876	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033450-20033468:-	82	147.959957	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033451-20033468:-	9	16.239507	N	mature,MIMAT0009836
cfa-let-7c	3:chr31:13259521-13259541:+	2	3.608779	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259521-13259543:+	8	14.435118	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259521-13259544:+	8	14.435118	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259541:+	16	28.870236	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259542:+	27	48.718522	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259543:+	307	553.947644	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259544:+	1893	3415.709739	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259545:+	198	357.269164	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259546:+	1	1.804390	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259550:+	1	1.804390	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259523-13259544:+	2	3.608779	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259523-13259545:+	1	1.804390	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259567-13259587:+	1	1.804390	N	unannotated
cfa-let-7c	3:chr31:13259567-13259589:+	1	1.804390	N	unannotated
cfa-let-7d	3:chr1:97901996-97902046:-	1	1.804390	N	mature,MIMAT0034396
cfa-let-7d	3:chr1:97902006-97902046:-	1	1.804390	N	mature,MIMAT0034396
cfa-let-7d	3:chr1:97902045-97902066:-	8	14.435118	N	mature,MIMAT0034396
cfa-let-7d	3:chr1:97902045-97902067:-	60	108.263383	N	mature,MIMAT0034396
cfa-let-7d	3:chr1:97902046-97902066:-	1	1.804390	N	mature,MIMAT0034396
cfa-let-7d	3:chr1:97902046-97902067:-	23	41.500964	N	mature,MIMAT0034396
cfa-let-7d	3:chr1:97902047-97902066:-	2	3.608779	N	mature,MIMAT0034396
cfa-let-7d	3:chr1:97902047-97902067:-	4	7.217559	N	mature,MIMAT0034396
cfa-let-7d	3:chr1:97902071-97902121:-	1	1.804390	N	unannotated
cfa-let-7d	3:chr1:97902087-97902120:-	1	1.804390	N	unannotated
cfa-let-7d	3:chr1:97902097-97902120:-	3	5.413169	N	unannotated
cfa-let-7d	3:chr1:97902097-97902121:-	3	5.413169	N	unannotated
cfa-let-7d	3:chr1:97902098-97902121:-	66	119.089721	N	unannotated
cfa-let-7d	3:chr1:97902099-97902120:-	1	1.804390	N	unannotated
cfa-let-7d	3:chr1:97902099-97902121:-	766	1382.162525	N	unannotated
cfa-let-7d	3:chr1:97902099-97902122:-	3	5.413169	N	unannotated
cfa-let-7d	3:chr1:97902100-97902121:-	295	532.294967	N	unannotated
cfa-let-7d	3:chr1:97902101-97902121:-	16	28.870236	N	unannotated
cfa-let-7d	3:chr1:97902102-97902121:-	3	5.413169	N	unannotated
cfa-let-7d	3:chr1:97902103-97902121:-	16	28.870236	N	unannotated
cfa-let-7d	3:chr1:97902105-97902121:-	2	3.608779	N	unannotated
cfa-let-7e	3:chr1:105400739-105400761:-	1	1.804390	N	unannotated
cfa-let-7e	3:chr1:105400740-105400761:-	1	1.804390	N	unannotated
cfa-let-7e	3:chr1:105400740-105400762:-	5	9.021949	N	unannotated
cfa-let-7e	3:chr1:105400741-105400762:-	3	5.413169	N	unannotated
cfa-let-7e	3:chr1:105400783-105400805:-	1	1.804390	N	mature,MIMAT0006608
cfa-let-7e	3:chr1:105400783-105400806:-	1	1.804390	N	mature,MIMAT0006608
cfa-let-7e	3:chr1:105400783-105400807:-	4	7.217559	N	mature,MIMAT0006608
cfa-let-7e	3:chr1:105400783-105400808:-	1	1.804390	N	mature,MIMAT0006608
cfa-let-7e	3:chr1:105400784-105400807:-	42	75.784368	N	mature,MIMAT0006608
cfa-let-7e	3:chr1:105400785-105400807:-	905	1632.972696	N	mature,MIMAT0006608
cfa-let-7e	3:chr1:105400785-105400808:-	2	3.608779	N	mature,MIMAT0006608
cfa-let-7e	3:chr1:105400786-105400807:-	350	631.536402	N	mature,MIMAT0006608
cfa-let-7e	3:chr1:105400787-105400807:-	24	43.305353	N	mature,MIMAT0006608
cfa-let-7e	3:chr1:105400788-105400807:-	14	25.261456	N	mature,MIMAT0006608
cfa-let-7e	3:chr1:105400789-105400807:-	25	45.109743	N	mature,MIMAT0006608
cfa-let-7e	3:chr1:105400790-105400807:-	5	9.021949	N	mature,MIMAT0006608
cfa-let-7f	3:chr1:97903931-97903953:-	1	1.804390	N	unannotated
cfa-let-7f	3:chr1:97903931-97903976:-	1	1.804390	N	unannotated
cfa-let-7f	3:chr1:97903932-97903953:-	1	1.804390	N	unannotated
cfa-let-7f	3:chr1:97903959-97904009:-	35	63.153640	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903962-97904009:-	5	9.021949	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903963-97904009:-	1	1.804390	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903965-97904009:-	1	1.804390	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903977-97904009:-	4	7.217559	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903978-97904009:-	1	1.804390	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903980-97904009:-	1	1.804390	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903981-97904009:-	1	1.804390	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903982-97904009:-	1	1.804390	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903983-97904009:-	2	3.608779	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903985-97904007:-	1	1.804390	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903985-97904009:-	10	18.043897	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903986-97904009:-	104	187.656531	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903987-97904004:-	1	1.804390	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903987-97904008:-	2	3.608779	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903987-97904009:-	9810	17701.063146	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903987-97904010:-	1	1.804390	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903988-97904008:-	1	1.804390	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903988-97904009:-	3014	5438.430614	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903989-97904009:-	149	268.854068	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903990-97904009:-	93	167.808244	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903991-97904009:-	267	481.772055	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903992-97904009:-	50	90.219486	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903993-97904009:-	9	16.239507	N	mature,MIMAT0006610
cfa-let-7g	3:chr20:37501073-37501092:+	1	1.804390	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501073-37501094:+	1	1.804390	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501073-37501095:+	18	32.479015	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501073-37501096:+	84	151.568736	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501073-37501097:+	3	5.413169	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501074-37501090:+	3	5.413169	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501074-37501091:+	17	30.674625	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501074-37501092:+	170	306.746252	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501074-37501093:+	187	337.420878	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501074-37501094:+	175	315.768201	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501074-37501095:+	4411	7959.163052	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501074-37501096:+	18847	34007.333040	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501074-37501097:+	901	1625.755137	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501074-37501104:+	1	1.804390	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501074-37501105:+	1	1.804390	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501074-37501124:+	1	1.804390	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501075-37501096:+	9	16.239507	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501076-37501096:+	3	5.413169	N	mature,MIMAT0006637
cfa-mir-1-1	3:chr24:46481116-46481133:+	1	1.804390	N	mature,MIMAT0006656
cfa-mir-1-1	3:chr24:46481116-46481136:+	22	39.696574	N	mature,MIMAT0006656
cfa-mir-1-1	3:chr24:46481116-46481137:+	6	10.826338	N	mature,MIMAT0006656
cfa-mir-1-1	3:chr24:46481116-46481138:+	49	88.415096	N	mature,MIMAT0006656
cfa-mir-1-2	3:chr7:66214418-66214434:+	1	1.804390	N	mature,MIMAT0006656
cfa-mir-1-2	3:chr7:66214418-66214437:+	2	3.608779	N	mature,MIMAT0006656
cfa-mir-1-2	3:chr7:66214418-66214438:+	21	37.892184	N	mature,MIMAT0006656
cfa-mir-1-2	3:chr7:66214418-66214439:+	3	5.413169	N	mature,MIMAT0006656
cfa-mir-1-2	3:chr7:66214418-66214440:+	74	133.524839	N	mature,MIMAT0006656
cfa-mir-1-2	3:chr7:66214418-66214441:+	5	9.021949	N	mature,MIMAT0006656
cfa-mir-101-1	3:chr5:45184802-45184830:+	1	1.804390	N	mature,MIMAT0006600
cfa-mir-101-1	3:chr5:45184808-45184824:+	2	3.608779	N	mature,MIMAT0006600
cfa-mir-101-1	3:chr5:45184808-45184825:+	1	1.804390	N	mature,MIMAT0006600
cfa-mir-101-1	3:chr5:45184808-45184826:+	2	3.608779	N	mature,MIMAT0006600
cfa-mir-101-1	3:chr5:45184808-45184827:+	40	72.175589	N	mature,MIMAT0006600
cfa-mir-101-1	3:chr5:45184808-45184828:+	16	28.870236	N	mature,MIMAT0006600
cfa-mir-101-1	3:chr5:45184808-45184829:+	100	180.438972	N	mature,MIMAT0006600
cfa-mir-101-1	3:chr5:45184808-45184830:+	81	146.155567	N	mature,MIMAT0006600
cfa-mir-101-1	3:chr5:45184808-45184831:+	4	7.217559	N	mature,MIMAT0006600
cfa-mir-101-1	3:chr5:45184809-45184825:+	1	1.804390	N	mature,MIMAT0006600
cfa-mir-101-1	3:chr5:45184809-45184826:+	1	1.804390	N	mature,MIMAT0006600
cfa-mir-101-1	3:chr5:45184809-45184827:+	3	5.413169	N	mature,MIMAT0006600
cfa-mir-101-1	3:chr5:45184809-45184828:+	2	3.608779	N	mature,MIMAT0006600
cfa-mir-101-1	3:chr5:45184809-45184829:+	105	189.460921	N	mature,MIMAT0006600
cfa-mir-101-1	3:chr5:45184809-45184830:+	102	184.047751	N	mature,MIMAT0006600
cfa-mir-101-1	3:chr5:45184809-45184831:+	136	245.397002	N	mature,MIMAT0006600
cfa-mir-101-1	3:chr5:45184809-45184832:+	2	3.608779	N	mature,MIMAT0006600
cfa-mir-101-2	3:chr1:93194327-93194350:+	1	1.804390	N	unannotated
cfa-mir-101-2	3:chr1:93194327-93194362:+	1	1.804390	N	stemloop
cfa-mir-101-2	3:chr1:93194342-93194359:+	1	1.804390	N	unannotated
cfa-mir-101-2	3:chr1:93194362-93194381:+	62	111.872163	N	mature,MIMAT0006600
cfa-mir-101-2	3:chr1:93194362-93194382:+	27	48.718522	N	mature,MIMAT0006600
cfa-mir-101-2	3:chr1:93194362-93194383:+	120	216.526766	N	mature,MIMAT0006600
cfa-mir-101-2	3:chr1:93194362-93194384:+	108	194.874090	N	mature,MIMAT0006600
cfa-mir-101-2	3:chr1:93194363-93194378:+	2	3.608779	N	mature,MIMAT0006600
cfa-mir-101-2	3:chr1:93194363-93194380:+	1	1.804390	N	mature,MIMAT0006600
cfa-mir-101-2	3:chr1:93194363-93194381:+	14	25.261456	N	mature,MIMAT0006600
cfa-mir-101-2	3:chr1:93194363-93194382:+	11	19.848287	N	mature,MIMAT0006600
cfa-mir-101-2	3:chr1:93194363-93194383:+	84	151.568736	N	mature,MIMAT0006600
