miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
cfa-let-7a-1	3:chr10:20034318-20034341:-	2	0.453197	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034341:-	31	7.024553	N	unannotated
cfa-let-7a-1	3:chr10:20034319-20034348:-	1	0.226598	N	unannotated
cfa-let-7a-1	3:chr10:20034320-20034341:-	11	2.492583	N	unannotated
cfa-let-7a-1	3:chr10:20034321-20034341:-	3	0.679795	N	unannotated
cfa-let-7a-1	3:chr10:20034329-20034376:-	1	0.226598	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034338-20034388:-	57	12.916114	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034339-20034389:-	1	0.226598	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034341-20034388:-	1	0.226598	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034346-20034388:-	1	0.226598	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034383:-	1	0.226598	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034347-20034388:-	2	0.453197	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034349-20034388:-	9	2.039386	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034351-20034388:-	1	0.226598	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034363-20034388:-	2	0.453197	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034364-20034388:-	5	1.132992	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034387:-	1	0.226598	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034365-20034388:-	697	157.939150	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034384:-	1	0.226598	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034387:-	3	0.679795	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034388:-	16020	3630.107870	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034366-20034389:-	15	3.398977	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034387:-	2	0.453197	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034388:-	3687	835.468646	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034367-20034389:-	19	4.305371	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034388:-	255	57.782616	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034368-20034389:-	2	0.453197	N	mature,MIMAT0006594
cfa-let-7a-1	3:chr10:20034369-20034388:-	106	24.019440	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052783-12052802:+	1	0.226598	N	precursor
cfa-let-7a-2	3:chr5:12052801-12052824:+	1	0.226598	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052821:+	117	26.512024	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052822:+	268	60.728396	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052823:+	3647	826.404707	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052824:+	15907	3604.502240	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052825:+	724	164.057309	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052826:+	39	8.837341	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052802-12052827:+	1	0.226598	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052823:+	2	0.453197	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052824:+	4	0.906394	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052803-12052825:+	1	0.226598	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052804-12052824:+	1	0.226598	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052806-12052824:+	1	0.226598	N	mature,MIMAT0006594
cfa-let-7a-2	3:chr5:12052847-12052868:+	2	0.453197	N	unannotated
cfa-let-7a-2	3:chr5:12052847-12052870:+	1	0.226598	N	unannotated
cfa-let-7b	3:chr10:20033392-20033413:-	1	0.226598	N	unannotated
cfa-let-7b	3:chr10:20033413-20033446:-	2	0.453197	N	stemloop
cfa-let-7b	3:chr10:20033418-20033468:-	18	4.078773	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033443-20033468:-	2	0.453197	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033444-20033468:-	91	20.620463	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033445-20033467:-	2	0.453197	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033445-20033468:-	4539	1028.530563	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033462:-	2	0.453197	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033466:-	1	0.226598	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033467:-	5	1.132992	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033446-20033468:-	17782	4029.374416	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033447-20033467:-	1	0.226598	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033447-20033468:-	1891	428.497752	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033448-20033468:-	308	69.792336	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033449-20033468:-	59	13.369311	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033450-20033468:-	156	35.349365	N	mature,MIMAT0009836
cfa-let-7b	3:chr10:20033451-20033468:-	7	1.586189	N	mature,MIMAT0009836
cfa-let-7c	3:chr31:13259520-13259544:+	2	0.453197	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259521-13259542:+	1	0.226598	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259521-13259543:+	5	1.132992	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259521-13259544:+	46	10.423531	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259521-13259545:+	2	0.453197	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259541:+	29	6.571356	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259542:+	68	15.408698	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259543:+	630	142.757051	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259544:+	13119	2972.745640	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259545:+	853	193.288515	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259546:+	9	2.039386	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259548:+	1	0.226598	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259550:+	4	0.906394	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259522-13259572:+	3	0.679795	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259523-13259544:+	7	1.586189	N	mature,MIMAT0006669
cfa-let-7c	3:chr31:13259561-13259585:+	1	0.226598	N	unannotated
cfa-let-7c	3:chr31:13259567-13259588:+	1	0.226598	N	unannotated
cfa-let-7c	3:chr31:13259567-13259589:+	3	0.679795	N	unannotated
cfa-let-7d	3:chr1:97901996-97902046:-	2	0.453197	N	mature,MIMAT0034396
cfa-let-7d	3:chr1:97902045-97902067:-	6	1.359591	N	mature,MIMAT0034396
cfa-let-7d	3:chr1:97902046-97902067:-	2	0.453197	N	mature,MIMAT0034396
cfa-let-7d	3:chr1:97902071-97902121:-	1	0.226598	N	unannotated
cfa-let-7d	3:chr1:97902097-97902121:-	2	0.453197	N	unannotated
cfa-let-7d	3:chr1:97902098-97902121:-	116	26.285425	N	unannotated
cfa-let-7d	3:chr1:97902099-97902120:-	4	0.906394	N	unannotated
cfa-let-7d	3:chr1:97902099-97902121:-	2393	542.250196	N	unannotated
cfa-let-7d	3:chr1:97902099-97902122:-	1	0.226598	N	unannotated
cfa-let-7d	3:chr1:97902100-97902121:-	534	121.003596	N	unannotated
cfa-let-7d	3:chr1:97902100-97902122:-	1	0.226598	N	unannotated
cfa-let-7d	3:chr1:97902101-97902121:-	31	7.024553	N	unannotated
cfa-let-7d	3:chr1:97902102-97902121:-	7	1.586189	N	unannotated
cfa-let-7d	3:chr1:97902103-97902121:-	61	13.822508	N	unannotated
cfa-let-7d	3:chr1:97902104-97902121:-	1	0.226598	N	unannotated
cfa-let-7e	3:chr1:105400740-105400762:-	1	0.226598	N	unannotated
cfa-let-7e	3:chr1:105400741-105400762:-	1	0.226598	N	unannotated
cfa-let-7e	3:chr1:105400783-105400807:-	1	0.226598	N	mature,MIMAT0006608
cfa-let-7e	3:chr1:105400784-105400807:-	6	1.359591	N	mature,MIMAT0006608
cfa-let-7e	3:chr1:105400785-105400807:-	392	88.826610	N	mature,MIMAT0006608
cfa-let-7e	3:chr1:105400786-105400807:-	123	27.871615	N	mature,MIMAT0006608
cfa-let-7e	3:chr1:105400787-105400807:-	11	2.492583	N	mature,MIMAT0006608
cfa-let-7e	3:chr1:105400788-105400807:-	6	1.359591	N	mature,MIMAT0006608
cfa-let-7e	3:chr1:105400789-105400807:-	12	2.719182	N	mature,MIMAT0006608
cfa-let-7e	3:chr1:105400790-105400807:-	1	0.226598	N	mature,MIMAT0006608
cfa-let-7f	3:chr1:97903931-97903953:-	5	1.132992	N	unannotated
cfa-let-7f	3:chr1:97903932-97903953:-	2	0.453197	N	unannotated
cfa-let-7f	3:chr1:97903933-97903953:-	1	0.226598	N	unannotated
cfa-let-7f	3:chr1:97903936-97903976:-	1	0.226598	N	unannotated
cfa-let-7f	3:chr1:97903953-97903980:-	1	0.226598	N	unannotated
cfa-let-7f	3:chr1:97903954-97903982:-	1	0.226598	N	unannotated
cfa-let-7f	3:chr1:97903954-97904004:-	1	0.226598	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903958-97904008:-	1	0.226598	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903959-97904009:-	233	52.797449	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903962-97904009:-	3	0.679795	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903979-97904009:-	2	0.453197	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903980-97904004:-	1	0.226598	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903980-97904009:-	1	0.226598	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903982-97904009:-	2	0.453197	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903983-97904004:-	1	0.226598	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903983-97904009:-	4	0.906394	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903984-97904009:-	1	0.226598	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903985-97904007:-	3	0.679795	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903985-97904009:-	32	7.251152	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903986-97904009:-	875	198.273682	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903987-97904008:-	19	4.305371	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903987-97904009:-	63720	14438.856022	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903988-97904008:-	1	0.226598	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903988-97904009:-	10701	2424.830482	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903989-97904007:-	1	0.226598	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903989-97904009:-	556	125.988763	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903990-97904009:-	193	43.733509	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903991-97904009:-	1680	380.685470	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903992-97904009:-	47	10.650129	N	mature,MIMAT0006610
cfa-let-7f	3:chr1:97903993-97904009:-	22	4.985167	N	mature,MIMAT0006610
cfa-let-7g	3:chr20:37501073-37501092:+	7	1.586189	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501073-37501093:+	5	1.132992	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501073-37501095:+	59	13.369311	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501073-37501096:+	310	70.245533	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501073-37501097:+	10	2.265985	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501074-37501090:+	8	1.812788	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501074-37501091:+	25	5.664962	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501074-37501092:+	1455	329.700808	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501074-37501093:+	495	112.166254	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501074-37501094:+	504	114.205641	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501074-37501095:+	10175	2305.639674	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501074-37501096:+	70516	15978.819386	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501074-37501097:+	3565	807.823630	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501074-37501098:+	2	0.453197	N	mature,MIMAT0006637
cfa-let-7g	3:chr20:37501074-37501124:+	5	1.132992	N	mature,MIMAT0006637
